Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3779853, 0.46, 27, 0, 0, 0, 359569, 53265, 47, 55, 0, 49152, 0, 0.272685, 0.00401, 59280, 7938, 0, 0, 96, 0, 40, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_write_rpm, 3814888, 40.59, 78, 14, 7835, 301, 270697303, 35897344, 29624, 7213, 110592, 22925312, 0, 0.785136, 0.140202, 63484, 27355, 0, 216, 1088, 3034, 2278, 78.356069, 3.012378, 1954852, 1910716, 0, 0, 43688, 37278, 19755
do_recipe_qa, 484492, 0.08, 11, 2, 0, 0, 509441, 132512, 399, 217, 0, 106496, 0, 0.114691, 0.021238999999999997, 65920, 16547, 0, 0, 176, 23, 3, 0.00773, 0.00947, 63116, 4013, 0, 0, 32, 129, 12
do_patch, 498809, 0.15, 8, 2, 8, 1, 1617760, 223318, 2039, 270, 0, 233472, 4096, 0.084608, 0.022071, 65144, 13277, 0, 0, 136, 22, 55, 0.084149, 0.011967, 59076, 28586, 0, 0, 320, 450, 37
do_install, 3801695, 1.59, 27, 3, 36, 16, 41358875, 31604590, 5036, 1389, 86016, 32096256, 36864, 0.27847, 0.035299, 59664, 14784, 4, 32, 496, 221, 223, 0.36943699999999996, 0.169068, 57552, 11419, 0, 136, 62192, 39, 2892
do_packagedata, 3814659, 1.02, 20, 5, 7, 4, 2422632, 1576917, 2586, 691, 8192, 1466368, 0, 0.20925, 0.052312, 60820, 21889, 2, 16, 528, 44, 95, 0.07127499999999999, 0.049295, 57932, 7586, 1, 0, 2336, 214, 69
do_compile, 3784524, 39.17, 41, 4, 23975, 2233, 3740370126, 408380100, 566115, 119226, 27865088, 173862912, 69201920, 0.418686, 0.041351, 60768, 9966, 0, 0, 9832, 799, 59, 239.757107, 22.334079, 218148, 7754385, 145, 54424, 329744, 62787, 96766
do_fetch, 484906, 2.11, 16, 1, 0, 1, 2732625, 2451560, 2339, 3525, 0, 2437120, 0, 0.16605899999999998, 0.019309, 65392, 8631, 0, 0, 128, 261, 67, 0.0057399999999999994, 0.013557, 61144, 904, 0, 0, 4632, 936, 14
do_write_config, 549694, 0.03, 8, 0, 0, 0, 356777, 66096, 130, 102, 0, 49152, 0, 0.084646, 0.0038469999999999997, 66484, 8155, 0, 0, 64, 5, 2, 0.003292, 0.0, 63760, 788, 0, 0, 32, 10, 0
do_prepare_recipe_sysroot, 3772570, 1.41, 21, 27, 3, 0, 3430416, 1519269, 1091, 446, 2707456, 1642496, 0, 0.219304, 0.273096, 61348, 10336, 5, 5264, 240, 170, 81, 0.037134, 0.0, 56460, 1909, 1, 24, 2968, 33, 11
do_package, 3802257, 14.71, 299, 211, 2976, 327, 474438708, 206166595, 155201, 26166, 2097152, 125870080, 54558720, 2.995622, 2.11621, 67028, 254146, 3, 4088, 4088, 17399, 25394, 29.76395, 3.271591, 97916, 879044, 76, 8, 241752, 29653, 34348
do_deploy_source_date_epoch, 549464, 0.13, 14, 1, 2, 0, 576165, 170795, 496, 296, 0, 122880, 0, 0.141279, 0.016621, 66884, 18929, 0, 0, 200, 31, 6, 0.020361, 0.009415999999999999, 64084, 4707, 0, 0, 40, 153, 11
do_configure, 3773350, 19.32, 29, 1, 734, 115, 82359819, 18985892, 26589, 14172, 1155072, 18423808, 1359872, 0.293353, 0.012572, 60640, 10433, 0, 24, 224, 30, 90, 7.340678, 1.153163, 63672, 420245, 4, 2232, 35760, 6114, 6116
do_populate_sysroot, 3802265, 1.45, 47, 24, 59, 61, 99122635, 51566614, 15401, 3899, 28672, 39219200, 6148096, 0.47753199999999996, 0.24831599999999998, 60464, 47017, 1, 56, 47080, 138, 212, 0.5983539999999999, 0.613171, 58124, 122222, 40, 0, 29520, 819, 603
do_create_runtime_spdx, 3818730, 2.13, 71, 6, 3, 1, 7395809, 1088662, 2641, 421, 12288, 655360, 0, 0.718756, 0.069185, 64828, 26448, 0, 24, 1168, 53, 162, 0.036969999999999996, 0.01591, 61280, 5653, 0, 0, 112, 179, 58
do_unpack, 496985, 0.17, 7, 1, 12, 4, 26361741, 44051207, 4719, 6428, 12288, 23977984, 0, 0.079525, 0.012556, 65080, 12708, 0, 8, 136, 15, 5, 0.12698199999999998, 0.043009, 61244, 5161, 0, 16, 46696, 2206, 19
do_populate_lic, 721536, 0.39, 13, 5, 2, 1, 814744, 239490, 603, 264, 0, 139264, 0, 0.137319, 0.052503999999999995, 69712, 18784, 0, 0, 216, 46, 79, 0.027389999999999998, 0.016996999999999998, 66628, 5034, 0, 0, 56, 77, 60
do_create_spdx, 3814876, 8.91, 128, 41, 28, 24, 8654133, 9093998, 3770, 9208, 741376, 3518464, 0, 1.286601, 0.412529, 65184, 113016, 2, 1448, 6552, 340, 1859, 0.280868, 0.24237599999999998, 61368, 30322, 2, 0, 320, 4157, 1278
do_package_qa, 3814910, 7.39, 224, 60, 45, 83, 58508327, 966353, 23955, 855, 147456, 184320, 0, 2.2492739999999998, 0.6064999999999999, 65528, 121060, 2, 288, 280, 2392, 16088, 0.457109, 0.8394229999999999, 63228, 238447, 10, 0, 80, 1311, 1485
