Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 1343953, 0.97, 21, 2, 33, 9, 49924763, 40865863, 2873, 2930, 53248, 41758720, 0, 0.214657, 0.02385, 73360, 14639, 0, 0, 864, 99, 96, 0.339123, 0.09967799999999999, 70664, 11396, 0, 104, 80696, 67, 198
do_collect_spdx_deps, 696109, 0.03, 18, 2, 0, 0, 602354, 58088, 62, 68, 0, 49152, 0, 0.184493, 0.020052999999999998, 70152, 7646, 0, 0, 96, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 781638, 0.37, 17, 1, 2, 0, 1029635, 364671, 459, 263, 0, 139264, 0, 0.178027, 0.01656, 72608, 17203, 0, 0, 192, 45, 65, 0.024576999999999998, 0.007398, 69808, 4286, 2, 0, 80, 86, 67
do_unpack, 568359, 1.10, 14, 3, 70, 22, 120853997, 206290827, 22060, 27795, 0, 111493120, 0, 0.140339, 0.034020999999999996, 66800, 11998, 0, 0, 120, 10, 136, 0.7076399999999999, 0.22711199999999998, 62932, 4122, 0, 0, 217640, 12232, 9401
do_recipe_qa, 549965, 0.05, 9, 2, 1, 0, 746949, 136960, 413, 236, 0, 106496, 0, 0.094445, 0.024638, 67580, 16683, 0, 0, 176, 23, 44, 0.012775, 0.00314, 64780, 4031, 0, 0, 32, 142, 3
do_compile, 1315683, 35.23, 49, 8, 21412, 2642, 4630628643, 194523564, 674987, 64972, 82587648, 134905856, 50892800, 0.499349, 0.08322399999999999, 78760, 12183, 0, 0, 12952, 918, 110, 214.124335, 26.421441, 321376, 9851498, 166, 161304, 250536, 29441, 97171
do_fetch, 550118, 0.01, 8, 0, 0, 0, 541331, 59287, 57, 81, 0, 53248, 0, 0.08590099999999999, 0.008180999999999999, 66380, 7114, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 576253, 0.14, 18, 1, 3, 1, 1975232, 1109839, 771, 463, 0, 1163264, 4096, 0.18498199999999998, 0.012064, 67000, 11685, 0, 0, 128, 14, 62, 0.039456, 0.018348, 61200, 9344, 0, 0, 2144, 197, 85
do_write_config, 637489, 0.02, 8, 1, 0, 0, 578480, 51880, 113, 92, 0, 40960, 0, 0.08220899999999999, 0.019573, 68484, 8438, 0, 0, 64, 3, 2, 0.002381, 0.0, 65780, 577, 0, 0, 16, 5, 0
do_prepare_recipe_sysroot, 1309992, 0.69, 29, 11, 2, 1, 2851859, 1325600, 995, 423, 696320, 1495040, 0, 0.293846, 0.119127, 72800, 10717, 0, 1112, 208, 34, 61, 0.025181, 0.01324, 67912, 2135, 3, 248, 2712, 34, 113
do_populate_lic, 723619, 0.46, 19, 4, 2, 1, 1630601, 314062, 734, 298, 0, 159744, 0, 0.19100999999999999, 0.042879, 71312, 19272, 0, 0, 248, 39, 76, 0.029761, 0.012307, 68216, 5092, 0, 0, 64, 129, 103
do_populate_sysroot, 1344383, 3.37, 46, 25, 66, 28, 70260198, 36980873, 15283, 2991, 0, 24461312, 0, 0.464315, 0.259701, 72892, 67495, 0, 0, 22080, 438, 150, 0.6690499999999999, 0.28656, 70968, 84255, 19, 0, 25696, 793, 627
do_deploy_source_date_epoch, 637494, 0.17, 13, 2, 1, 0, 800391, 166288, 509, 313, 0, 118784, 0, 0.138392, 0.020350999999999998, 68908, 19065, 0, 0, 192, 38, 36, 0.018616, 0.008712, 66108, 4704, 3, 0, 40, 71, 33
do_configure, 1310410, 11.56, 23, 1, 445, 65, 55108389, 20346552, 30920, 17239, 397312, 18460672, 1359872, 0.232291, 0.016893, 73188, 12067, 0, 8, 208, 33, 120, 4.454883, 0.6597, 70312, 332984, 4, 768, 35848, 5908, 5696
do_create_spdx, 696450, 0.14, 24, 3, 1, 1, 1610461, 527269, 774, 310, 0, 221184, 0, 0.24690399999999998, 0.036427999999999995, 73440, 21928, 0, 0, 328, 36, 3, 0.018546, 0.015196999999999999, 69828, 5255, 2, 0, 104, 167, 15
