Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 3773685, 15.02, 31, 0, 558, 87, 77121841, 22880356, 30846, 15179, 5386240, 20221952, 1409024, 0.319836, 0.008761999999999999, 60464, 10372, 0, 24, 224, 28, 51, 5.581485, 0.870429, 63020, 318478, 16, 10496, 39272, 7764, 7511
do_package_write_rpm, 3863750, 79.94, 108, 17, 15142, 506, 660058570, 85621751, 46332, 12084, 135168, 55721984, 0, 1.081985, 0.179033, 65552, 30642, 0, 264, 1376, 4016, 2250, 151.421498, 5.061693, 2115068, 3002005, 1, 0, 107456, 74921, 36028
do_collect_spdx_deps, 3779827, 0.62, 39, 3, 0, 0, 382150, 54940, 54, 58, 0, 53248, 0, 0.39273399999999997, 0.032389999999999995, 59724, 8159, 0, 0, 104, 0, 63, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 57708, 0.06, 9, 0, 1, 0, 520572, 131026, 432, 219, 0, 102400, 0, 0.09730799999999999, 0.008109, 63116, 16638, 0, 0, 168, 30, 72, 0.013231999999999999, 0.0023209999999999997, 60300, 4022, 0, 0, 32, 123, 13
do_install, 3817278, 2.52, 39, 2, 38, 31, 94184146, 84654362, 9089, 2851, 212992, 85811200, 20480, 0.39500599999999997, 0.023235, 60300, 15811, 1, 32, 736, 255, 326, 0.38576499999999997, 0.312087, 58216, 12143, 0, 384, 166864, 460, 6778
do_packagedata, 3842569, 1.96, 22, 7, 6, 5, 3085648, 2138786, 2916, 790, 106496, 1748992, 0, 0.22688599999999998, 0.07090199999999999, 60876, 24972, 5, 72, 664, 61, 91, 0.064311, 0.055208, 58080, 7710, 0, 136, 2752, 178, 123
do_deploy_source_date_epoch, 425091, 0.11, 13, 1, 1, 1, 585367, 167348, 500, 298, 0, 118784, 0, 0.13580899999999999, 0.016461, 65960, 18826, 0, 0, 192, 29, 6, 0.013727999999999999, 0.010107, 63160, 4709, 0, 0, 40, 125, 17
do_compile, 3783133, 67.38, 54, 5, 36968, 4561, 6969514225, 617609868, 1016655, 174497, 93933568, 273850368, 81301504, 0.545934, 0.057465999999999996, 63272, 10902, 0, 0, 15752, 1198, 69, 369.682838, 45.618699, 330948, 14901342, 257, 183464, 519112, 94238, 137462
do_patch, 350456, 0.62, 14, 1, 5, 0, 1945785, 1106365, 822, 455, 0, 1163264, 4096, 0.14052199999999998, 0.018489, 64448, 12067, 0, 0, 128, 13, 62, 0.05536, 0.0055, 58480, 9457, 0, 0, 2144, 207, 144
do_unpack, 348044, 1.32, 13, 2, 67, 20, 120633788, 206286459, 22649, 27660, 4096, 111497216, 0, 0.136106, 0.025519, 64468, 11846, 0, 0, 128, 10, 91, 0.671832, 0.201675, 61004, 4128, 0, 8, 217640, 12951, 13136
do_fetch, 58327, 15.17, 23, 2, 1, 4, 12849091, 12500172, 10102, 17701, 0, 12464128, 0, 0.235309, 0.024957, 72344, 10258, 0, 0, 120, 1217, 128, 0.019913, 0.044294, 57616, 926, 0, 0, 24224, 3870, 26
do_create_runtime_spdx, 3867445, 2.83, 100, 15, 3, 2, 9154238, 1326406, 7389, 492, 1044480, 872448, 0, 1.003109, 0.15198599999999998, 68988, 32042, 2, 2040, 1584, 277, 328, 0.033548999999999995, 0.023035999999999997, 64272, 5761, 0, 0, 120, 183, 99
do_populate_lic, 723735, 0.45, 18, 1, 3, 1, 1327959, 308124, 716, 282, 356352, 155648, 0, 0.18334599999999998, 0.016666999999999998, 69804, 18951, 1, 696, 240, 40, 61, 0.032152, 0.012846999999999999, 66720, 5076, 0, 0, 64, 122, 89
do_package_qa, 3863897, 8.31, 180, 69, 29, 49, 150524114, 695448, 39388, 771, 4096, 176128, 0, 1.800916, 0.6939299999999999, 92456, 88082, 1, 8, 272, 2142, 28392, 0.296936, 0.49197599999999997, 72768, 144085, 6, 0, 72, 883, 610
do_prepare_recipe_sysroot, 3772451, 2.34, 46, 33, 7, 1, 4153786, 1587636, 1824, 501, 5451776, 1769472, 16384, 0.46375299999999997, 0.333577, 61772, 11350, 12, 9112, 184, 266, 122, 0.072182, 0.018647, 56884, 6438, 26, 1536, 3272, 165, 119
