Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 292810, 0.03, 9, 1, 0, 0, 566986, 46612, 40, 53, 0, 49152, 0, 0.098262, 0.016377, 64352, 6951, 0, 0, 96, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 293669, 0.15, 18, 4, 2, 0, 1234879, 512862, 629, 316, 4096, 217088, 0, 0.189275, 0.048325, 66616, 20976, 0, 0, 320, 34, 14, 0.025387999999999997, 0.007385999999999999, 63712, 5238, 0, 8, 104, 111, 24
do_recipe_qa, 21374, 0.05, 7, 1, 1, 0, 688694, 129015, 405, 221, 0, 106496, 0, 0.07685299999999999, 0.019212999999999997, 61048, 16380, 0, 0, 176, 29, 4, 0.014183999999999999, 0.0, 58248, 4029, 0, 0, 32, 139, 9
do_install, 241544, 0.15, 19, 1, 6, 2, 2406906, 748946, 3533, 596, 0, 811008, 28672, 0.192852, 0.012053, 64652, 14338, 0, 0, 152, 48, 13, 0.060395, 0.021223, 61956, 16591, 1, 0, 1432, 222, 58
do_compile, 234920, 0.87, 17, 1, 112, 22, 23951763, 3595963, 13467, 3263, 0, 3596288, 1622016, 0.172727, 0.017272, 64592, 8373, 0, 0, 104, 87, 4, 1.123612, 0.223131, 61896, 149084, 6, 0, 6920, 1616, 293
do_fetch, 21472, 16.92, 10, 1, 1, 0, 1096366, 874280, 1051, 1579, 0, 651264, 0, 0.100574, 0.012067999999999999, 59904, 9359, 0, 0, 280, 291, 3, 0.011365, 0.0, 56368, 1676, 0, 0, 992, 287, 5
do_patch, 152666, 0.32, 14, 2, 17, 3, 2255748, 215456, 3092, 365, 0, 245760, 4096, 0.14885299999999999, 0.024808, 63020, 13752, 0, 0, 136, 29, 26, 0.17299599999999998, 0.038242, 57424, 47929, 1, 0, 344, 760, 174
do_prepare_recipe_sysroot, 196623, 0.04, 10, 1, 0, 0, 1304814, 824965, 334, 250, 0, 860160, 0, 0.10158099999999999, 0.015627, 63948, 8100, 0, 0, 144, 2, 4, 0.006095, 0.0038759999999999997, 58344, 593, 0, 0, 1536, 9, 1
do_deploy_source_date_epoch, 155164, 0.11, 13, 2, 1, 0, 758509, 157511, 475, 295, 0, 118784, 0, 0.132178, 0.028914, 64268, 18680, 0, 0, 192, 28, 86, 0.016175, 0.004196, 61412, 4682, 0, 0, 40, 139, 10
do_configure, 197367, 6.40, 21, 2, 398, 56, 81359725, 15458702, 47426, 14159, 0, 13815808, 5324800, 0.214494, 0.028329, 65248, 17182, 0, 0, 328, 244, 13, 3.9867429999999997, 0.567207, 62532, 587689, 24, 0, 26656, 6566, 1973
do_populate_sysroot, 244189, 0.29, 26, 7, 9, 5, 3981908, 1217702, 2139, 981, 0, 487424, 4096, 0.26425499999999996, 0.076595, 65120, 33815, 0, 0, 440, 76, 155, 0.09619599999999999, 0.051455, 62704, 24242, 2, 0, 512, 261, 102
do_create_runtime_spdx, 787363, 0.37, 15, 3, 2, 0, 994479, 355844, 419, 248, 0, 135168, 0, 0.15267699999999998, 0.036351, 70884, 16161, 0, 0, 184, 38, 270, 0.025758, 0.006743, 68072, 4273, 2, 0, 80, 108, 49
do_populate_lic, 747267, 0.34, 17, 6, 2, 1, 983534, 222753, 562, 267, 24576, 139264, 0, 0.17254999999999998, 0.06518499999999999, 71068, 18556, 1, 48, 224, 36, 98, 0.022272, 0.018796999999999998, 67980, 5015, 0, 0, 48, 108, 64
do_unpack, 151471, 0.09, 8, 3, 2, 3, 6263835, 9268854, 1359, 1427, 0, 5283840, 0, 0.088172, 0.034502, 63048, 13607, 0, 0, 136, 18, 6, 0.024513999999999998, 0.033034, 59600, 5209, 0, 0, 10184, 469, 25
