Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 728038, 0.53, 15, 3, 3, 0, 749300, 217922, 600, 252, 0, 135168, 0, 0.15151399999999998, 0.030302, 69480, 18358, 0, 0, 216, 54, 63, 0.037645, 0.00839, 66384, 5006, 0, 0, 48, 90, 64
do_collect_spdx_deps, 1471204, 0.16, 11, 1, 0, 0, 346782, 43707, 32, 45, 458752, 53248, 0, 0.110562, 0.016378999999999998, 69412, 5047, 0, 896, 104, 56, 31, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2277344, 0.59, 16, 4, 3, 2, 760936, 232171, 826, 310, 0, 196608, 0, 0.16200399999999998, 0.042429, 72648, 23242, 0, 0, 216, 39, 73, 0.033541, 0.021071, 69848, 6916, 0, 0, 168, 118, 106
do_recipe_qa, 499369, 0.29, 11, 3, 1, 0, 499239, 124535, 474, 206, 8192, 102400, 0, 0.11982699999999999, 0.031953999999999996, 66828, 16241, 0, 0, 168, 75, 152, 0.017686999999999998, 0.005222999999999999, 64020, 3972, 2, 16, 32, 79, 122
do_create_runtime_spdx, 3031038, 1.30, 20, 4, 2, 1, 1013667, 396934, 654, 250, 24576, 155648, 0, 0.20901899999999998, 0.040195999999999996, 62236, 21296, 0, 48, 216, 70, 106, 0.025838999999999997, 0.018463999999999998, 58668, 5344, 0, 0, 88, 116, 103
do_install, 2096054, 1.12, 20, 3, 12, 7, 2309339, 770542, 4761, 612, 577536, 843776, 28672, 0.20404799999999998, 0.037099, 65740, 14004, 0, 0, 216, 371, 148, 0.120317, 0.07603599999999999, 63664, 27221, 0, 1128, 1432, 576, 767
do_compile, 2081834, 4.46, 12, 0, 167, 21, 23726376, 3596720, 13832, 3255, 36864, 3600384, 1622016, 0.12789, 0.009472999999999999, 71040, 6122, 0, 0, 112, 88, 68, 1.671635, 0.210912, 68328, 149337, 5, 72, 6920, 2093, 1639
do_deploy_source_date_epoch, 571599, 0.20, 15, 2, 2, 0, 564250, 160114, 476, 282, 0, 118784, 0, 0.15928599999999998, 0.022754999999999997, 67140, 18553, 0, 0, 192, 35, 338, 0.020326, 0.006588999999999999, 64328, 4661, 0, 0, 40, 86, 48
do_package_qa, 3029673, 1.47, 18, 4, 3, 0, 1398976, 208914, 1539, 253, 724992, 159744, 0, 0.18809599999999999, 0.041381, 56592, 14730, 49, 1416, 272, 117, 1016, 0.038113, 0.0044919999999999995, 54324, 6428, 0, 0, 40, 75, 93
do_fetch, 499808, 0.05, 8, 0, 0, 0, 285754, 57538, 27, 70, 24576, 57344, 0, 0.08563799999999999, 0.0, 64988, 4728, 0, 48, 112, 1, 49, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 2008576, 0.25, 15, 7, 2, 0, 1748756, 1051813, 539, 303, 163840, 1097728, 0, 0.157347, 0.070806, 69248, 8848, 0, 320, 144, 23, 67, 0.022083, 0.0035169999999999997, 64256, 1206, 0, 0, 2000, 15, 15
do_unpack, 533254, 0.06, 5, 1, 3, 1, 6028004, 9261958, 1312, 1429, 0, 5275648, 0, 0.057706, 0.013316, 65164, 10950, 0, 0, 128, 16, 32, 0.034134, 0.013118999999999999, 61660, 4712, 0, 0, 10176, 472, 14
do_package, 2185526, 4.30, 45, 45, 88, 20, 7976760, 3784202, 6883, 1128, 0, 2588672, 0, 0.4537, 0.457901, 67848, 41883, 0, 0, 608, 652, 1691, 0.884655, 0.209163, 74808, 59845, 0, 0, 4448, 1605, 1298
do_patch, 534522, 0.15, 6, 1, 10, 1, 2308769, 204604, 2631, 311, 192512, 237568, 4096, 0.066902, 0.014867, 65200, 11816, 0, 0, 136, 40, 7, 0.108598, 0.014861999999999998, 59476, 37702, 10, 376, 328, 645, 27
do_configure, 2009316, 34.71, 29, 4, 546, 82, 112926754, 18128390, 55459, 16799, 2236416, 16265216, 7761920, 0.295736, 0.049289, 71240, 17445, 0, 1808, 336, 306, 310, 5.465453, 0.822283, 68500, 566367, 35, 2560, 31432, 8696, 7334
do_create_spdx, 2611573, 1.17, 25, 3, 5, 0, 1301272, 597920, 742, 320, 24576, 266240, 0, 0.250598, 0.039777, 75200, 25126, 0, 48, 408, 68, 103, 0.056524, 0.007222999999999999, 71584, 6328, 0, 0, 112, 204, 109
do_package_write_rpm, 3029542, 3.57, 25, 3, 244, 14, 5480090, 780155, 2450, 517, 471040, 532480, 0, 0.250504, 0.031313, 56756, 24178, 0, 744, 480, 297, 341, 2.4444369999999997, 0.147086, 325100, 100480, 0, 176, 560, 2025, 1133
do_populate_sysroot, 2285967, 1.80, 19, 3, 5, 1, 2534321, 985223, 1530, 610, 0, 319488, 0, 0.193269, 0.031554, 71980, 20508, 0, 0, 376, 211, 104, 0.053222, 0.015791, 69180, 7670, 0, 0, 248, 179, 234
