Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 682870, 0.01, 10, 0, 0, 0, 575291, 54060, 53, 64, 0, 53248, 0, 0.10062499999999999, 0.00805, 68956, 7294, 0, 0, 104, 0, 8, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 547949, 0.05, 12, 1, 0, 0, 654561, 128192, 195, 97, 0, 131072, 4096, 0.127968, 0.015510999999999999, 66152, 10415, 0, 0, 128, 6, 24, 0.008607, 0.0007869999999999999, 60064, 949, 0, 0, 128, 12, 6
do_recipe_qa, 523550, 0.06, 12, 1, 0, 0, 716641, 134720, 404, 232, 0, 106496, 0, 0.127031, 0.012702999999999999, 67612, 16674, 0, 0, 176, 23, 18, 0.009890999999999999, 0.0069359999999999995, 64812, 4046, 0, 0, 32, 144, 8
do_install, 1301391, 0.63, 22, 3, 29, 4, 13640737, 4432467, 1106, 368, 16384, 4517888, 4096, 0.222989, 0.031296, 72168, 14043, 0, 0, 152, 11, 96, 0.294597, 0.046792, 69468, 7639, 3, 32, 8672, 15, 66
do_populate_lic, 708378, 0.53, 22, 2, 2, 1, 849937, 183219, 574, 275, 0, 135168, 0, 0.22575299999999998, 0.029606999999999998, 71164, 18904, 0, 0, 224, 34, 301, 0.027816, 0.016138, 68068, 5003, 0, 0, 40, 132, 110
do_compile, 1281501, 69.71, 31, 4, 31302, 1467, 1317758436, 50949059, 191628, 28296, 7725056, 23789568, 3719168, 0.317218, 0.041739, 71468, 8905, 0, 0, 2016, 366, 402, 313.029752, 14.67364, 1013936, 7226102, 53, 15088, 44448, 11067, 109402
do_fetch, 525299, 0.01, 8, 0, 0, 0, 514268, 54422, 48, 73, 0, 53248, 0, 0.088846, 0.0, 66400, 7177, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 683072, 0.12, 17, 4, 2, 0, 1345895, 503457, 671, 297, 0, 212992, 0, 0.173445, 0.047303, 71760, 21405, 0, 0, 312, 34, 40, 0.022733, 0.007148, 68604, 5238, 1, 0, 104, 144, 11
do_prepare_recipe_sysroot, 1277602, 0.59, 30, 13, 1, 1, 2472665, 1214997, 725, 379, 307200, 1339392, 0, 0.307838, 0.138132, 71628, 10345, 0, 576, 160, 25, 97, 0.019791, 0.011321999999999999, 66740, 947, 0, 24, 2456, 15, 11
do_populate_sysroot, 1301847, 1.92, 37, 14, 27, 17, 26185238, 13086468, 5939, 1634, 0, 9101312, 0, 0.370712, 0.14673999999999998, 72644, 44395, 0, 0, 8032, 232, 139, 0.275934, 0.171667, 70456, 41509, 1, 0, 9744, 399, 352
do_configure, 1278359, 10.96, 31, 3, 353, 39, 45630585, 8027771, 14531, 5042, 290816, 8564736, 589824, 0.311241, 0.035013999999999997, 72624, 11963, 0, 8, 184, 40, 840, 3.531297, 0.390455, 69744, 193997, 11, 560, 16544, 1493, 3107
do_write_config, 577749, 0.07, 18, 1, 0, 0, 551545, 51714, 113, 100, 0, 36864, 0, 0.184335, 0.015688, 68012, 8657, 0, 0, 56, 9, 23, 0.000336, 0.0028369999999999997, 65312, 576, 0, 0, 16, 5, 11
do_create_runtime_spdx, 768091, 0.11, 20, 3, 1, 1, 1002501, 362335, 433, 259, 0, 139264, 0, 0.20635199999999998, 0.034392, 71264, 18795, 0, 0, 192, 29, 43, 0.011411, 0.014499, 68464, 4270, 0, 0, 80, 84, 41
do_unpack, 534214, 0.94, 8, 1, 86, 16, 129088705, 215888227, 19751, 29254, 69632, 115490816, 0, 0.089956, 0.016354999999999998, 66628, 11216, 1, 16, 120, 9, 5, 0.860684, 0.165387, 62664, 3605, 0, 120, 225448, 9013, 204
do_deploy_source_date_epoch, 577787, 0.20, 16, 5, 1, 1, 772237, 164212, 515, 309, 0, 118784, 0, 0.16949799999999998, 0.056499, 68464, 19170, 0, 0, 192, 52, 217, 0.015269999999999999, 0.014008, 65656, 4714, 1, 0, 40, 71, 78
