Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 708687, 0.38, 19, 1, 1, 2, 647486, 177219, 600, 259, 16384, 135168, 0, 0.196544, 0.01747, 69668, 18697, 1, 32, 224, 53, 76, 0.015545999999999999, 0.023076, 66560, 5001, 0, 0, 40, 89, 119
do_collect_spdx_deps, 3653453, 0.28, 28, 2, 0, 0, 355087, 50201, 45, 54, 8192, 49152, 0, 0.281954, 0.020430999999999998, 58384, 6008, 2, 16, 96, 2, 121, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_write_rpm, 3751503, 34.73, 38, 6, 3848, 55, 351567632, 57968722, 18146, 3461, 12288, 38490112, 0, 0.38353299999999996, 0.06464, 60412, 24529, 0, 24, 560, 193, 534, 38.484813, 0.553532, 708516, 270738, 1, 0, 74616, 9411, 6201
do_recipe_qa, 40121, 0.06, 7, 1, 1, 0, 485026, 128651, 408, 215, 0, 102400, 0, 0.0761, 0.01522, 62272, 16270, 0, 0, 168, 28, 9, 0.013297999999999999, 0.0008089999999999999, 59464, 4004, 0, 0, 32, 143, 6
do_install, 3747766, 1.43, 25, 3, 30, 12, 77006499, 67915876, 2026, 419, 4096, 68026368, 4096, 0.254079, 0.039869, 59124, 15431, 0, 0, 208, 156, 292, 0.305114, 0.124052, 57040, 11463, 0, 8, 132656, 469, 423
do_unpack, 303542, 1.28, 10, 2, 115, 19, 128868501, 215883363, 20017, 28563, 4096, 115494912, 0, 0.105346, 0.02341, 63652, 10721, 0, 8, 128, 9, 7, 1.151561, 0.198516, 60100, 3591, 0, 0, 225448, 8958, 1503
do_packagedata, 3751214, 1.04, 21, 2, 6, 0, 1040738, 421871, 942, 349, 4096, 299008, 0, 0.214386, 0.020225, 60144, 24354, 0, 8, 248, 39, 53, 0.06675099999999999, 0.00067, 57284, 7003, 0, 0, 336, 144, 31
do_compile, 3668976, 148.99, 21, 2, 41631, 1983, 2357908808, 988229101, 273284, 217945, 19533824, 289705984, 9314304, 0.21678399999999998, 0.025504, 58644, 6952, 0, 0, 2704, 438, 97, 416.311251, 19.835506, 1207124, 8809102, 94, 38152, 563128, 65186, 145508
do_fetch, 40183, 12.46, 29, 3, 3, 13, 19367361, 19011092, 19326, 26672, 0, 18972672, 0, 0.290153, 0.030364, 77896, 10705, 0, 0, 120, 1247, 37, 0.031813, 0.139326, 57196, 928, 0, 0, 36936, 12269, 40
do_package, 3748099, 9.32, 174, 79, 652, 95, 734573409, 434684171, 108358, 33528, 8192, 293093376, 134860800, 1.744848, 0.792385, 61568, 70664, 0, 8, 1168, 914, 9673, 6.523091, 0.956927, 154328, 261383, 23, 8, 571280, 17751, 15191
