Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 696070, 0.01, 7, 1, 0, 0, 346288, 42666, 30, 44, 0, 49152, 0, 0.073206, 0.012917999999999999, 67144, 6661, 0, 0, 96, 0, 51, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 496689, 1.19, 5, 1, 0, 0, 394358, 108506, 195, 223, 0, 110592, 0, 0.053925, 0.012444, 64560, 5820, 0, 0, 112, 12, 5, 0.001452, 0.0038079999999999998, 60948, 893, 0, 0, 104, 46, 0
do_patch, 530003, 0.02, 5, 0, 0, 0, 506964, 117776, 184, 77, 0, 126976, 4096, 0.053367, 0.004105, 64836, 8539, 0, 0, 120, 6, 4, 0.00363, 0.001856, 59132, 914, 0, 0, 128, 12, 1
do_recipe_qa, 496505, 0.06, 8, 0, 0, 0, 456092, 119134, 392, 205, 0, 102400, 0, 0.08138, 0.008138, 66348, 15938, 0, 0, 168, 29, 11, 0.008036999999999999, 0.008065, 63548, 3934, 0, 0, 32, 148, 5
do_install, 575299, 1.76, 15, 3, 42, 20, 3978730, 153241, 10761, 242, 0, 147456, 0, 0.154682, 0.034803, 59432, 14006, 0, 0, 168, 120, 218, 0.427185, 0.20213199999999998, 57352, 97128, 0, 0, 120, 2477, 3111
do_packagedata, 1353570, 0.79, 14, 4, 4, 1, 711301, 213697, 868, 308, 0, 184320, 0, 0.142617, 0.046349999999999995, 70548, 22836, 0, 0, 208, 66, 356, 0.044274, 0.013394, 67812, 6797, 1, 0, 152, 153, 138
do_compile, 574646, 0.09, 13, 1, 0, 0, 332555, 56441, 2685, 266, 0, 32768, 0, 0.135359, 0.019337, 66952, 8089, 0, 0, 64, 54, 18, 0.004399999999999999, 0.0, 64236, 542, 0, 0, 0, 3, 53
do_package, 1346502, 4.92, 57, 47, 75, 20, 5072434, 2709371, 16512, 910, 1179648, 2048000, 0, 0.579059, 0.47990499999999997, 62432, 31682, 0, 872, 824, 525, 7474, 0.7538079999999999, 0.201395, 60240, 20195, 7, 1432, 3176, 2490, 5292
do_populate_sysroot, 665153, 0.22, 15, 4, 3, 6, 1625181, 1162433, 956, 626, 0, 262144, 0, 0.158215, 0.042761, 68200, 22308, 0, 0, 456, 56, 16, 0.030542999999999997, 0.060091, 65400, 7079, 0, 0, 56, 267, 24
do_create_spdx, 1356406, 0.86, 17, 3, 3, 2, 1076933, 508247, 665, 283, 4096, 217088, 0, 0.17937499999999998, 0.036794, 72220, 23494, 0, 8, 320, 55, 52, 0.036219999999999995, 0.024236999999999998, 68600, 6192, 0, 0, 104, 312, 176
do_unpack, 528016, 0.03, 4, 2, 1, 0, 1207498, 1101012, 367, 274, 0, 868352, 0, 0.040234, 0.020117, 65148, 8605, 0, 0, 120, 8, 3, 0.011167, 0.003152, 61608, 1570, 0, 0, 1576, 41, 5
do_prepare_recipe_sysroot, 567726, 0.03, 6, 1, 1, 0, 1082859, 818981, 318, 239, 0, 847872, 0, 0.063371, 0.011882, 65332, 5677, 0, 0, 136, 2, 27, 0.012766999999999999, 0.0, 59580, 585, 0, 0, 1520, 8, 3
do_populate_lic, 723611, 0.51, 14, 4, 3, 0, 686167, 212925, 551, 250, 0, 126976, 0, 0.15001499999999998, 0.041671, 69380, 17996, 0, 0, 208, 35, 41, 0.035814, 0.0066289999999999995, 66296, 4924, 1, 0, 40, 92, 102
do_deploy_source_date_epoch, 567235, 0.19, 16, 0, 1, 1, 504999, 145547, 492, 282, 0, 110592, 0, 0.162969, 0.008357, 66992, 18226, 0, 0, 176, 48, 68, 0.011368, 0.015056, 64192, 4572, 0, 0, 40, 94, 102
do_configure, 568051, 3.16, 16, 3, 99, 12, 16163783, 1648436, 8488, 4514, 0, 1511424, 352256, 0.164758, 0.03707, 67608, 17125, 0, 0, 248, 91, 48, 0.994844, 0.127225, 64712, 107833, 2, 0, 2704, 1083, 876
do_package_qa, 1367363, 0.60, 15, 4, 3, 1, 682019, 203014, 1515, 251, 0, 155648, 0, 0.152771, 0.042436, 61416, 13823, 0, 0, 264, 88, 1123, 0.035699, 0.010476, 59212, 6436, 0, 0, 40, 97, 107
do_create_runtime_spdx, 1367441, 0.80, 16, 5, 2, 1, 889358, 391220, 622, 248, 0, 147456, 0, 0.16394899999999998, 0.051983999999999995, 71976, 20892, 0, 0, 208, 53, 156, 0.027195, 0.017318, 68464, 5291, 0, 0, 80, 120, 101
do_package_write_rpm, 1366910, 1.98, 21, 7, 124, 14, 1918758, 508176, 4239, 468, 0, 339968, 0, 0.21700899999999998, 0.072336, 61424, 20263, 0, 0, 488, 252, 1098, 1.244607, 0.141984, 261188, 79378, 0, 0, 176, 2416, 1805
