Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 699453, 0.01, 9, 0, 0, 0, 567263, 46628, 40, 53, 0, 49152, 0, 0.097522, 0.0039, 68700, 7195, 0, 0, 96, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 636611, 0.05, 9, 1, 1, 0, 714831, 130069, 406, 221, 0, 110592, 0, 0.09367099999999999, 0.015611, 68552, 16275, 0, 0, 184, 26, 9, 0.015401, 0.0008799999999999999, 65748, 4031, 0, 0, 32, 157, 10
do_install, 854337, 0.38, 19, 2, 4, 0, 884004, 137900, 915, 379, 0, 106496, 0, 0.19189399999999998, 0.026865, 70924, 11866, 0, 0, 112, 64, 57, 0.041677, 0.003708, 68224, 5808, 5, 0, 96, 83, 78
do_compile, 854198, 0.18, 14, 2, 0, 0, 582156, 46645, 146, 137, 0, 40960, 0, 0.144202, 0.021206, 70904, 6831, 0, 0, 72, 4, 35, 0.007858, 0.0, 68204, 919, 0, 0, 8, 8, 4
do_fetch, 637028, 0.09, 8, 0, 0, 0, 615349, 130330, 266, 260, 0, 131072, 0, 0.080745, 0.004037, 67248, 8064, 0, 0, 112, 48, 47, 0.0042109999999999995, 0.0, 63596, 814, 0, 0, 144, 49, 2
do_populate_lic, 722926, 0.45, 18, 4, 2, 1, 984191, 223754, 574, 266, 0, 135168, 0, 0.185411, 0.046352, 70744, 18488, 0, 0, 224, 41, 186, 0.026435999999999998, 0.018626, 67660, 5042, 0, 0, 40, 91, 96
do_deploy_source_date_epoch, 695539, 0.12, 20, 3, 2, 0, 771107, 160889, 480, 298, 0, 118784, 0, 0.206761, 0.03446, 69752, 18871, 0, 0, 192, 30, 10, 0.022402, 0.006255999999999999, 66884, 4707, 0, 0, 40, 88, 27
do_prepare_recipe_sysroot, 849187, 0.25, 13, 7, 2, 0, 2735803, 2024258, 684, 552, 0, 2097152, 0, 0.130083, 0.075532, 69316, 7079, 0, 0, 168, 2, 85, 0.02496, 0.006991, 64056, 640, 0, 0, 3928, 7, 8
do_patch, 681806, 0.03, 8, 1, 0, 0, 646470, 121628, 182, 86, 0, 126976, 4096, 0.083089, 0.016617, 67816, 10099, 0, 0, 120, 6, 4, 0.005075, 0.00407, 61904, 945, 0, 0, 128, 13, 1
do_configure, 849616, 7.38, 31, 3, 135, 17, 17021834, 1785429, 14142, 5129, 0, 1490944, 364544, 0.31212799999999996, 0.035558, 71276, 18910, 0, 0, 304, 144, 84, 1.358069, 0.17002499999999998, 68416, 117014, 3, 0, 2608, 2641, 2345
do_populate_sysroot, 854523, 1.06, 31, 4, 7, 2, 1275102, 391421, 1438, 833, 0, 245760, 4096, 0.31797, 0.045971, 71072, 28195, 0, 0, 400, 217, 120, 0.070742, 0.021324, 68952, 11059, 2, 0, 80, 186, 246
do_create_runtime_spdx, 781528, 0.38, 17, 3, 1, 1, 995869, 357698, 468, 248, 0, 139264, 0, 0.17376999999999998, 0.030892, 71276, 16176, 0, 0, 192, 59, 90, 0.01698, 0.016305999999999998, 68468, 4271, 0, 0, 80, 71, 118
do_create_spdx, 700347, 0.14, 18, 4, 2, 1, 1250976, 497644, 617, 286, 0, 212992, 0, 0.18720599999999998, 0.048836, 71988, 21135, 0, 0, 312, 31, 5, 0.025907, 0.010251, 68368, 5244, 0, 0, 104, 105, 31
do_unpack, 672542, 0.01, 7, 0, 0, 0, 884431, 550387, 143, 115, 0, 323584, 0, 0.08000199999999999, 0.004, 67524, 9817, 0, 0, 56, 6, 3, 0.006529, 0.0, 63860, 968, 0, 0, 576, 14, 1
