Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_qa, 2831225, 10.71, 48, 33, 24, 26, 109017392, 589122, 22616, 479, 0, 163840, 0, 0.489859, 0.33110799999999996, 106020, 60251, 0, 0, 264, 59, 16426, 0.246166, 0.26381899999999997, 75876, 123501, 1, 0, 56, 416, 895
do_collect_spdx_deps, 1454645, 0.11, 13, 1, 0, 0, 348636, 43930, 32, 45, 430080, 53248, 0, 0.133762, 0.016212999999999998, 69432, 7243, 0, 840, 104, 32, 44, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 37783, 0.06, 7, 1, 1, 0, 478004, 124592, 396, 207, 0, 102400, 0, 0.07184, 0.016902999999999998, 62236, 16410, 0, 0, 168, 29, 1, 0.012511999999999999, 0.0013939999999999998, 59436, 3939, 0, 0, 32, 151, 11
do_install, 1925260, 10.08, 30, 6, 97, 68, 121091372, 110573795, 31111, 5237, 61440, 110706688, 32075776, 0.301244, 0.060247999999999996, 65348, 15152, 0, 32, 448, 916, 283, 0.97346, 0.682167, 63212, 204459, 3, 88, 215776, 2981, 8046
do_patch, 289090, 0.19, 8, 4, 11, 1, 2304168, 686991, 2180, 368, 4096, 712704, 4096, 0.08982899999999999, 0.044913999999999996, 63560, 12956, 0, 0, 144, 21, 59, 0.115349, 0.018482, 57452, 28402, 0, 8, 1248, 449, 33
do_compile, 1695151, 85.96, 32, 3, 33768, 3550, 4931941733, 688776465, 602408, 169614, 59142144, 329240576, 798720, 0.329575, 0.039776, 70792, 8463, 0, 0, 808, 1209, 79, 337.689835, 35.50227, 661612, 11602870, 247, 115512, 642240, 98877, 178664
do_packagedata, 1994229, 0.78, 23, 3, 5, 1, 1256146, 556099, 1044, 358, 0, 401408, 0, 0.23887499999999998, 0.038528, 72016, 24232, 0, 0, 240, 68, 78, 0.056552, 0.016855, 69280, 6983, 0, 0, 544, 167, 97
do_prepare_recipe_sysroot, 1584100, 0.41, 17, 8, 2, 0, 1916288, 1093774, 584, 315, 425984, 1150976, 0, 0.175886, 0.086148, 68668, 7160, 0, 832, 152, 29, 139, 0.020871, 0.0067859999999999995, 63636, 1226, 0, 0, 2096, 15, 10
do_fetch, 37888, 22.47, 5, 0, 0, 0, 288526, 56448, 29, 70, 0, 57344, 0, 0.053471, 0.008225999999999999, 60540, 6689, 0, 0, 112, 2, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_make_icudata, 1618756, 0.06, 13, 2, 0, 0, 309666, 24884, 49, 54, 0, 24576, 0, 0.131613, 0.027096, 70112, 8222, 0, 0, 48, 2, 6, 0.002679, 0.0, 67396, 376, 0, 0, 0, 1, 0
do_package_write_rpm, 2827853, 76.38, 27, 7, 4518, 73, 513067437, 79061615, 31190, 4714, 360448, 52473856, 0, 0.27694199999999997, 0.073562, 68016, 24103, 0, 616, 672, 869, 534, 45.186273, 0.7323419999999999, 886152, 331613, 1, 88, 101816, 10753, 14747
do_populate_sysroot, 1956875, 6.37, 37, 13, 97, 22, 281899432, 201877530, 23211, 10256, 8192, 159014912, 37847040, 0.374779, 0.13555799999999998, 71500, 28455, 0, 0, 135488, 189, 391, 0.974154, 0.222734, 99428, 60824, 1, 16, 175088, 964, 1047
do_configure, 1619384, 42.00, 20, 4, 469, 90, 80670416, 5080312, 49920, 11492, 6742016, 5079040, 1929216, 0.206646, 0.048843, 70876, 17439, 0, 2256, 328, 364, 36, 4.69871, 0.9077729999999999, 67968, 636206, 10, 10912, 9592, 7019, 3379
do_deploy_source_date_epoch, 307330, 0.12, 13, 2, 1, 1, 548633, 159245, 478, 285, 0, 114688, 0, 0.13999799999999998, 0.021211, 65276, 18638, 0, 0, 184, 30, 4, 0.016464, 0.010648999999999999, 62488, 4620, 0, 0, 40, 95, 21
do_create_runtime_spdx, 2832217, 3.63, 24, 2, 2, 0, 4508125, 452270, 1157, 262, 1343488, 192512, 0, 0.24670599999999998, 0.027410999999999998, 75528, 24594, 0, 2624, 288, 89, 91, 0.029754, 0.007934, 71200, 5337, 0, 0, 88, 130, 98
do_create_spdx, 1997008, 3.59, 106, 19, 7, 3, 5733455, 6404777, 1397, 6880, 438272, 2420736, 0, 1.065517, 0.19194899999999998, 101300, 41227, 0, 856, 4424, 70, 2671, 0.07328, 0.036048, 70496, 8934, 2, 0, 304, 479, 195
do_populate_lic, 716353, 0.43, 17, 4, 2, 1, 731296, 205851, 565, 251, 32768, 135168, 0, 0.171047, 0.040725, 69576, 18576, 1, 64, 216, 38, 272, 0.026191, 0.016236999999999998, 66488, 4958, 1, 0, 48, 146, 84
do_package, 1957271, 15.29, 222, 126, 978, 180, 951360395, 549170466, 173847, 48931, 81920, 369577984, 184721408, 2.227207, 1.2648329999999999, 69304, 97697, 0, 160, 2040, 958, 27722, 9.782971, 1.8088, 178312, 448901, 25, 0, 719792, 20851, 26502
do_unpack, 42164, 0.83, 4, 3, 69, 17, 159164607, 322145394, 16531, 22118, 4096, 228700160, 0, 0.045516, 0.033102, 60260, 12280, 0, 0, 128, 16, 1, 0.690637, 0.174721, 56892, 3936, 0, 8, 446552, 3437, 29
