Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_packagedata, 2275864, 0.36, 19, 5, 4, 2, 1702435, 971439, 2307, 571, 0, 1114112, 0, 0.196134, 0.052035, 72440, 23330, 0, 0, 408, 101, 55, 0.045708, 0.027701, 69640, 7298, 0, 0, 1768, 154, 160
do_package_write_rpm, 3451078, 29.07, 81, 9, 5954, 307, 43551502, 7237695, 30977, 5472, 6950912, 4128768, 0, 0.8173229999999999, 0.094306, 60480, 28996, 1, 1016, 872, 1889, 1298, 59.545601, 3.076058, 1605672, 2026948, 3, 12560, 7192, 42857, 15912
do_collect_spdx_deps, 1469803, 0.15, 11, 1, 0, 0, 357622, 43756, 33, 45, 487424, 53248, 0, 0.11963, 0.013803, 69452, 5275, 0, 952, 104, 27, 37, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 507618, 0.21, 15, 2, 1, 0, 510828, 124394, 441, 206, 4096, 102400, 0, 0.153864, 0.026926, 66916, 16314, 0, 0, 168, 60, 75, 0.014969999999999999, 0.009845999999999999, 64116, 3992, 0, 8, 32, 77, 76
do_install, 2125700, 3.29, 22, 3, 46, 11, 8124324, 4539271, 8986, 1143, 24576, 4726784, 20480, 0.227398, 0.034109, 66456, 14572, 0, 0, 264, 305, 241, 0.469871, 0.118847, 64368, 86911, 3, 48, 8968, 1408, 2812
do_compile, 2098870, 12.81, 18, 2, 1438, 215, 214996724, 24864822, 75530, 16544, 2347008, 9732096, 81920, 0.186166, 0.024822, 71124, 6248, 0, 0, 376, 417, 85, 14.386339, 2.152551, 68408, 776905, 41, 4584, 18632, 8515, 10921
do_unpack, 561309, 0.25, 9, 2, 6, 3, 6304996, 9300530, 1417, 2000, 151552, 6885376, 0, 0.092901, 0.02787, 65584, 13666, 0, 0, 152, 26, 43, 0.061527, 0.036973, 61788, 7173, 5, 296, 13296, 370, 183
do_fetch, 508955, 16.35, 11, 3, 1, 0, 1006934, 1006615, 1214, 1832, 24576, 786432, 0, 0.11347, 0.031301999999999996, 65088, 10611, 1, 48, 288, 350, 252, 0.010317999999999999, 0.003777, 61876, 1612, 0, 0, 1248, 365, 7
do_package_qa, 3451091, 14.22, 346, 75, 113, 137, 21335531, 1711825, 19086, 1346, 5083136, 208896, 0, 3.462867, 0.7578659999999999, 60524, 223823, 80, 9904, 296, 1908, 8574, 1.137842, 1.371534, 58212, 523276, 32, 24, 112, 2508, 3337
do_prepare_recipe_sysroot, 2016202, 2.78, 12, 7, 2, 0, 1759596, 1051862, 540, 303, 61440, 1097728, 0, 0.129357, 0.07583, 69392, 8923, 0, 120, 144, 18, 45, 0.025918999999999998, 0.0, 64256, 1213, 0, 0, 2000, 39, 9
do_patch, 562602, 0.85, 11, 3, 18, 3, 2157962, 213741, 3150, 345, 0, 221184, 4096, 0.11169699999999999, 0.031913, 65576, 15498, 0, 0, 152, 30, 92, 0.18231899999999998, 0.034899, 59616, 47262, 0, 0, 280, 764, 305
do_create_spdx, 2605192, 7.61, 73, 28, 34, 19, 5122914, 4732097, 3332, 4852, 24576, 1908736, 0, 0.737698, 0.285858, 77556, 117492, 0, 48, 3504, 310, 393, 0.347922, 0.195208, 74244, 31282, 0, 0, 224, 3661, 944
do_configure, 2022041, 29.62, 29, 5, 553, 90, 119356358, 18320366, 56608, 17259, 1609728, 16977920, 9695232, 0.291404, 0.059877, 71408, 17830, 0, 360, 328, 318, 105, 5.5362279999999995, 0.902959, 68576, 579007, 34, 2784, 32832, 6968, 5461
do_populate_sysroot, 2299380, 1.31, 35, 36, 76, 78, 30842265, 8976701, 20323, 3154, 0, 8175616, 1867776, 0.351126, 0.370004, 71888, 79525, 0, 0, 8152, 145, 225, 0.767909, 0.782863, 69896, 250063, 5, 0, 7816, 1213, 1100
do_create_runtime_spdx, 3536002, 2.45, 77, 8, 4, 0, 6679090, 1243733, 4071, 433, 1519616, 716800, 0, 0.779158, 0.086573, 62776, 24599, 2, 2968, 1280, 223, 255, 0.043282, 0.007894, 59172, 5678, 0, 0, 120, 138, 68
do_deploy_source_date_epoch, 573342, 0.26, 15, 3, 2, 0, 575089, 160167, 449, 282, 0, 114688, 0, 0.150645, 0.034763999999999996, 67308, 18804, 0, 0, 184, 24, 23, 0.022019, 0.006449, 64508, 4661, 0, 0, 40, 76, 68
do_populate_lic, 780185, 0.45, 13, 2, 3, 1, 789988, 220184, 598, 256, 0, 143360, 0, 0.137957, 0.020693, 69904, 16368, 0, 0, 224, 49, 66, 0.03078, 0.010263, 66804, 5004, 1, 0, 56, 117, 91
do_package, 2145636, 23.14, 411, 220, 5932, 473, 158908845, 34325126, 130635, 12952, 4096, 24600576, 10567680, 4.116855, 2.206143, 72240, 332463, 0, 0, 2976, 15886, 10438, 59.326427, 4.730143, 70096, 1604039, 71, 8, 45072, 38499, 35400
