Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_qa, 1380154, 3.06, 78, 33, 4, 0, 23776406, 291939, 18114, 580, 0, 163840, 0, 0.7870269999999999, 0.331153, 65508, 19814, 0, 0, 280, 2931, 13935, 0.04894, 0.0, 63288, 6428, 0, 0, 40, 133, 72
do_install, 891562, 9.46, 8, 2, 455, 119, 73001464, 19675377, 137520, 3907, 32768, 20938752, 0, 0.08724499999999999, 0.029081, 59476, 14080, 0, 0, 272, 825, 18, 4.552569, 1.191001, 57372, 1458175, 4, 64, 40624, 76567, 4534
do_collect_spdx_deps, 686391, 0.02, 9, 0, 0, 0, 346459, 42415, 30, 44, 0, 53248, 0, 0.097491, 0.009283999999999999, 66984, 6790, 0, 0, 104, 0, 93, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 513783, 0.17, 16, 2, 1, 0, 504377, 143698, 471, 279, 0, 106496, 0, 0.16705799999999998, 0.027195, 66844, 18445, 0, 0, 168, 41, 39, 0.018889, 0.008716, 64040, 4618, 0, 0, 40, 121, 71
do_create_spdx, 1380142, 10.04, 53, 50, 63, 28, 5427762, 2909250, 5017, 894, 16384, 1536000, 0, 0.532557, 0.500965, 75108, 152743, 0, 32, 2752, 464, 197, 0.631782, 0.28633, 71796, 49362, 6, 0, 248, 9260, 2019
do_packagedata, 1379372, 1.04, 22, 6, 5, 9, 2879985, 2282045, 3319, 867, 147456, 1884160, 0, 0.220275, 0.067776, 70852, 22807, 0, 0, 792, 76, 85, 0.057074, 0.09325599999999999, 68052, 7619, 4, 288, 2888, 244, 110
do_recipe_qa, 394288, 0.11, 10, 3, 1, 0, 455363, 117905, 382, 205, 0, 102400, 0, 0.100758, 0.034878, 65776, 16022, 0, 0, 168, 26, 9, 0.01554, 0.007084999999999999, 62972, 3942, 0, 0, 32, 131, 34
do_compile, 889051, 0.61, 14, 2, 607, 131, 144647941, 19258747, 89344, 12938, 63021056, 19574784, 0, 0.147997, 0.028877, 69556, 6561, 0, 0, 664, 900, 86, 6.076399, 1.31843, 66640, 722405, 89, 123088, 37568, 6602, 2388
do_fetch, 400087, 27.46, 10, 1, 1226, 66, 428814169, 430116004, 118473, 59559, 0, 144564224, 8192, 0.100978, 0.014959, 63700, 7756, 0, 0, 152, 235, 59, 12.269112, 0.66359, 60036, 84878, 0, 0, 282200, 61625, 9457
do_populate_sysroot, 903534, 0.14, 7, 2, 4, 3, 9861508, 3645106, 2309, 878, 0, 487424, 0, 0.07964399999999999, 0.023892999999999998, 69668, 19984, 0, 0, 272, 58, 4, 0.048559, 0.036946, 66848, 8331, 0, 0, 680, 193, 21
do_create_runtime_spdx, 1386846, 2.49, 73, 13, 4, 1, 3809630, 1526484, 2960, 532, 0, 1040384, 0, 0.7334459999999999, 0.133722, 74848, 22468, 0, 0, 1912, 59, 130, 0.044608999999999996, 0.011833, 71588, 5756, 0, 0, 120, 199, 84
do_prepare_recipe_sysroot, 884657, 0.04, 8, 1, 1, 0, 1178248, 904694, 348, 261, 4096, 942080, 0, 0.08319499999999999, 0.016638999999999998, 67712, 5945, 0, 8, 144, 3, 7, 0.013727999999999999, 0.001997, 62020, 594, 0, 0, 1696, 9, 0
do_patch, 494512, 0.04, 6, 1, 0, 0, 1247793, 632620, 370, 204, 0, 647168, 4096, 0.066582, 0.015646999999999998, 64788, 8616, 0, 0, 120, 6, 7, 0.009437, 0.001557, 58964, 939, 0, 0, 1144, 13, 4
do_configure, 885167, 2.04, 12, 2, 85, 14, 17525786, 2218734, 10525, 4817, 53248, 1921024, 339968, 0.12781399999999998, 0.021294999999999998, 69756, 18002, 0, 0, 248, 72, 7, 0.8534999999999999, 0.14113, 66840, 131432, 0, 104, 3504, 1402, 100
do_package, 1346495, 20.46, 186, 184, 241, 103, 140130596, 69797874, 106386, 8884, 21327872, 29609984, 0, 1.868455, 1.844137, 69232, 179140, 0, 1016, 3720, 11845, 40257, 2.416363, 1.031315, 97604, 134032, 4, 40640, 54112, 16720, 24554
do_populate_lic, 712003, 0.50, 12, 4, 3, 1, 737462, 223874, 581, 252, 0, 131072, 0, 0.129403, 0.040159, 69372, 18088, 0, 0, 208, 49, 32, 0.033631, 0.010654, 66288, 4932, 3, 0, 48, 88, 101
do_package_write_rpm, 1380151, 43.92, 77, 11, 11956, 755, 147548589, 21656501, 28786, 9944, 0, 13111296, 0, 0.772905, 0.11219499999999999, 64564, 25580, 0, 0, 1200, 4864, 2214, 119.567879, 7.5501380000000005, 2057128, 3623163, 0, 0, 24408, 129350, 30076
do_unpack, 492599, 0.39, 4, 2, 27, 9, 4688134, 77901223, 1989, 5418, 8192, 79495168, 12288, 0.046167, 0.023083, 64208, 12399, 0, 0, 72, 31, 6, 0.274983, 0.09319899999999999, 148868, 44213, 0, 16, 155192, 63, 23
