Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 527648, 0.02, 7, 0, 0, 0, 565274, 46326, 40, 53, 0, 53248, 0, 0.07497999999999999, 0.007892, 66632, 7117, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 720348, 0.45, 19, 4, 2, 1, 1136182, 260955, 596, 272, 45056, 147456, 0, 0.195703, 0.042544, 70800, 18513, 3, 88, 224, 37, 199, 0.023941, 0.019037, 67700, 5031, 1, 0, 64, 104, 61
do_prepare_recipe_sysroot, 977990, 0.26, 21, 12, 3, 0, 3141703, 2256014, 782, 610, 131072, 2330624, 0, 0.219362, 0.122267, 68800, 8665, 0, 256, 144, 12, 78, 0.036774, 0.0, 63912, 645, 0, 0, 4408, 9, 69
do_recipe_qa, 39260, 0.05, 7, 1, 1, 0, 697876, 128956, 405, 221, 0, 106496, 0, 0.078791, 0.019697, 62528, 16422, 0, 0, 176, 29, 0, 0.011479, 0.001969, 59728, 4027, 0, 0, 32, 126, 2
do_install, 995547, 0.18, 20, 2, 2, 1, 1040867, 200015, 1127, 413, 40960, 176128, 0, 0.205141, 0.020111, 70848, 13701, 0, 0, 112, 66, 33, 0.028797999999999997, 0.015475, 68156, 7264, 2, 80, 232, 107, 77
do_compile, 993695, 0.11, 17, 1, 0, 0, 640611, 46569, 191, 157, 0, 36864, 0, 0.17133199999999998, 0.011422, 69924, 8360, 0, 0, 72, 9, 60, 0.004614, 0.006483999999999999, 67232, 1670, 0, 0, 0, 20, 21
do_create_runtime_spdx, 780952, 0.48, 16, 1, 2, 0, 993634, 356769, 450, 248, 0, 139264, 0, 0.166377, 0.012173, 71340, 16346, 0, 0, 192, 53, 50, 0.027197, 0.0052179999999999995, 68540, 4248, 0, 0, 80, 74, 68
do_fetch, 39374, 11.18, 9, 2, 0, 0, 680204, 444407, 332, 900, 0, 241664, 0, 0.096439, 0.020090999999999998, 61396, 9416, 0, 0, 264, 57, 4, 0.003163, 0.00603, 57576, 1617, 0, 0, 208, 56, 3
do_patch, 40611, 0.05, 7, 0, 2, 0, 994233, 196739, 724, 156, 0, 221184, 4096, 0.070757, 0.008844, 61772, 11360, 0, 0, 128, 13, 9, 0.026643, 0.004836, 55688, 9382, 0, 0, 304, 144, 6
do_configure, 979118, 2.68, 27, 4, 108, 16, 17672322, 2140753, 9518, 5299, 524288, 1740800, 372736, 0.276592, 0.044851999999999996, 70432, 17165, 0, 560, 288, 116, 145, 1.08044, 0.169987, 67668, 122247, 2, 464, 3112, 1204, 655
do_populate_sysroot, 996523, 0.18, 23, 4, 2, 2, 1770313, 521818, 1233, 839, 0, 315392, 4096, 0.23585099999999998, 0.042881999999999997, 71284, 27120, 0, 0, 384, 75, 14, 0.029268, 0.029195, 68852, 10725, 0, 0, 232, 249, 24
do_create_spdx, 527900, 0.12, 13, 1, 2, 0, 1256269, 499103, 626, 292, 0, 212992, 0, 0.13605499999999998, 0.019436, 68656, 21327, 0, 0, 312, 38, 6, 0.023565, 0.004666, 65520, 5264, 0, 0, 104, 162, 11
do_unpack, 40599, 0.02, 5, 0, 1, 0, 1226752, 1146356, 317, 290, 0, 643072, 0, 0.054646, 0.007806, 61728, 8539, 0, 0, 56, 8, 3, 0.013278, 0.001075, 57820, 1887, 0, 0, 1200, 122, 2
do_deploy_source_date_epoch, 42020, 0.08, 9, 1, 1, 0, 752622, 159960, 494, 295, 0, 118784, 0, 0.09634899999999999, 0.017518, 62592, 18726, 0, 0, 192, 34, 5, 0.014544999999999999, 0.005442, 59788, 4698, 0, 0, 40, 132, 10
