Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2976882, 0.22, 16, 0, 0, 0, 364444, 53618, 57, 60, 0, 49152, 0, 0.160912, 0.008045, 61212, 5765, 0, 0, 96, 0, 104, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile_ptest_base, 3006043, 0.17, 9, 1, 0, 0, 322865, 38626, 102, 112, 0, 28672, 0, 0.09966499999999999, 0.011073, 61676, 6575, 0, 0, 56, 16, 66, 0.002522, 0.0, 58972, 370, 0, 0, 0, 1, 16
do_configure, 2969787, 11.59, 18, 2, 251, 32, 35990300, 8340779, 9142, 2725, 266240, 9003008, 499712, 0.189042, 0.02011, 61784, 11680, 0, 24, 168, 22, 98, 2.51673, 0.321339, 58868, 139575, 5, 496, 17416, 1176, 1347
do_recipe_qa, 388211, 0.12, 13, 2, 1, 0, 509090, 133301, 406, 221, 0, 102400, 0, 0.138533, 0.027705999999999998, 66104, 16677, 0, 0, 168, 25, 69, 0.012745999999999999, 0.009483, 63296, 4021, 1, 0, 32, 117, 12
do_install, 3006721, 1.90, 26, 3, 24, 9, 11807418, 2516881, 2900, 745, 20480, 2736128, 0, 0.266971, 0.037542, 56668, 14451, 2, 16, 224, 187, 367, 0.248406, 0.09705699999999999, 54588, 11926, 0, 24, 5120, 28, 1292
do_packagedata, 3032264, 1.29, 21, 3, 5, 4, 1844457, 1286783, 1845, 560, 0, 843776, 0, 0.21251299999999998, 0.039846, 62308, 24516, 0, 0, 496, 94, 130, 0.056787, 0.042430999999999996, 59468, 7275, 0, 0, 1152, 145, 244
do_compile, 2983642, 20.33, 18, 3, 1129, 139, 240489470, 16865388, 40575, 7146, 1392640, 9183232, 4435968, 0.183001, 0.034046, 61388, 8712, 0, 0, 600, 131, 48, 11.296114, 1.390604, 79876, 503116, 9, 2720, 17336, 3465, 5174
do_install_ptest_base, 3009150, 0.46, 18, 1, 1, 0, 405388, 54287, 606, 207, 4096, 32768, 0, 0.180595, 0.019523, 56888, 10689, 0, 0, 56, 60, 380, 0.013037, 0.002767, 54804, 1703, 0, 8, 8, 12, 79
do_fetch, 390586, 1.53, 14, 2, 0, 1, 1677565, 1383516, 1199, 2012, 0, 1372160, 0, 0.146974, 0.023833, 64440, 8433, 0, 0, 120, 92, 15, 0.001549, 0.015014999999999999, 60888, 922, 0, 0, 2560, 701, 7
do_package_write_rpm, 3034312, 20.34, 59, 7, 3816, 209, 22264287, 4278487, 13548, 3834, 0, 2469888, 0, 0.5976509999999999, 0.07309399999999999, 59564, 25723, 0, 0, 752, 2482, 1320, 38.163269, 2.095729, 1583228, 1357595, 0, 0, 4072, 27622, 12567
do_write_config, 504018, 0.08, 14, 2, 0, 0, 357890, 63244, 139, 104, 0, 49152, 0, 0.144292, 0.024735, 66752, 8223, 0, 0, 64, 7, 38, 0.0013289999999999999, 0.0034779999999999998, 64028, 789, 0, 0, 32, 14, 20
