Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 52028, 0.13, 10, 3, 8, 4, 3483637, 815073, 1826, 825, 0, 274432, 0, 0.10669, 0.031612, 63056, 31139, 0, 0, 304, 63, 72, 0.08080699999999999, 0.041074, 60684, 33269, 0, 0, 232, 311, 37
do_collect_spdx_deps, 700186, 0.01, 7, 0, 0, 0, 332093, 40176, 26, 42, 4096, 53248, 0, 0.072737, 0.0, 66812, 6491, 0, 8, 104, 1, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile, 51897, 0.03, 4, 0, 0, 0, 288730, 18830, 43, 49, 0, 20480, 0, 0.046151, 0.008391, 62192, 7754, 0, 0, 40, 2, 0, 0.0014219999999999999, 0.0, 59476, 365, 0, 0, 0, 1, 0
do_recipe_qa, 43123, 0.05, 5, 1, 0, 0, 464122, 121486, 365, 210, 0, 106496, 0, 0.056406, 0.016116, 62456, 15666, 0, 0, 176, 21, 5, 0.008076, 0.005005, 59644, 3994, 0, 0, 32, 150, 7
do_install, 51936, 0.06, 6, 0, 1, 0, 972358, 457902, 708, 177, 0, 495616, 0, 0.06573999999999999, 0.0077339999999999996, 62608, 13410, 0, 0, 64, 9, 2, 0.014265, 0.001366, 59912, 4471, 0, 0, 904, 64, 3
do_create_runtime_spdx, 790359, 0.40, 10, 3, 2, 0, 758513, 349498, 412, 237, 0, 135168, 0, 0.100268, 0.030851, 69384, 15351, 0, 0, 184, 38, 38, 0.029276, 0.003816, 66580, 4254, 1, 0, 80, 92, 67
do_fetch, 43209, 1.08, 3, 1, 9, 2, 5239459, 2527613, 3811, 825, 0, 1019904, 12288, 0.035594, 0.013347999999999999, 60648, 7429, 0, 0, 136, 109, 4, 0.093667, 0.025897999999999997, 57188, 11985, 0, 0, 1856, 1027, 42
do_create_spdx, 700629, 0.12, 12, 3, 1, 1, 965334, 484765, 578, 274, 0, 208896, 0, 0.127421, 0.039819, 70052, 20367, 0, 0, 304, 36, 8, 0.016118, 0.016954, 66452, 5238, 0, 0, 104, 145, 14
do_patch, 43773, 0.02, 3, 1, 0, 0, 411228, 115549, 168, 75, 0, 126976, 4096, 0.03117, 0.011689, 60200, 7443, 0, 0, 120, 6, 2, 0.004351, 0.000766, 54548, 941, 1, 0, 128, 13, 3
do_prepare_recipe_sysroot, 51819, 0.01, 3, 0, 0, 0, 273224, 66298, 22, 44, 0, 69632, 0, 0.031962, 0.003994999999999999, 60784, 4349, 0, 0, 136, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_unpack, 43696, 0.11, 3, 0, 6, 3, 4568777, 1022824, 1646, 318, 0, 1531904, 8192, 0.037142, 0.008253, 60664, 11995, 0, 0, 64, 32, 5, 0.06922099999999999, 0.030156, 57004, 14876, 0, 0, 2928, 43, 13
do_configure, 51860, 0.03, 4, 1, 0, 0, 288736, 56193, 43, 72, 0, 61440, 0, 0.044309, 0.014769, 62440, 8060, 0, 0, 120, 2, 1, 0.001553, 0.0, 59508, 376, 0, 0, 0, 1, 0
do_populate_lic, 755071, 0.19, 10, 3, 2, 1, 673065, 195049, 587, 256, 16384, 139264, 0, 0.10695299999999999, 0.038196999999999995, 69360, 17958, 1, 32, 232, 45, 39, 0.025223, 0.014138999999999999, 66276, 4972, 1, 0, 40, 77, 59
do_deploy_source_date_epoch, 51683, 0.07, 6, 2, 1, 0, 517924, 149200, 476, 287, 0, 114688, 0, 0.065569, 0.021856, 62608, 17992, 0, 0, 184, 32, 2, 0.015049, 0.001184, 59808, 4686, 0, 0, 40, 149, 7
