Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 755083, 0.21, 21, 3, 2, 1, 1268301, 284903, 663, 282, 0, 143360, 0, 0.212501, 0.037946, 71332, 18868, 0, 0, 224, 59, 315, 0.026379999999999997, 0.013859, 68248, 4996, 1, 0, 56, 87, 84
do_collect_spdx_deps, 686473, 0.02, 13, 1, 0, 0, 591502, 50274, 53, 59, 4096, 53248, 0, 0.137925, 0.019703, 68132, 7089, 0, 8, 104, 1, 88, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 67775, 0.04, 8, 2, 0, 0, 730747, 131658, 412, 227, 0, 106496, 0, 0.08481699999999999, 0.020194, 63480, 16274, 0, 0, 176, 25, 3, 0.006664, 0.006494, 60680, 3976, 0, 0, 32, 126, 5
do_install, 966424, 2.20, 22, 4, 34, 5, 7527393, 466816, 3270, 707, 8192, 409600, 4096, 0.223385, 0.043879, 70356, 13694, 0, 0, 152, 106, 105, 0.341327, 0.054981999999999996, 67664, 37441, 2, 16, 648, 411, 300
do_compile, 960486, 6.74, 19, 1, 447, 54, 49727732, 2360162, 18549, 3841, 512000, 1617920, 110592, 0.192379, 0.013116, 70000, 8371, 0, 8, 328, 108, 60, 4.476764, 0.546833, 67308, 304460, 8, 992, 2832, 2839, 2960
do_fetch, 68435, 0.02, 6, 1, 1, 0, 1073554, 59750, 240, 80, 0, 53248, 0, 0.062813, 0.015702999999999998, 62216, 8075, 0, 0, 104, 2, 3, 0.010931, 0.001339, 58328, 1940, 0, 0, 0, 7, 1
do_prepare_recipe_sysroot, 935287, 0.34, 16, 9, 2, 0, 3211342, 2285965, 827, 629, 12288, 2383872, 0, 0.167784, 0.098215, 69880, 7353, 0, 24, 144, 8, 103, 0.027053999999999998, 0.006222, 64992, 631, 0, 0, 4512, 7, 26
do_patch, 415872, 0.14, 17, 2, 3, 1, 962021, 142729, 699, 151, 0, 159744, 4096, 0.172655, 0.024090999999999998, 65568, 11603, 0, 0, 128, 13, 86, 0.035903, 0.016488, 59208, 9451, 0, 0, 184, 140, 59
do_create_spdx, 686728, 0.34, 22, 1, 2, 1, 1316348, 505522, 671, 302, 0, 212992, 0, 0.22716799999999998, 0.019251, 70924, 21382, 0, 0, 312, 53, 168, 0.026965, 0.015952, 67780, 5197, 0, 0, 104, 95, 104
do_configure, 935479, 49.56, 31, 6, 762, 124, 116737779, 18614813, 75807, 19296, 94208, 18419712, 8613888, 0.317498, 0.064357, 71612, 19460, 0, 0, 360, 362, 175, 7.625806, 1.243376, 68864, 938904, 30, 184, 35616, 11568, 10989
do_populate_sysroot, 968054, 1.24, 32, 7, 12, 4, 3534913, 1275863, 2552, 1090, 0, 880640, 0, 0.320968, 0.074069, 71252, 31644, 0, 0, 992, 296, 134, 0.12084099999999999, 0.040165, 69076, 17783, 1, 0, 728, 308, 354
do_create_runtime_spdx, 790389, 0.38, 18, 4, 2, 0, 1019263, 359367, 456, 254, 0, 135168, 0, 0.182009, 0.042327, 71144, 16678, 0, 0, 184, 48, 117, 0.022424, 0.00979, 68328, 4214, 0, 0, 80, 102, 63
do_unpack, 412068, 0.38, 13, 2, 14, 6, 4880895, 2460642, 1845, 754, 12288, 3993600, 12288, 0.136231, 0.025543, 65212, 16271, 0, 0, 80, 35, 61, 0.149416, 0.067748, 61060, 16371, 0, 24, 7720, 110, 139
do_deploy_source_date_epoch, 495829, 0.09, 14, 2, 1, 0, 786171, 162720, 493, 304, 0, 122880, 0, 0.144655, 0.02284, 67324, 19149, 0, 0, 200, 28, 11, 0.015057, 0.003509, 64524, 4617, 0, 0, 40, 138, 12
