Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2004360, 0.09, 14, 1, 0, 0, 371297, 47831, 45, 51, 0, 53248, 0, 0.147162, 0.010766999999999999, 70936, 7224, 0, 0, 104, 0, 82, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 40534, 0.06, 7, 1, 1, 0, 502337, 126795, 405, 212, 0, 102400, 0, 0.07574499999999999, 0.015946, 62372, 16148, 0, 0, 168, 28, 6, 0.015512, 0.001192, 59572, 3944, 0, 0, 32, 131, 12
do_patch, 305997, 0.10, 8, 3, 4, 0, 1331712, 655795, 837, 270, 0, 684032, 4096, 0.08279, 0.039424, 64036, 11667, 0, 0, 136, 13, 16, 0.040958999999999995, 0.00934, 57948, 9423, 0, 0, 1200, 142, 17
do_install, 1847930, 1.76, 27, 2, 37, 11, 8309232, 1323381, 4520, 534, 8192, 1306624, 4096, 0.270348, 0.022845999999999998, 65932, 15323, 0, 0, 200, 200, 264, 0.37030399999999997, 0.119197, 63856, 50365, 0, 16, 2352, 918, 949
do_unpack, 41873, 0.13, 6, 0, 8, 2, 4660679, 2457295, 1837, 746, 0, 3989504, 12288, 0.061963, 0.0, 60172, 13508, 0, 0, 72, 36, 25, 0.08725899999999999, 0.024675, 56324, 16392, 0, 0, 7720, 48, 61
do_packagedata, 1861453, 0.61, 16, 4, 3, 2, 837499, 292731, 916, 327, 0, 225280, 0, 0.16313999999999998, 0.040784999999999995, 72944, 23347, 0, 0, 224, 59, 45, 0.037047, 0.020664, 70136, 6897, 1, 0, 216, 127, 91
do_compile, 1829194, 5.66, 14, 2, 613, 62, 61487872, 12053280, 20791, 5462, 491520, 6733824, 1835008, 0.14868299999999998, 0.021758, 71968, 8338, 0, 0, 440, 79, 79, 6.133646, 0.628402, 69244, 307667, 6, 960, 12712, 3803, 4457
do_populate_lic, 743640, 0.55, 18, 4, 3, 1, 981692, 280058, 626, 267, 81920, 139264, 0, 0.182106, 0.043705, 69916, 18471, 3, 160, 216, 52, 139, 0.032679, 0.010745, 66832, 4998, 1, 0, 56, 110, 70
do_fetch, 40583, 8.84, 8, 0, 45, 13, 19162253, 20389150, 13139, 4957, 0, 7073792, 12288, 0.08722099999999999, 0.008306, 60488, 10053, 0, 0, 160, 205, 10, 0.450449, 0.131023, 56668, 13297, 0, 0, 13656, 6811, 86
do_package_qa, 3082625, 2.64, 31, 7, 9, 7, 3076575, 304148, 2129, 307, 299008, 159744, 0, 0.316864, 0.072793, 57128, 25770, 5, 584, 272, 76, 1134, 0.095325, 0.07932199999999999, 54892, 31164, 0, 0, 40, 214, 281
do_create_spdx, 2005211, 1.04, 24, 9, 5, 2, 1546041, 843772, 857, 695, 143360, 344064, 0, 0.24609199999999998, 0.090233, 74684, 27558, 0, 280, 560, 69, 178, 0.056181999999999996, 0.021883, 71064, 7143, 0, 0, 112, 463, 109
do_prepare_recipe_sysroot, 1661295, 2.01, 15, 12, 3, 0, 3147666, 2006520, 902, 557, 147456, 2117632, 0, 0.151394, 0.128102, 70508, 9693, 0, 280, 184, 49, 245, 0.032153, 0.00257, 65620, 1246, 0, 8, 3952, 38, 19
do_deploy_source_date_epoch, 312703, 0.13, 13, 2, 1, 0, 573341, 164428, 485, 288, 0, 114688, 0, 0.139807, 0.022671, 65448, 18645, 0, 0, 184, 29, 16, 0.01712, 0.00886, 62644, 4659, 1, 0, 40, 128, 22
do_create_runtime_spdx, 3083088, 0.99, 23, 1, 3, 1, 1198254, 428809, 738, 262, 77824, 172032, 0, 0.235651, 0.011781999999999999, 62692, 19353, 0, 152, 248, 72, 176, 0.031381, 0.01308, 59072, 5352, 0, 0, 88, 94, 86
do_populate_sysroot, 1852892, 0.63, 30, 3, 5, 3, 2500473, 1081384, 1673, 714, 4096, 892928, 94208, 0.306901, 0.039346, 72144, 24590, 0, 8, 1248, 186, 106, 0.055368, 0.037243, 70060, 11999, 1, 0, 496, 218, 268
do_configure, 1665071, 64.40, 37, 6, 775, 128, 167851770, 21169460, 82938, 22931, 1630208, 20578304, 11214848, 0.371371, 0.067162, 71400, 20228, 0, 1088, 408, 396, 120, 7.750499, 1.287491, 68500, 906953, 38, 2096, 39784, 10607, 8500
do_package_write_rpm, 3082128, 5.74, 34, 5, 462, 23, 11796840, 1957795, 3637, 890, 2170880, 1286144, 0, 0.348336, 0.059583, 57308, 24603, 0, 1352, 512, 750, 513, 4.628469, 0.238388, 532368, 148331, 0, 2888, 2000, 1891, 1982
do_package, 1853764, 1.77, 76, 27, 275, 32, 25780292, 9304831, 11301, 1686, 0, 6311936, 2588672, 0.7631859999999999, 0.278623, 67240, 46394, 0, 0, 728, 1428, 2185, 2.752752, 0.322775, 65056, 81209, 1, 0, 11600, 2963, 2164
