Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3851572, 0.42, 39, 1, 0, 0, 349608, 44598, 34, 46, 0, 49152, 0, 0.393949, 0.019311, 60276, 5855, 0, 0, 96, 0, 153, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 642793, 0.18, 11, 2, 1, 0, 519744, 125127, 372, 207, 0, 102400, 0, 0.115921, 0.027048, 68348, 16294, 0, 0, 168, 22, 50, 0.017533999999999998, 0.006859, 65544, 3992, 0, 0, 32, 95, 45
do_install, 3843193, 4.46, 34, 3, 78, 32, 8212839, 923572, 18370, 1412, 118784, 847872, 0, 0.341286, 0.037919999999999995, 59732, 15346, 0, 0, 288, 582, 331, 0.785428, 0.327206, 57612, 154410, 5, 232, 1368, 7178, 2666
do_package, 3848455, 4.19, 125, 83, 86, 37, 14267620, 5725545, 20863, 1806, 143360, 3821568, 868352, 1.254874, 0.836583, 63752, 71178, 0, 240, 1232, 5658, 5998, 0.8653879999999999, 0.37143, 61548, 60878, 0, 40, 6232, 6704, 5314
do_packagedata, 3859302, 0.86, 16, 1, 3, 3, 1274690, 698270, 1395, 439, 0, 589824, 0, 0.16894099999999998, 0.019644, 61568, 23189, 0, 0, 368, 41, 119, 0.033213, 0.036017, 58720, 7120, 0, 0, 784, 116, 87
do_compile, 3841218, 2.43, 16, 4, 708, 125, 172560466, 4274050, 30502, 3090, 753664, 1654784, 0, 0.16261199999999998, 0.041694999999999996, 59788, 8699, 0, 0, 680, 302, 79, 7.084383, 1.258415, 94312, 418734, 12, 1472, 2552, 2035, 3328
do_fetch, 647870, 0.89, 12, 1, 15, 4, 5625761, 2977901, 3876, 1504, 0, 1155072, 12288, 0.120137, 0.014133, 66404, 9562, 0, 0, 136, 101, 19, 0.150841, 0.041257999999999996, 62860, 12162, 0, 0, 2120, 1115, 205
do_populate_lic, 739003, 1.02, 15, 2, 3, 1, 802756, 236198, 610, 260, 0, 147456, 0, 0.153858, 0.028342, 69700, 18233, 0, 0, 232, 52, 115, 0.03166, 0.012747999999999999, 66608, 5034, 0, 0, 56, 121, 107
do_patch, 678778, 0.05, 8, 1, 1, 0, 1016018, 634232, 321, 206, 0, 647168, 4096, 0.08419499999999999, 0.012027, 66992, 10542, 0, 0, 120, 6, 5, 0.010780999999999999, 0.0, 61232, 975, 0, 0, 1144, 13, 3
do_prepare_recipe_sysroot, 3820017, 2.20, 31, 22, 4, 2, 4046550, 2074115, 1598, 596, 299008, 2211840, 16384, 0.311762, 0.223289, 60948, 11882, 0, 584, 152, 92, 307, 0.044098, 0.022532999999999997, 56060, 4972, 0, 0, 4168, 101, 59
do_package_write_rpm, 3862168, 13.23, 69, 12, 2884, 147, 8470668, 2608598, 6591, 2674, 32768, 1536000, 0, 0.694226, 0.12550899999999998, 61892, 27160, 0, 64, 672, 1268, 978, 28.843239, 1.478657, 1446068, 920521, 1, 0, 2328, 18965, 7247
do_unpack, 673148, 0.14, 4, 2, 7, 4, 4585425, 680259, 1688, 312, 0, 1146880, 12288, 0.043554999999999996, 0.027717, 66472, 12468, 0, 0, 64, 32, 3, 0.07818599999999999, 0.041998, 62856, 14925, 0, 0, 2176, 69, 66
do_create_spdx, 3861873, 3.74, 50, 10, 15, 10, 2261772, 1212703, 1817, 750, 45056, 552960, 0, 0.5051479999999999, 0.10944799999999999, 65328, 54713, 0, 80, 952, 174, 300, 0.15564699999999998, 0.104986, 61508, 16852, 0, 8, 128, 1749, 628
do_configure, 3821897, 18.99, 38, 3, 270, 39, 36404379, 5719962, 23907, 8870, 602112, 5062656, 1585152, 0.381264, 0.031122999999999998, 60264, 18481, 0, 408, 312, 194, 139, 2.704668, 0.399719, 57480, 285669, 14, 768, 9576, 4606, 3767
do_package_qa, 3864019, 1.79, 50, 6, 3, 2, 2131355, 245709, 3017, 338, 4096, 159744, 0, 0.510012, 0.060509, 62584, 22364, 0, 0, 272, 522, 1744, 0.039618, 0.028991, 60320, 11043, 0, 8, 40, 116, 88
do_create_runtime_spdx, 3868619, 1.21, 22, 6, 4, 0, 1602583, 672213, 1128, 320, 4096, 368640, 0, 0.223465, 0.06594, 64124, 22527, 0, 8, 624, 32, 99, 0.042419, 0.0034709999999999997, 60480, 5494, 0, 0, 96, 108, 41
do_deploy_source_date_epoch, 692869, 0.26, 17, 2, 1, 1, 583694, 174335, 527, 362, 0, 114688, 0, 0.17493399999999998, 0.025599999999999998, 68724, 18493, 0, 0, 184, 63, 137, 0.0195, 0.014913, 65908, 4709, 0, 0, 40, 112, 69
