Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_patch, 26537, 0.04, 6, 1, 2, 0, 983873, 169579, 682, 155, 0, 192512, 4096, 0.063805, 0.018765999999999998, 60596, 11198, 0, 0, 128, 13, 5, 0.022146, 0.006467, 54732, 9318, 0, 0, 248, 145, 4
do_collect_spdx_deps, 674354, 0.01, 7, 1, 0, 0, 579992, 47128, 41, 53, 4096, 53248, 0, 0.073142, 0.016253, 67712, 6931, 0, 8, 104, 1, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 557159, 20.93, 21, 3, 1154, 275, 308665577, 35604268, 159010, 32377, 274432, 35471360, 17682432, 0.215728, 0.038831, 67912, 18962, 0, 16, 368, 533, 73, 11.549406, 2.751814, 65036, 2161681, 47, 520, 68912, 14254, 8920
do_recipe_qa, 25742, 0.04, 9, 0, 1, 0, 704766, 128520, 402, 221, 0, 106496, 0, 0.090559, 0.008232, 61468, 16081, 0, 0, 176, 28, 4, 0.012071, 0.002277, 58668, 4042, 0, 0, 32, 133, 9
do_create_spdx, 675992, 0.11, 14, 1, 1, 1, 1312677, 501336, 652, 292, 0, 212992, 0, 0.146837, 0.017797999999999998, 70516, 21060, 0, 0, 312, 34, 7, 0.010213999999999999, 0.016825, 67616, 5509, 0, 0, 104, 189, 16
do_install, 617436, 1.72, 19, 3, 24, 4, 8960951, 1692804, 11969, 1084, 548864, 1703936, 4096, 0.192097, 0.038418999999999995, 68364, 13916, 0, 0, 144, 55, 561, 0.24878199999999998, 0.046002999999999995, 65672, 39666, 6, 1072, 3184, 928, 658
do_compile, 606098, 4.96, 14, 0, 2034, 233, 228265913, 10991635, 84432, 16170, 7598080, 4943872, 520192, 0.14912999999999998, 0.00932, 68020, 8624, 0, 0, 768, 272, 12, 20.345405, 2.338751, 65324, 1580989, 45, 14840, 8888, 17309, 13858
do_populate_lic, 733390, 0.59, 17, 3, 3, 0, 843547, 175393, 559, 261, 4096, 131072, 0, 0.17496599999999998, 0.034232, 71168, 18698, 1, 8, 224, 47, 82, 0.034629, 0.008583, 68084, 5264, 1, 0, 32, 156, 49
do_fetch, 25883, 1.29, 22, 3, 1, 9, 8053036, 7567545, 10626, 12557, 0, 7548928, 0, 0.22727499999999998, 0.031818, 65732, 9317, 0, 0, 120, 3226, 39, 0.012858, 0.09795, 56724, 816, 0, 0, 14624, 3259, 23
do_prepare_recipe_sysroot, 556994, 0.03, 7, 1, 1, 0, 1921673, 1369194, 535, 395, 0, 1454080, 0, 0.075221, 0.015836, 66556, 8113, 0, 0, 160, 2, 6, 0.01257, 0.000525, 60692, 622, 0, 0, 2680, 9, 1
do_populate_sysroot, 618297, 1.61, 33, 7, 16, 6, 8403229, 3741150, 3171, 1166, 28672, 2650112, 0, 0.337731, 0.070881, 68768, 36151, 0, 0, 2456, 239, 125, 0.16697599999999999, 0.063776, 66588, 25598, 6, 56, 2720, 330, 314
do_create_runtime_spdx, 784373, 0.41, 16, 1, 1, 1, 1004890, 356492, 426, 248, 0, 135168, 0, 0.168074, 0.019542999999999998, 71460, 16659, 0, 0, 184, 49, 287, 0.019204, 0.013836999999999999, 68656, 4562, 0, 0, 80, 129, 105
do_deploy_source_date_epoch, 28290, 0.06, 10, 1, 0, 0, 759138, 158389, 495, 298, 0, 118784, 0, 0.102139, 0.012256, 62128, 18589, 0, 0, 192, 35, 11, 0.009715, 0.006242999999999999, 59228, 4682, 0, 0, 40, 127, 12
do_unpack, 26376, 0.10, 7, 0, 9, 2, 31306017, 45446516, 2990, 4315, 0, 25370624, 0, 0.076886, 0.008542, 60552, 10606, 0, 0, 56, 8, 8, 0.096145, 0.022456, 56836, 1521, 0, 0, 49496, 689, 19
