Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_prepare_recipe_sysroot, 1919222, 0.24, 12, 7, 1, 0, 1750323, 1052431, 541, 303, 319488, 1097728, 0, 0.126153, 0.074903, 69460, 6837, 0, 88, 144, 15, 71, 0.018456999999999998, 0.0075049999999999995, 64312, 1208, 0, 536, 2000, 30, 19
do_install, 2014045, 4.09, 19, 1, 18, 8, 2839247, 1097698, 7025, 812, 499712, 1196032, 98304, 0.194456, 0.014228, 65328, 13942, 0, 0, 240, 276, 320, 0.187835, 0.08794099999999999, 63240, 36193, 1, 976, 2096, 1068, 913
do_collect_spdx_deps, 1458191, 0.13, 14, 0, 0, 0, 343881, 43636, 32, 45, 483328, 53248, 0, 0.144598, 0.008262, 69060, 4986, 0, 944, 104, 27, 68, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2032902, 0.95, 20, 4, 4, 2, 774788, 250733, 889, 314, 0, 208896, 0, 0.207619, 0.043254, 72040, 23329, 0, 0, 224, 69, 68, 0.041178, 0.023854999999999998, 69240, 6899, 1, 0, 184, 155, 106
do_recipe_qa, 384390, 0.17, 15, 1, 1, 1, 488738, 124654, 382, 206, 0, 102400, 0, 0.15384499999999998, 0.01923, 65836, 16198, 0, 0, 168, 24, 107, 0.012315999999999999, 0.010953, 63032, 3970, 1, 0, 32, 82, 45
do_deploy_source_date_epoch, 506377, 0.19, 14, 2, 2, 0, 554851, 161323, 460, 285, 0, 118784, 0, 0.142973, 0.02502, 66904, 18744, 0, 0, 192, 27, 148, 0.020425, 0.007882, 64104, 4660, 2, 0, 40, 76, 33
do_compile, 2005905, 6.05, 13, 1, 93, 11, 9772884, 1408580, 3627, 834, 675840, 663552, 110592, 0.131988, 0.013892999999999999, 70936, 8093, 0, 0, 144, 34, 50, 0.9360809999999999, 0.111273, 68244, 68498, 3, 1320, 1152, 1012, 1207
do_patch, 429231, 0.04, 8, 0, 0, 0, 1026347, 634234, 322, 207, 0, 647168, 4096, 0.08501099999999999, 0.008501, 64200, 8747, 0, 0, 120, 6, 32, 0.007651, 0.004618, 58508, 954, 0, 0, 1144, 13, 10
do_fetch, 389540, 1.23, 7, 1, 1, 0, 872879, 589020, 653, 914, 0, 593920, 0, 0.070283, 0.011713, 64012, 5935, 0, 0, 120, 61, 12, 0.012081999999999999, 0.0, 60644, 913, 0, 0, 1040, 287, 29
do_package_write_rpm, 2918489, 4.20, 19, 4, 336, 23, 4459388, 942750, 2555, 636, 323584, 610304, 0, 0.196825, 0.043301, 66984, 24230, 0, 544, 496, 250, 443, 3.361677, 0.234211, 507252, 154890, 1, 88, 696, 2384, 1417
do_unpack, 427915, 0.02, 4, 0, 1, 0, 3777761, 5775777, 452, 551, 0, 3137536, 0, 0.045741, 0.007623, 64040, 7504, 0, 0, 64, 6, 2, 0.014152, 0.005114, 60460, 1000, 0, 0, 6064, 90, 3
do_create_runtime_spdx, 2919318, 1.02, 19, 5, 3, 0, 1223206, 425988, 685, 256, 61440, 172032, 0, 0.19350099999999998, 0.057711, 62244, 21426, 1, 120, 248, 58, 194, 0.036185999999999996, 0.006686, 58704, 5374, 0, 0, 88, 96, 80
do_configure, 1920669, 32.57, 27, 4, 509, 66, 107846423, 16803120, 47168, 15456, 1216512, 15585280, 9134080, 0.27544199999999996, 0.04407, 71364, 18148, 0, 144, 320, 225, 144, 5.097396, 0.6616599999999999, 68608, 454757, 21, 2232, 30120, 7536, 6316
do_package, 2021844, 3.57, 54, 42, 142, 11, 9247047, 4718601, 9119, 1258, 0, 2912256, 0, 0.540848, 0.424952, 67524, 36159, 0, 0, 672, 575, 2880, 1.428085, 0.110409, 65392, 30302, 0, 0, 5016, 2891, 997
do_populate_lic, 722811, 0.47, 15, 2, 2, 1, 758183, 219925, 577, 254, 0, 139264, 0, 0.158169, 0.021967, 69452, 18268, 0, 0, 216, 40, 54, 0.025675, 0.017929, 66360, 4984, 1, 0, 56, 66, 62
do_populate_sysroot, 2019548, 0.81, 22, 3, 5, 2, 3237876, 1184240, 1795, 692, 90112, 307200, 0, 0.22120399999999998, 0.036263, 71300, 22609, 0, 176, 400, 152, 136, 0.058683, 0.020863, 68488, 8787, 1, 0, 200, 230, 190
do_package_qa, 2919160, 1.41, 15, 6, 2, 1, 1902461, 210115, 2226, 253, 0, 159744, 0, 0.156886, 0.06459999999999999, 66912, 14829, 0, 0, 272, 110, 1565, 0.025904, 0.015519999999999999, 64688, 6477, 0, 0, 40, 101, 122
do_create_spdx, 2328656, 0.85, 19, 4, 3, 4, 1462636, 721059, 798, 373, 4096, 323584, 0, 0.199254, 0.043316, 74084, 26859, 0, 8, 512, 64, 171, 0.03359, 0.040304, 70468, 7123, 1, 0, 120, 310, 158
