Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 633670, 0.01, 6, 0, 0, 0, 544957, 42627, 30, 47, 12288, 53248, 0, 0.065718, 0.008213999999999999, 67188, 6931, 0, 24, 104, 3, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 24153, 0.05, 7, 1, 0, 0, 665754, 122940, 379, 215, 0, 106496, 0, 0.073113, 0.01924, 61136, 16337, 0, 0, 176, 23, 4, 0.008839999999999999, 0.004216, 58332, 3929, 0, 0, 32, 106, 4
do_install, 168529, 0.23, 14, 1, 12, 2, 2735365, 500628, 4875, 642, 0, 765952, 24576, 0.146554, 0.019804, 63988, 14385, 0, 0, 120, 57, 9, 0.123211, 0.025550999999999997, 61280, 29410, 0, 0, 1376, 774, 60
do_compile, 161212, 1.65, 13, 2, 160, 26, 19201335, 1010444, 12111, 1639, 192512, 765952, 28672, 0.13289199999999998, 0.024916999999999998, 64232, 8474, 0, 0, 152, 62, 83, 1.604028, 0.264235, 61524, 130285, 11, 376, 1344, 1571, 1764
do_create_spdx, 633737, 0.07, 10, 1, 1, 0, 1183369, 494820, 607, 291, 0, 208896, 0, 0.100384, 0.019303999999999998, 69332, 20916, 0, 0, 304, 38, 1, 0.018814, 0.0028049999999999998, 66432, 5126, 0, 0, 104, 173, 6
do_fetch, 24205, 6.76, 6, 1, 0, 0, 728600, 252253, 353, 396, 0, 258048, 0, 0.063081, 0.011826999999999999, 60112, 8069, 0, 0, 120, 37, 2, 0.005006, 0.0, 56576, 898, 0, 0, 384, 122, 1
do_deploy_source_date_epoch, 158158, 0.11, 16, 2, 1, 0, 732088, 149229, 464, 289, 0, 114688, 0, 0.16014399999999998, 0.023434999999999997, 64096, 18663, 0, 0, 184, 31, 5, 0.014929, 0.006299, 61296, 4615, 0, 0, 40, 122, 9
do_unpack, 155435, 0.07, 9, 0, 2, 1, 2350749, 2409946, 573, 711, 0, 2306048, 0, 0.09936099999999999, 0.00432, 63012, 12189, 0, 0, 136, 11, 7, 0.026989, 0.010329, 59140, 2803, 0, 0, 4368, 98, 11
do_prepare_recipe_sysroot, 158896, 0.03, 12, 1, 0, 0, 486602, 68648, 28, 49, 0, 69632, 0, 0.12911899999999998, 0.012104, 63040, 6914, 0, 0, 136, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 156582, 0.11, 12, 2, 6, 0, 1226371, 141824, 1316, 183, 0, 163840, 4096, 0.12894, 0.029115, 63048, 12019, 0, 0, 128, 17, 3, 0.062552, 0.009574, 56984, 18862, 0, 0, 192, 295, 30
do_configure, 159651, 0.12, 13, 1, 0, 0, 516752, 66060, 93, 125, 0, 69632, 0, 0.13072699999999998, 0.012255, 64132, 8830, 0, 0, 128, 8, 23, 0.003846, 0.0, 61276, 597, 0, 0, 8, 7, 11
do_populate_sysroot, 169762, 0.37, 19, 6, 10, 5, 3425648, 991537, 2998, 1059, 0, 688128, 0, 0.19874499999999998, 0.067573, 64440, 37860, 0, 0, 752, 147, 52, 0.103943, 0.057271999999999997, 62260, 26617, 0, 0, 592, 306, 134
do_populate_lic, 732650, 0.53, 17, 2, 3, 0, 973294, 218357, 581, 262, 20480, 143360, 0, 0.17677099999999998, 0.025252999999999998, 70896, 18515, 1, 40, 224, 44, 203, 0.033835, 0.009399, 67812, 4901, 2, 0, 56, 91, 74
do_create_runtime_spdx, 783647, 0.45, 16, 1, 2, 0, 970637, 350299, 442, 242, 0, 135168, 0, 0.163012, 0.019406, 71016, 16055, 0, 0, 184, 49, 146, 0.025563, 0.00666, 68216, 4181, 0, 0, 80, 96, 97
