Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 49623, 0.02, 6, 0, 0, 0, 564549, 46005, 40, 53, 0, 53248, 0, 0.067013, 0.007883, 62044, 6913, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_unpack, 26280, 0.02, 7, 0, 1, 0, 2905178, 3769007, 342, 392, 0, 2080768, 0, 0.074198, 0.007809999999999999, 60412, 7662, 0, 0, 56, 6, 3, 0.010569, 0.0027429999999999998, 56756, 1001, 0, 0, 4008, 62, 4
do_configure, 99130, 6.21, 19, 2, 374, 62, 84835032, 15790224, 45161, 14103, 20480, 14790656, 7540736, 0.19397599999999998, 0.02889, 63852, 16597, 0, 0, 320, 222, 35, 3.745333, 0.6238389999999999, 61136, 597250, 20, 40, 28568, 5952, 2594
do_recipe_qa, 25290, 0.05, 7, 1, 1, 0, 687691, 128301, 390, 221, 0, 106496, 0, 0.078822, 0.015012999999999999, 61340, 16406, 0, 0, 176, 24, 5, 0.010938, 0.002542, 58540, 4021, 0, 0, 32, 124, 7
do_install, 168582, 0.23, 16, 1, 14, 5, 2729203, 348140, 7183, 1021, 4096, 344064, 8192, 0.16509, 0.017377, 64092, 14283, 0, 0, 160, 66, 13, 0.145316, 0.056247, 61400, 45787, 4, 8, 512, 671, 103
do_compile, 165514, 0.77, 16, 2, 122, 23, 14995679, 562563, 10485, 1491, 0, 393216, 12288, 0.16194999999999998, 0.025571, 64020, 8317, 0, 0, 168, 48, 31, 1.226616, 0.233843, 61324, 187034, 4, 0, 600, 2231, 1080
do_fetch, 25339, 7.64, 7, 0, 0, 0, 1014049, 515694, 509, 750, 0, 516096, 0, 0.073186, 0.008131, 60184, 7995, 0, 0, 112, 56, 6, 0.0013779999999999999, 0.005729, 56640, 899, 0, 0, 896, 157, 0
do_create_spdx, 49798, 0.08, 10, 1, 1, 0, 1210732, 493070, 628, 285, 0, 208896, 0, 0.10611, 0.01179, 64276, 20750, 0, 0, 304, 39, 1, 0.019393, 0.000503, 61360, 5214, 1, 0, 104, 169, 8
do_prepare_recipe_sysroot, 98313, 0.04, 9, 1, 1, 0, 1825347, 1338095, 463, 375, 0, 1368064, 0, 0.098298, 0.011795, 62604, 7972, 0, 0, 136, 2, 3, 0.011778, 0.001138, 56500, 613, 0, 0, 2536, 7, 5
do_patch, 26341, 0.03, 7, 0, 0, 0, 643654, 121014, 182, 86, 0, 126976, 4096, 0.075473, 0.007944, 60436, 10054, 0, 0, 120, 6, 7, 0.00528, 0.0, 54428, 943, 0, 0, 128, 12, 1
do_populate_lic, 734068, 0.43, 18, 2, 3, 0, 1215797, 281546, 650, 274, 53248, 143360, 0, 0.18675799999999998, 0.022868, 70960, 18508, 2, 104, 224, 65, 328, 0.034648, 0.008374999999999999, 67876, 5050, 0, 0, 56, 86, 117
do_populate_sysroot, 170105, 0.47, 24, 5, 8, 7, 2562056, 708779, 2870, 1055, 0, 516096, 0, 0.241585, 0.056066, 64548, 38688, 0, 0, 640, 154, 52, 0.08818899999999999, 0.072623, 62404, 27003, 0, 0, 368, 263, 156
do_create_runtime_spdx, 784508, 0.39, 17, 3, 2, 0, 992154, 356055, 453, 248, 0, 135168, 0, 0.177957, 0.030289999999999997, 71072, 16183, 0, 0, 184, 52, 46, 0.028568, 0.0037229999999999997, 68316, 4252, 0, 0, 80, 97, 83
do_deploy_source_date_epoch, 28180, 0.07, 10, 0, 1, 0, 743525, 158054, 497, 298, 0, 118784, 0, 0.103742, 0.008298999999999999, 61940, 18641, 0, 0, 192, 32, 5, 0.010274, 0.005412999999999999, 59140, 4707, 0, 0, 40, 130, 5
