Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_compile, 1563964, 1.52, 12, 1, 153, 19, 17420205, 1759374, 8601, 1698, 98304, 720896, 12288, 0.126404, 0.015321, 70216, 6164, 0, 0, 256, 50, 55, 1.5387659999999999, 0.191331, 67516, 141293, 12, 192, 1152, 1650, 1289
do_collect_spdx_deps, 1453746, 0.09, 13, 0, 0, 0, 344348, 43375, 32, 45, 106496, 53248, 0, 0.132763, 0.00885, 68904, 6880, 0, 208, 104, 26, 39, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 2837208, 2.50, 15, 3, 3, 0, 1158496, 425216, 678, 256, 65536, 172032, 0, 0.152547, 0.038928, 74604, 19006, 0, 128, 248, 56, 134, 0.031519, 0.0056, 71156, 5352, 0, 0, 88, 90, 77
do_patch, 246826, 0.05, 7, 1, 1, 0, 1159418, 633965, 348, 207, 0, 651264, 4096, 0.073485, 0.019337999999999998, 62688, 8559, 0, 0, 128, 6, 3, 0.01458, 0.000603, 56812, 956, 0, 0, 1144, 11, 5
do_recipe_qa, 29142, 0.06, 7, 1, 1, 0, 462474, 123649, 378, 206, 0, 102400, 0, 0.070617, 0.016614999999999998, 61352, 15755, 0, 0, 168, 21, 3, 0.010048999999999999, 0.0047, 58544, 3992, 0, 0, 32, 133, 13
do_install, 1573044, 1.89, 18, 4, 29, 10, 2841340, 507390, 8738, 1115, 106496, 516096, 8192, 0.190051, 0.049413, 62756, 13876, 0, 0, 232, 276, 311, 0.296967, 0.10008, 60684, 69111, 1, 208, 776, 1457, 1008
do_fetch, 29207, 0.01, 4, 0, 0, 0, 283319, 43949, 27, 54, 0, 53248, 0, 0.042366999999999995, 0.0042309999999999995, 59572, 4458, 0, 0, 104, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 1621922, 0.48, 17, 4, 4, 0, 766081, 251853, 904, 316, 0, 217088, 0, 0.17726899999999998, 0.046244, 71776, 23928, 0, 0, 224, 69, 61, 0.047897999999999996, 0.009293, 69016, 6901, 1, 0, 200, 143, 218
do_populate_sysroot, 1579333, 0.38, 31, 6, 4, 4, 1645684, 538081, 1615, 711, 0, 413696, 49152, 0.318289, 0.06446299999999999, 70628, 24939, 0, 0, 552, 82, 47, 0.048754, 0.043768999999999995, 68572, 14145, 1, 0, 256, 227, 113
do_package_write_rpm, 2834916, 6.85, 23, 5, 344, 18, 4108478, 865127, 4115, 718, 475136, 557056, 0, 0.23354699999999998, 0.059313, 68948, 23687, 0, 840, 488, 509, 393, 3.447228, 0.18056799999999998, 490152, 150233, 1, 88, 600, 6537, 1830
do_configure, 1528098, 11.06, 27, 4, 484, 82, 117470361, 18663058, 53160, 17070, 540672, 17264640, 9981952, 0.272846, 0.049608, 70816, 19733, 0, 136, 336, 290, 134, 4.84282, 0.8283959999999999, 67896, 564402, 15, 920, 33384, 6317, 4364
do_prepare_recipe_sysroot, 1527360, 0.23, 12, 5, 1, 0, 1748067, 1049510, 533, 301, 36864, 1089536, 0, 0.124113, 0.05042, 68268, 8618, 0, 64, 144, 17, 96, 0.01651, 0.003617, 63052, 1201, 0, 8, 1984, 16, 99
do_create_spdx, 1680027, 0.74, 22, 4, 4, 2, 1462239, 847665, 764, 686, 0, 352256, 0, 0.225347, 0.045069, 73536, 26807, 0, 0, 568, 45, 165, 0.044327, 0.027343, 69916, 7116, 0, 0, 120, 307, 184
do_unpack, 29356, 0.02, 3, 1, 1, 0, 2684970, 3765309, 336, 384, 0, 2080768, 0, 0.039757, 0.010842, 59532, 7260, 0, 0, 56, 6, 5, 0.010315, 0.002265, 55956, 993, 0, 0, 4008, 65, 3
do_populate_lic, 716636, 0.53, 18, 2, 3, 0, 929119, 276703, 615, 260, 53248, 143360, 0, 0.18329499999999999, 0.025575999999999998, 69448, 18268, 2, 104, 216, 47, 76, 0.036899999999999995, 0.009097, 66352, 5026, 1, 0, 64, 105, 74
do_package, 1607152, 4.48, 95, 49, 243, 37, 12819755, 3951389, 12317, 1567, 0, 3248128, 651264, 0.954924, 0.491104, 65268, 51533, 0, 0, 672, 1802, 1609, 2.435699, 0.378776, 63076, 102194, 7, 0, 5672, 14411, 1153
do_deploy_source_date_epoch, 247597, 0.14, 14, 2, 2, 0, 545509, 160403, 458, 282, 0, 114688, 0, 0.149262, 0.022962999999999997, 64312, 18416, 0, 0, 184, 27, 21, 0.020312999999999998, 0.007038999999999999, 61512, 4680, 0, 0, 40, 121, 55
do_package_qa, 2837203, 4.19, 23, 7, 8, 7, 1889437, 307109, 2226, 311, 16384, 159744, 0, 0.234868, 0.070048, 68644, 25333, 0, 32, 272, 60, 1225, 0.081526, 0.07869999999999999, 66440, 37991, 0, 0, 40, 147, 277
