Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 697376, 0.02, 13, 2, 0, 0, 657659, 110298, 139, 73, 0, 114688, 0, 0.133741, 0.023601, 68608, 8650, 0, 0, 96, 2, 2, 0.004849, 0.0014939999999999999, 62508, 588, 1, 0, 128, 9, 0
do_install, 765548, 0.37, 16, 3, 17, 4, 4257450, 625370, 4468, 777, 0, 630784, 20480, 0.163045, 0.036684999999999995, 70536, 14183, 0, 0, 168, 85, 87, 0.17565999999999998, 0.0426, 67844, 32644, 1, 0, 1064, 476, 253
do_recipe_qa, 685059, 0.08, 14, 2, 1, 1, 714410, 129445, 386, 222, 0, 106496, 0, 0.14873799999999998, 0.027399, 69636, 16364, 0, 0, 176, 24, 13, 0.013689, 0.010201, 66836, 4012, 0, 0, 32, 77, 20
do_deploy_source_date_epoch, 706734, 0.45, 21, 3, 2, 1, 771342, 163646, 529, 329, 0, 118784, 0, 0.21722999999999998, 0.031031999999999997, 70468, 19064, 0, 0, 192, 57, 127, 0.022022999999999997, 0.014185, 67668, 4694, 1, 0, 40, 129, 55
do_compile, 755063, 2.47, 16, 2, 730, 95, 82176632, 4967456, 36085, 4876, 4096, 2932736, 65536, 0.164124, 0.020515, 70524, 8976, 0, 0, 424, 183, 69, 7.306774, 0.953201, 67796, 631114, 20, 8, 5304, 6259, 5893
do_fetch, 685486, 0.02, 14, 1, 0, 0, 504533, 54387, 37, 71, 4096, 53248, 0, 0.143442, 0.015938, 67628, 6835, 0, 8, 104, 1, 45, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 783570, 0.41, 15, 2, 2, 0, 993179, 356740, 436, 249, 0, 135168, 0, 0.157902, 0.024291999999999998, 71104, 16234, 0, 0, 184, 42, 65, 0.024884, 0.007826999999999999, 68348, 4236, 0, 0, 80, 60, 49
do_unpack, 686020, 0.16, 12, 2, 2, 2, 4840925, 6802055, 623, 746, 0, 4001792, 0, 0.121359, 0.025108, 67664, 11183, 0, 0, 56, 10, 101, 0.024165, 0.02008, 64588, 2063, 0, 0, 7760, 120, 130
do_prepare_recipe_sysroot, 706735, 0.11, 16, 1, 1, 0, 1828997, 1341387, 473, 378, 0, 1376256, 0, 0.163298, 0.017653, 68644, 8366, 0, 0, 136, 2, 68, 0.017689, 0.009119, 62504, 625, 1, 0, 2552, 9, 150
do_configure, 707185, 34.16, 30, 7, 784, 144, 131252800, 20699385, 69758, 18575, 16384, 20037632, 11063296, 0.30846999999999997, 0.073058, 70700, 20875, 0, 0, 352, 358, 191, 7.844177, 1.4452669999999999, 67792, 926448, 26, 32, 38784, 8530, 9931
do_populate_sysroot, 767995, 0.30, 26, 7, 7, 4, 2122513, 645717, 1902, 965, 0, 393216, 4096, 0.26478999999999997, 0.07113699999999999, 71020, 29974, 0, 0, 512, 117, 102, 0.07056899999999999, 0.041243999999999996, 68836, 16353, 0, 0, 256, 245, 116
do_patch, 701371, 0.08, 9, 1, 6, 1, 1188821, 110969, 1193, 177, 0, 131072, 4096, 0.093417, 0.016246, 68512, 11067, 0, 0, 128, 15, 6, 0.060378999999999995, 0.013082, 62504, 18223, 0, 0, 128, 284, 38
do_populate_lic, 732064, 0.52, 16, 4, 3, 1, 1050512, 236294, 621, 269, 0, 139264, 0, 0.161824, 0.044133, 70768, 18605, 0, 0, 224, 56, 130, 0.030268, 0.012745999999999999, 67668, 5025, 0, 0, 48, 77, 91
do_create_spdx, 697608, 0.13, 18, 5, 1, 1, 1244567, 503354, 624, 299, 0, 212992, 0, 0.183728, 0.057159999999999996, 71856, 21391, 0, 0, 312, 33, 10, 0.019583, 0.017246, 68252, 5209, 0, 0, 104, 123, 15
