Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1455861, 0.12, 13, 0, 0, 0, 345350, 44290, 34, 46, 102400, 53248, 0, 0.137119, 0.0048969999999999994, 68976, 7112, 0, 200, 104, 25, 34, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile, 1827406, 7.43, 15, 0, 931, 127, 98725927, 15313726, 33977, 6976, 581632, 6250496, 634880, 0.15201299999999998, 0.009212, 70824, 8122, 0, 0, 736, 192, 57, 9.314797, 1.270712, 72396, 554704, 14, 1136, 11472, 6461, 7378
do_create_spdx, 2298956, 0.60, 21, 7, 3, 3, 1401972, 711257, 796, 452, 12288, 307200, 0, 0.21135099999999998, 0.07316, 74120, 27106, 0, 24, 488, 65, 155, 0.036069, 0.035338, 70504, 7124, 0, 0, 112, 339, 191
do_recipe_qa, 43788, 0.05, 6, 1, 1, 0, 480404, 124561, 403, 207, 0, 102400, 0, 0.06498799999999999, 0.017329999999999998, 62012, 15959, 0, 0, 168, 29, 1, 0.011179, 0.002275, 59212, 3983, 0, 0, 32, 128, 6
do_patch, 319269, 0.23, 10, 2, 8, 1, 1670964, 688032, 1425, 317, 0, 724992, 4096, 0.108721, 0.020132999999999998, 63940, 10228, 0, 0, 144, 17, 21, 0.082624, 0.015983999999999998, 57756, 18863, 0, 0, 1272, 296, 48
do_install, 1849846, 1.15, 18, 3, 26, 7, 4093833, 722088, 7224, 691, 294912, 741376, 4096, 0.181064, 0.038523999999999996, 65120, 11991, 0, 0, 208, 1013, 375, 0.26986499999999997, 0.078302, 63028, 47404, 5, 576, 1240, 1147, 852
do_configure, 1684396, 54.06, 31, 3, 812, 149, 175646395, 23960509, 75681, 21546, 1785856, 22687744, 12939264, 0.310295, 0.037738, 70796, 17256, 0, 1336, 360, 363, 111, 8.123577, 1.496926, 67936, 855941, 19, 2152, 43952, 8669, 7135
do_packagedata, 1952267, 0.75, 20, 5, 4, 1, 793822, 271849, 867, 319, 0, 221184, 0, 0.200431, 0.051089999999999997, 71988, 23620, 0, 0, 232, 45, 52, 0.043137999999999996, 0.018730999999999998, 69192, 6909, 0, 0, 200, 158, 95
do_prepare_recipe_sysroot, 1679980, 1.61, 15, 6, 2, 0, 1751713, 1052803, 543, 304, 28672, 1097728, 0, 0.152833, 0.06434999999999999, 68724, 8684, 0, 56, 144, 12, 57, 0.021655999999999998, 0.0, 63560, 1198, 0, 0, 2000, 24, 6
do_populate_lic, 727581, 0.65, 15, 4, 3, 0, 799464, 231435, 560, 254, 32768, 139264, 0, 0.157406, 0.047222, 69476, 18364, 1, 64, 216, 37, 125, 0.03546, 0.007147, 66376, 5005, 1, 0, 56, 103, 82
do_fetch, 43841, 1.28, 5, 0, 0, 0, 1175664, 847118, 1088, 1296, 0, 843776, 0, 0.054868999999999994, 0.003919, 60192, 6014, 0, 0, 120, 100, 3, 0.005578, 0.006444999999999999, 56796, 926, 0, 0, 1528, 486, 6
do_create_runtime_spdx, 3015417, 1.00, 14, 4, 3, 0, 1393407, 425808, 788, 257, 65536, 172032, 0, 0.149594, 0.041554, 63120, 19287, 0, 128, 248, 66, 72, 0.03385, 0.008135, 59436, 5383, 1, 0, 88, 116, 88
do_package_qa, 3014148, 1.31, 28, 3, 4, 3, 1764815, 231619, 1822, 268, 16384, 159744, 0, 0.281733, 0.03034, 56944, 21673, 0, 32, 272, 72, 1095, 0.044411, 0.031812, 54640, 13227, 0, 0, 40, 165, 172
do_unpack, 44647, 0.03, 4, 0, 2, 0, 4620713, 6799186, 605, 738, 0, 4001792, 0, 0.042561999999999996, 0.008512, 60300, 8560, 0, 0, 56, 10, 1, 0.022494999999999998, 0.002444, 56692, 2047, 0, 0, 7760, 118, 4
do_populate_sysroot, 1853622, 0.55, 26, 2, 5, 2, 1803387, 701595, 1338, 642, 0, 495616, 45056, 0.26617399999999997, 0.023485, 71344, 23798, 0, 0, 688, 112, 579, 0.058006999999999996, 0.026136, 69292, 10893, 1, 0, 280, 174, 153
do_package_write_rpm, 3012249, 5.76, 29, 6, 485, 28, 5721747, 1110392, 2946, 736, 1466368, 724992, 0, 0.295147, 0.068733, 56996, 23926, 2, 1016, 496, 496, 368, 4.857091, 0.280275, 549060, 153226, 0, 1848, 920, 2151, 1732
do_package, 1936844, 4.52, 73, 44, 246, 18, 10487456, 4553658, 9098, 1326, 81920, 3182592, 389120, 0.7301, 0.448103, 66904, 44851, 0, 160, 664, 633, 2340, 2.468661, 0.18128899999999998, 64764, 53827, 3, 0, 5552, 2330, 2067
do_deploy_source_date_epoch, 329247, 0.37, 17, 1, 2, 0, 545947, 167387, 483, 328, 0, 114688, 0, 0.178728, 0.012185999999999999, 65412, 18445, 0, 0, 184, 46, 97, 0.022909, 0.006856, 62612, 4662, 0, 0, 40, 82, 60
