Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 699539, 0.01, 9, 1, 0, 0, 555154, 45436, 39, 51, 0, 49152, 0, 0.09566799999999999, 0.011958, 68860, 7523, 0, 0, 96, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 690974, 0.34, 19, 2, 2, 0, 703831, 127116, 367, 219, 0, 106496, 0, 0.19755499999999998, 0.02881, 68964, 16320, 0, 0, 176, 15, 99, 0.021519, 0.006745999999999999, 66228, 4023, 0, 0, 32, 81, 38
do_install, 982954, 0.18, 17, 1, 6, 5, 4264532, 1759621, 1443, 543, 8192, 1818624, 180224, 0.17122199999999999, 0.016305999999999998, 69940, 13690, 0, 0, 152, 23, 33, 0.06919, 0.054289, 67248, 16480, 0, 16, 3400, 75, 37
do_compile, 980300, 0.69, 16, 2, 461, 50, 64830132, 11960332, 14716, 4364, 872448, 4845568, 520192, 0.164152, 0.020017999999999998, 70988, 8981, 0, 0, 376, 43, 20, 4.614547, 0.501279, 68288, 240705, 4, 1704, 9088, 2100, 4747
do_fetch, 691865, 0.09, 14, 0, 2, 0, 1043058, 56396, 226, 72, 0, 57344, 0, 0.14474399999999998, 0.0042569999999999995, 67764, 8255, 0, 0, 112, 3, 52, 0.020402, 0.0, 64696, 1947, 0, 0, 0, 7, 7
do_create_runtime_spdx, 788720, 0.40, 18, 2, 2, 0, 982262, 354565, 442, 246, 0, 135168, 0, 0.18862299999999999, 0.026407, 71552, 16596, 0, 0, 184, 50, 66, 0.029337, 0.004637, 68748, 4258, 0, 0, 80, 96, 72
do_prepare_recipe_sysroot, 978009, 0.21, 19, 8, 2, 0, 2365378, 1514157, 565, 421, 16384, 1568768, 0, 0.199005, 0.085288, 69688, 9381, 0, 32, 144, 8, 77, 0.021002, 0.006885, 64800, 637, 0, 0, 2920, 9, 19
do_patch, 699118, 0.12, 16, 1, 6, 1, 1238292, 143930, 1337, 188, 0, 176128, 4096, 0.16852799999999998, 0.012962999999999999, 68560, 12437, 0, 0, 136, 17, 1, 0.06972199999999999, 0.016811, 62504, 18910, 0, 0, 208, 299, 14
do_create_spdx, 700502, 0.12, 19, 4, 2, 1, 1263451, 501121, 631, 296, 0, 212992, 0, 0.197175, 0.044263, 71948, 21601, 0, 0, 312, 36, 12, 0.020374, 0.014116, 68344, 5258, 0, 0, 104, 154, 22
do_generate_toolchain_file, 759592, 0.07, 14, 2, 0, 0, 528092, 44716, 109, 126, 0, 36864, 0, 0.144282, 0.022781, 70588, 8869, 0, 0, 56, 21, 82, 0.0036409999999999997, 0.0, 67884, 491, 0, 0, 16, 5, 22
do_configure, 979009, 0.39, 20, 2, 17, 5, 5341056, 711855, 5127, 7609, 45056, 692224, 172032, 0.201508, 0.024180999999999998, 71260, 11567, 0, 0, 144, 20, 597, 0.17718899999999999, 0.054567, 68336, 18953, 0, 88, 1208, 323, 335
do_populate_sysroot, 985582, 0.28, 23, 6, 5, 4, 6363150, 2630883, 2084, 973, 0, 2043904, 0, 0.238316, 0.06462799999999999, 70400, 30734, 0, 0, 3016, 97, 47, 0.058245, 0.04788, 68172, 15876, 4, 0, 976, 237, 57
do_populate_lic, 752342, 0.21, 21, 2, 2, 1, 970494, 219821, 564, 264, 0, 135168, 0, 0.21656699999999998, 0.028058999999999997, 71224, 18899, 0, 0, 224, 34, 61, 0.021276999999999997, 0.018094, 68132, 5058, 0, 0, 40, 85, 67
do_unpack, 692233, 0.54, 12, 4, 15, 7, 4850989, 14864510, 1902, 1295, 0, 15421440, 12288, 0.127365, 0.045194, 67836, 16213, 0, 0, 72, 36, 112, 0.153276, 0.07775599999999999, 64652, 19203, 1, 0, 30048, 136, 243
do_deploy_source_date_epoch, 759783, 0.20, 18, 3, 1, 1, 761988, 158502, 445, 294, 0, 118784, 0, 0.190018, 0.037177, 70912, 19357, 0, 0, 192, 20, 105, 0.015321999999999999, 0.016621999999999998, 68112, 4700, 0, 0, 40, 108, 58
