Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_generate_toolchain_file, 640257, 0.06, 10, 1, 0, 0, 316856, 51530, 65, 67, 0, 45056, 0, 0.107499, 0.017199, 68152, 8172, 0, 0, 64, 2, 206, 0.0037519999999999997, 0.0, 65460, 507, 0, 0, 24, 4, 1
do_install, 3138753, 2.76, 19, 2, 11, 9, 3560884, 1481156, 2401, 746, 16384, 1507328, 180224, 0.195909, 0.025553, 55884, 14779, 1, 16, 216, 243, 328, 0.111395, 0.093193, 53788, 20517, 0, 16, 2728, 93, 734
do_collect_spdx_deps, 3184040, 0.22, 12, 0, 0, 0, 334950, 43180, 31, 44, 0, 49152, 0, 0.127461, 0.004111, 57016, 5388, 0, 0, 96, 0, 86, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 535022, 0.07, 8, 1, 0, 0, 490091, 123348, 392, 205, 0, 102400, 0, 0.08687399999999999, 0.013031, 66880, 16302, 0, 0, 168, 24, 32, 0.007391, 0.008234, 64072, 4002, 0, 0, 32, 129, 8
do_populate_lic, 747598, 0.25, 19, 1, 2, 1, 736576, 215901, 566, 250, 0, 131072, 0, 0.192575, 0.015406, 69736, 18411, 0, 0, 216, 39, 51, 0.025393, 0.014183999999999999, 66652, 5014, 2, 0, 40, 89, 84
do_packagedata, 3180781, 1.20, 20, 5, 5, 0, 841418, 287342, 929, 317, 28672, 212992, 0, 0.206151, 0.051537, 58580, 23924, 2, 56, 224, 91, 135, 0.057555999999999996, 0.004369, 55732, 6969, 0, 0, 192, 144, 146
do_compile, 3135081, 5.28, 9, 1, 573, 57, 64687834, 10154557, 14600, 4104, 901120, 3833856, 724992, 0.096166, 0.017484, 60320, 6487, 0, 0, 560, 46, 43, 5.737674, 0.5798869999999999, 57612, 218807, 10, 1760, 6928, 2209, 3386
do_fetch, 535249, 2.87, 6, 1, 19, 4, 10430423, 8254646, 9176, 3650, 503808, 2957312, 12288, 0.067685, 0.015040999999999999, 65000, 11484, 0, 0, 160, 196, 9, 0.19178299999999998, 0.041309, 61660, 14350, 16, 984, 5616, 3804, 43
do_package, 3172108, 8.40, 67, 28, 172, 12, 21887224, 9424036, 12463, 1961, 765952, 5963776, 2371584, 0.677882, 0.288201, 55936, 43217, 0, 1008, 752, 494, 3665, 1.721308, 0.129685, 53632, 54408, 4, 488, 10896, 14736, 1823
do_package_write_rpm, 3277958, 5.80, 29, 6, 385, 15, 11854414, 1871031, 3427, 728, 8192, 1216512, 0, 0.295502, 0.063646, 55832, 21863, 0, 16, 504, 303, 465, 3.857707, 0.152776, 354360, 102708, 1, 0, 1872, 1424, 1861
do_populate_sysroot, 3141028, 2.81, 26, 3, 8, 1, 5300106, 2513613, 1698, 715, 4096, 1966080, 323584, 0.267572, 0.034387, 60612, 25710, 1, 8, 2312, 97, 424, 0.087072, 0.019198, 58360, 13399, 0, 0, 1528, 173, 154
do_prepare_recipe_sysroot, 3131463, 1.75, 16, 16, 1, 0, 2681975, 1308114, 717, 367, 528384, 1368064, 0, 0.169399, 0.16505499999999998, 60368, 8272, 5, 1024, 152, 43, 102, 0.016907, 0.008277, 55480, 1276, 0, 8, 2520, 18, 10
do_patch, 560680, 0.22, 7, 2, 8, 1, 1679241, 657656, 1494, 308, 151552, 696320, 4096, 0.070745, 0.024968999999999998, 65496, 13569, 0, 0, 136, 17, 19, 0.082178, 0.018657, 59808, 18882, 2, 296, 1224, 303, 113
do_configure, 3133196, 2.42, 17, 1, 21, 3, 5946689, 889494, 2937, 1109, 499712, 802816, 196608, 0.17552199999999998, 0.015955999999999998, 60640, 9378, 0, 24, 144, 25, 58, 0.211221, 0.033076999999999995, 57772, 18151, 0, 952, 1424, 454, 438
do_create_runtime_spdx, 3284512, 1.22, 25, 1, 3, 0, 2593691, 408948, 957, 250, 0, 155648, 0, 0.259271, 0.013182999999999999, 60872, 22517, 0, 0, 224, 45, 196, 0.035567999999999995, 0.008864, 57788, 5401, 2, 0, 80, 114, 77
do_deploy_source_date_epoch, 636418, 0.09, 10, 1, 1, 0, 561974, 160405, 482, 284, 0, 118784, 0, 0.102777, 0.015811, 67940, 18653, 0, 0, 192, 31, 32, 0.016763, 0.002771, 65116, 4710, 0, 0, 40, 135, 9
do_create_spdx, 3186848, 1.95, 26, 4, 5, 1, 1644452, 952962, 834, 674, 286720, 397312, 0, 0.265214, 0.042901999999999996, 60876, 26049, 0, 552, 656, 92, 250, 0.051252, 0.014084999999999999, 57072, 6672, 0, 8, 120, 249, 172
do_package_qa, 3278363, 3.74, 28, 7, 5, 3, 3546523, 235097, 3030, 268, 4096, 159744, 0, 0.28856499999999996, 0.07328599999999999, 55804, 19948, 0, 8, 272, 145, 1940, 0.053489999999999996, 0.034435, 53488, 15430, 0, 0, 40, 154, 209
