Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_fetch, 692072, 0.07, 17, 1, 2, 0, 1042459, 68194, 234, 89, 0, 57344, 0, 0.179083, 0.01143, 67876, 8288, 0, 0, 112, 3, 194, 0.026386999999999997, 0.0, 64892, 1962, 1, 0, 0, 7, 5
do_collect_spdx_deps, 700037, 0.01, 11, 0, 0, 0, 566883, 49623, 49, 56, 0, 49152, 0, 0.110708, 0.003953, 69500, 7484, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 691137, 0.44, 18, 2, 2, 0, 716018, 130348, 415, 224, 0, 106496, 0, 0.187529, 0.02131, 69804, 16680, 0, 0, 176, 41, 205, 0.027455999999999998, 0.00213, 67004, 4024, 0, 0, 32, 83, 42
do_install, 1401721, 0.09, 11, 2, 0, 3, 13141092, 8208997, 2525, 1724, 16384, 8376320, 0, 0.11481, 0.026494, 72740, 14339, 0, 0, 208, 83, 11, 0.009522, 0.030107, 70028, 3696, 0, 32, 16152, 19, 3
do_generate_toolchain_file, 760008, 0.06, 17, 2, 0, 0, 539843, 44991, 85, 81, 0, 36864, 0, 0.179966, 0.023995, 70724, 8933, 0, 0, 56, 3, 41, 0.000632, 0.0031569999999999997, 68028, 501, 0, 0, 16, 5, 3
do_compile, 1384363, 39.75, 26, 2, 15391, 863, 977171861, 69737969, 141091, 29740, 2764800, 36241408, 8036352, 0.266693, 0.021507, 71692, 8925, 0, 0, 1616, 265, 78, 153.918843, 8.634789, 438200, 3814787, 32, 5400, 69168, 10701, 72707
do_patch, 699158, 0.20, 10, 2, 16, 3, 2205637, 182122, 3166, 333, 0, 192512, 4096, 0.106042, 0.024471, 68684, 14141, 0, 0, 136, 29, 1, 0.167928, 0.030664, 62760, 47450, 1, 0, 240, 760, 49
do_prepare_recipe_sysroot, 1380993, 0.58, 23, 15, 2, 1, 3270227, 2154546, 1065, 619, 106496, 2342912, 0, 0.238279, 0.150492, 71960, 10411, 0, 184, 192, 16, 80, 0.027422, 0.018741999999999998, 67072, 975, 0, 24, 4384, 16, 22
do_configure, 1381673, 2.64, 26, 2, 63, 25, 14755372, 3754971, 10534, 16039, 2072576, 3895296, 573440, 0.26372999999999996, 0.02564, 72844, 11704, 0, 8, 152, 76, 82, 0.638398, 0.250484, 69960, 93541, 3, 4040, 7456, 2000, 1561
do_unpack, 692625, 0.46, 13, 4, 18, 7, 5045564, 7056324, 5595, 3379, 0, 9908224, 12288, 0.139373, 0.043802999999999995, 67172, 17445, 0, 0, 80, 43, 1110, 0.185555, 0.079395, 64092, 19542, 0, 0, 19272, 51, 148
do_deploy_source_date_epoch, 760568, 0.23, 22, 4, 1, 1, 774023, 173989, 526, 377, 0, 118784, 0, 0.226286, 0.041485, 71060, 19313, 0, 0, 192, 55, 130, 0.01679, 0.016208, 68260, 4710, 0, 0, 40, 79, 100
do_populate_lic, 752560, 0.20, 19, 4, 1, 2, 1051385, 236998, 591, 271, 0, 139264, 0, 0.19964099999999999, 0.049909999999999996, 71344, 18967, 0, 0, 224, 39, 289, 0.014756, 0.025665, 68260, 5035, 0, 0, 48, 87, 59
do_populate_sysroot, 1401850, 0.45, 22, 10, 24, 12, 44007465, 21277974, 7238, 2009, 0, 14839808, 0, 0.223913, 0.10037499999999999, 72588, 47750, 0, 0, 14240, 163, 20, 0.242699, 0.124762, 70684, 44436, 0, 0, 14744, 410, 36
do_create_runtime_spdx, 788985, 0.45, 20, 1, 2, 1, 994224, 357802, 422, 251, 0, 135168, 0, 0.207068, 0.016902999999999998, 72056, 16551, 0, 0, 184, 33, 84, 0.021682999999999997, 0.010298, 69256, 4269, 0, 0, 80, 66, 41
do_create_spdx, 700616, 0.12, 15, 3, 1, 1, 1409763, 520401, 707, 320, 0, 221184, 0, 0.15126599999999998, 0.037815999999999995, 72780, 21681, 0, 0, 328, 35, 10, 0.015957, 0.017693, 69176, 5246, 0, 0, 104, 108, 24
