Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1875531, 0.11, 18, 1, 0, 0, 349486, 46905, 37, 50, 0, 53248, 0, 0.18787399999999999, 0.011741999999999999, 71424, 7331, 0, 0, 104, 0, 109, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1720940, 1.84, 51, 9, 13, 7, 9891555, 4287597, 3451, 977, 0, 2994176, 462848, 0.5188769999999999, 0.09993099999999999, 72156, 28688, 0, 0, 3336, 134, 301, 0.134517, 0.07676999999999999, 69976, 28865, 0, 0, 2512, 326, 264
do_recipe_qa, 37410, 0.10, 14, 3, 1, 0, 476387, 125791, 387, 211, 0, 102400, 0, 0.143017, 0.039727, 62256, 16360, 0, 0, 168, 24, 9, 0.016174, 0.005822, 59456, 4022, 0, 0, 32, 130, 7
do_install, 1718993, 0.55, 21, 1, 25, 7, 12276918, 3029577, 2152, 418, 237568, 3170304, 0, 0.212495, 0.016037, 65356, 14127, 0, 0, 216, 195, 240, 0.258069, 0.07574, 63280, 11251, 0, 464, 5976, 499, 326
do_package_qa, 2791411, 2.75, 71, 18, 22, 28, 8443032, 505505, 5967, 445, 0, 163840, 0, 0.7188979999999999, 0.183548, 69256, 42264, 0, 0, 264, 521, 3439, 0.22267699999999999, 0.287667, 67052, 101373, 1, 0, 56, 524, 976
do_packagedata, 1737817, 1.72, 22, 4, 5, 0, 974603, 420291, 1087, 363, 0, 344064, 0, 0.22550299999999998, 0.044295, 71660, 23651, 0, 0, 240, 68, 112, 0.058973, 0.006644, 68916, 6988, 1, 0, 432, 134, 87
do_compile, 1710580, 6.85, 16, 1, 1451, 131, 134897345, 19631065, 32165, 8132, 2174976, 6733824, 1105920, 0.169087, 0.01503, 71536, 6481, 0, 0, 736, 96, 46, 14.514438, 1.311329, 71884, 407826, 18, 4248, 12416, 3891, 6471
do_fetch, 37459, 2.10, 11, 0, 0, 0, 820554, 534488, 584, 821, 0, 532480, 0, 0.115954, 0.003865, 60592, 7939, 0, 0, 112, 61, 28, 0.006533, 0.0, 57196, 905, 0, 0, 928, 193, 2
do_deploy_source_date_epoch, 298381, 0.11, 13, 1, 1, 1, 549263, 162485, 473, 290, 0, 114688, 0, 0.131279, 0.016409, 65000, 18710, 0, 0, 184, 27, 58, 0.013524, 0.010912999999999999, 62200, 4690, 0, 0, 40, 161, 18
do_prepare_recipe_sysroot, 1685870, 0.84, 20, 15, 1, 0, 2462821, 1193236, 634, 348, 147456, 1273856, 0, 0.20871199999999998, 0.155585, 71252, 9793, 0, 288, 160, 40, 98, 0.01796, 0.002338, 66364, 646, 0, 0, 2328, 30, 22
do_patch, 286915, 0.05, 10, 0, 0, 0, 508185, 121666, 194, 85, 0, 126976, 4096, 0.10257799999999999, 0.003945, 63476, 10737, 0, 0, 120, 6, 62, 0.007032, 0.00054, 57792, 948, 0, 0, 128, 13, 2
do_populate_lic, 712123, 0.45, 16, 2, 2, 1, 763134, 172773, 617, 253, 139264, 135168, 0, 0.163785, 0.025196999999999997, 69616, 18720, 0, 272, 224, 55, 110, 0.022208, 0.018847, 66536, 4980, 2, 0, 40, 61, 76
do_configure, 1689100, 9.33, 15, 3, 206, 32, 25495346, 7524931, 7893, 2696, 229376, 8118272, 475136, 0.157919, 0.036442999999999996, 71800, 11456, 0, 24, 176, 16, 79, 2.069553, 0.325156, 68872, 119097, 5, 424, 15680, 1158, 1236
do_package_write_rpm, 2790906, 7.81, 33, 4, 964, 43, 26036143, 4519900, 8339, 1403, 159744, 2879488, 0, 0.337686, 0.048822, 68988, 25031, 0, 224, 552, 796, 714, 9.649312, 0.43265499999999996, 967012, 295793, 0, 88, 5072, 5261, 3341
do_write_config, 40052, 0.03, 6, 1, 0, 0, 342344, 57253, 121, 100, 0, 49152, 0, 0.060703, 0.01214, 61956, 8073, 0, 0, 64, 6, 1, 0.001155, 0.001812, 59236, 793, 0, 0, 32, 11, 1
do_create_runtime_spdx, 2791677, 1.62, 23, 3, 2, 1, 1593512, 471829, 791, 271, 212992, 208896, 0, 0.236595, 0.03208, 75536, 22553, 0, 416, 320, 50, 124, 0.029493, 0.014844999999999999, 72056, 5413, 0, 0, 88, 122, 76
do_package, 1724145, 8.28, 134, 53, 767, 91, 60226216, 20272979, 35349, 4323, 0, 12460032, 4931584, 1.3468179999999998, 0.5371469999999999, 67672, 92384, 0, 0, 1040, 871, 6601, 7.672994, 0.914125, 65548, 282907, 36, 0, 23296, 7946, 6948
do_unpack, 284746, 0.08, 8, 2, 3, 1, 5583866, 8353441, 1085, 1382, 0, 4927488, 0, 0.086699, 0.020642, 63480, 10785, 0, 0, 128, 8, 3, 0.0339, 0.012706, 59984, 2593, 0, 0, 9496, 376, 17
do_create_spdx, 1876697, 1.77, 38, 6, 7, 3, 2203239, 1687886, 1084, 1641, 0, 667648, 0, 0.38799999999999996, 0.06730599999999999, 74892, 34929, 0, 0, 1160, 91, 190, 0.075737, 0.031797, 71336, 9171, 1, 0, 144, 565, 217
