Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 2230092, 1.70, 70, 42, 164, 23, 19251478, 8544326, 10777, 1740, 0, 5890048, 1843200, 0.706888, 0.42723999999999995, 68196, 40986, 0, 0, 736, 4854, 1137, 1.644279, 0.231426, 66012, 46058, 0, 0, 10768, 3634, 1125
do_collect_spdx_deps, 2146676, 0.10, 14, 0, 0, 0, 357901, 43071, 31, 44, 0, 49152, 0, 0.145093, 0.007842, 70824, 7043, 0, 0, 96, 0, 136, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 27981, 0.06, 6, 2, 1, 0, 475916, 123882, 390, 205, 0, 102400, 0, 0.060542, 0.024217, 61220, 15828, 0, 0, 168, 29, 7, 0.013073999999999999, 0.001406, 58412, 4022, 0, 0, 32, 135, 5
do_install, 2227315, 0.44, 14, 3, 29, 9, 3503141, 1073665, 6611, 654, 0, 1032192, 4096, 0.14479599999999998, 0.038104, 66592, 12004, 0, 0, 232, 255, 369, 0.297151, 0.094914, 64500, 71456, 2, 0, 1784, 2558, 1551
do_deploy_source_date_epoch, 245767, 0.13, 13, 3, 1, 0, 560010, 161612, 472, 284, 0, 114688, 0, 0.13161399999999998, 0.030968, 64340, 18527, 0, 0, 184, 30, 22, 0.015505, 0.007268999999999999, 61540, 4692, 0, 0, 40, 128, 22
do_packagedata, 2238833, 0.25, 16, 4, 3, 2, 816907, 272592, 854, 315, 0, 208896, 0, 0.169073, 0.040255, 72696, 23520, 0, 0, 224, 40, 52, 0.03385, 0.022227, 69896, 6909, 3, 0, 184, 121, 62
do_compile, 2218228, 2.97, 12, 0, 707, 79, 53746313, 9335399, 22303, 4906, 774144, 2945024, 118784, 0.122789, 0.00877, 71652, 6095, 0, 0, 512, 100, 96, 7.070696, 0.799338, 68952, 406138, 10, 1512, 5240, 5476, 5024
do_unpack, 28620, 0.02, 4, 0, 1, 0, 3158120, 4486563, 427, 438, 0, 2428928, 0, 0.046139, 0.004194, 59600, 8032, 0, 0, 56, 8, 0, 0.010862, 0.005332, 55956, 1548, 0, 0, 4688, 84, 1
do_fetch, 28044, 0.01, 4, 0, 0, 0, 296870, 46840, 26, 57, 0, 53248, 0, 0.047927, 0.0, 59456, 4542, 0, 0, 104, 0, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 3036697, 1.03, 16, 2, 3, 0, 1110291, 412041, 637, 253, 73728, 167936, 0, 0.16650399999999999, 0.024366, 62452, 21053, 0, 144, 240, 48, 80, 0.033363, 0.008674, 58812, 5380, 0, 0, 88, 108, 79
do_prepare_recipe_sysroot, 2110297, 2.02, 16, 5, 1, 0, 1769877, 1053116, 536, 301, 221184, 1093632, 0, 0.16236299999999998, 0.059817999999999996, 69492, 6845, 0, 424, 152, 37, 39, 0.015253999999999998, 0.009856, 64324, 1203, 0, 8, 1984, 31, 6
do_package_write_rpm, 3035927, 4.42, 31, 4, 420, 16, 10218224, 1876707, 2915, 752, 557056, 1236992, 0, 0.31821, 0.045458, 57416, 24385, 2, 920, 496, 299, 573, 4.202726, 0.168281, 435932, 123868, 1, 168, 1920, 1866, 1526
do_create_spdx, 2240956, 0.41, 28, 4, 3, 3, 1451921, 775910, 783, 539, 90112, 323584, 0, 0.28918, 0.046100999999999996, 74544, 26597, 0, 176, 520, 49, 108, 0.030393999999999997, 0.032156, 70928, 6855, 0, 0, 112, 357, 120
do_patch, 239459, 0.07, 6, 1, 4, 0, 1405227, 642974, 828, 258, 0, 679936, 4096, 0.065172, 0.017379, 62496, 9847, 0, 0, 136, 13, 6, 0.040479, 0.007130999999999999, 56404, 9338, 0, 0, 1192, 141, 13
do_configure, 2115656, 41.49, 29, 4, 651, 114, 154113636, 18826285, 73509, 19762, 2084864, 18243584, 10940416, 0.29783899999999996, 0.049638999999999996, 71664, 17003, 0, 168, 344, 334, 107, 6.518064, 1.144515, 68948, 689905, 36, 3904, 35288, 11257, 9913
do_populate_sysroot, 2229791, 0.47, 24, 4, 4, 3, 3864578, 1903172, 1490, 686, 0, 1564672, 229376, 0.24295499999999998, 0.044853, 72296, 24792, 0, 0, 1928, 141, 195, 0.047098999999999995, 0.036508, 70100, 11350, 0, 0, 1128, 173, 186
do_populate_lic, 728707, 0.52, 17, 4, 2, 1, 638022, 169723, 540, 246, 8192, 131072, 0, 0.173091, 0.042217, 69500, 18378, 1, 16, 216, 36, 115, 0.029914999999999997, 0.011146, 66408, 4955, 4, 0, 40, 80, 30
do_package_qa, 3035992, 2.08, 31, 6, 5, 2, 2640074, 230285, 2317, 264, 1626112, 159744, 0, 0.310204, 0.06373999999999999, 56908, 22016, 61, 3112, 272, 175, 1593, 0.054959999999999995, 0.020017, 54624, 13233, 0, 64, 40, 121, 152
