Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 702210, 0.01, 5, 1, 0, 0, 331431, 41476, 28, 43, 0, 49152, 0, 0.059616999999999996, 0.015898, 66880, 6648, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 3068208, 0.99, 14, 3, 2, 2, 1007598, 373177, 619, 243, 319488, 139264, 0, 0.148832, 0.037208, 62156, 18348, 6, 624, 192, 64, 97, 0.025807999999999998, 0.021237, 58640, 5270, 1, 0, 80, 98, 119
do_install, 686951, 0.33, 13, 3, 2, 2, 4910726, 4445991, 1030, 313, 0, 4472832, 0, 0.135925, 0.030205, 59268, 14065, 0, 0, 136, 96, 392, 0.026692999999999998, 0.023162, 57192, 6044, 2, 0, 8600, 237, 293
do_recipe_qa, 596364, 0.06, 7, 0, 1, 0, 440335, 116661, 379, 204, 0, 102400, 0, 0.07840899999999999, 0.008253, 67488, 15885, 0, 0, 168, 25, 7, 0.011099999999999999, 0.004043, 64688, 3933, 0, 0, 32, 148, 9
do_unpack, 668635, 0.04, 3, 0, 1, 1, 7100832, 8786992, 688, 640, 0, 4452352, 0, 0.039356999999999996, 0.003935, 66456, 8280, 0, 0, 64, 8, 2, 0.016521, 0.015740999999999998, 62824, 1516, 0, 0, 8632, 147, 5
do_create_spdx, 1361136, 0.75, 18, 3, 4, 0, 1028620, 511868, 581, 284, 4096, 217088, 0, 0.18209799999999998, 0.032777, 72152, 20047, 0, 8, 320, 44, 106, 0.045981999999999995, 0.002555, 68528, 5684, 0, 0, 104, 181, 108
do_packagedata, 1354306, 0.73, 17, 2, 3, 1, 673652, 190772, 788, 293, 0, 135168, 0, 0.171807, 0.027968, 70488, 22495, 0, 0, 192, 63, 151, 0.037804, 0.019032, 67684, 6787, 0, 0, 72, 118, 114
do_compile, 686619, 0.08, 11, 0, 0, 0, 286256, 19165, 45, 80, 0, 20480, 0, 0.11301699999999999, 0.004036, 68576, 8133, 0, 0, 40, 1, 42, 0.0, 0.00275, 65868, 375, 0, 0, 0, 1, 0
do_configure, 686370, 0.09, 11, 1, 0, 0, 300269, 63163, 94, 127, 0, 65536, 0, 0.11478, 0.015304, 68860, 8546, 0, 0, 120, 8, 251, 0.004455, 0.0, 65948, 603, 0, 0, 8, 6, 12
do_fetch, 597088, 1.59, 6, 0, 0, 0, 2776763, 2458481, 2037, 3513, 4096, 2453504, 0, 0.069184, 0.007281999999999999, 66012, 6233, 0, 0, 120, 155, 18, 0.0069619999999999994, 0.008568, 62452, 915, 0, 8, 4672, 1045, 10
do_patch, 672232, 0.05, 6, 1, 0, 0, 999137, 636050, 315, 207, 0, 647168, 4096, 0.061813999999999994, 0.01159, 66404, 11438, 0, 0, 120, 6, 4, 0.0034349999999999997, 0.006788, 60468, 938, 0, 0, 1144, 13, 2
do_prepare_recipe_sysroot, 686054, 0.02, 9, 0, 0, 0, 273894, 67490, 26, 45, 0, 69632, 0, 0.095649, 0.007357, 67124, 6616, 0, 0, 136, 0, 94, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_write_rpm, 3066285, 11.71, 22, 7, 289, 13, 35604603, 5263810, 2903, 671, 5582848, 3596288, 0, 0.222214, 0.079997, 57096, 22402, 3, 1400, 448, 461, 298, 2.892625, 0.130458, 118072, 45265, 8, 9504, 6576, 7370, 1340
do_deploy_source_date_epoch, 685497, 0.42, 15, 4, 1, 1, 488858, 144965, 508, 311, 0, 106496, 0, 0.15395499999999998, 0.040514, 68824, 18318, 0, 0, 168, 62, 61, 0.019733, 0.012875, 66024, 4593, 0, 0, 40, 77, 105
do_package_qa, 3068063, 1.39, 19, 3, 3, 1, 4980096, 196531, 992, 239, 8192, 151552, 0, 0.19206399999999998, 0.03492, 56552, 14238, 1, 16, 256, 94, 577, 0.031927, 0.010986, 54252, 6288, 0, 0, 40, 97, 134
do_populate_lic, 740842, 0.53, 15, 1, 2, 0, 570614, 173550, 570, 245, 4096, 122880, 0, 0.151369, 0.012273, 69392, 17850, 0, 8, 208, 52, 53, 0.027603, 0.008383999999999999, 66308, 4899, 0, 0, 32, 84, 90
do_package, 1346514, 2.81, 40, 30, 76, 7, 46509218, 16698528, 6834, 2141, 4489216, 7987200, 0, 0.400159, 0.303033, 61500, 27447, 0, 168, 512, 414, 945, 0.768092, 0.071648, 99980, 23361, 1, 8600, 15088, 1508, 809
