Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1474523, 0.09, 13, 0, 0, 0, 343522, 43143, 30, 44, 106496, 53248, 0, 0.139809, 0.004236, 69144, 6917, 0, 208, 104, 26, 69, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package, 2074492, 3.43, 74, 46, 171, 28, 13829680, 5061806, 9660, 1490, 4096, 3776512, 913408, 0.747386, 0.46863099999999996, 67632, 45958, 0, 8, 632, 472, 1898, 1.710872, 0.288719, 65448, 73478, 1, 0, 6744, 2888, 1640
do_populate_lic, 763753, 0.15, 15, 2, 2, 0, 621981, 168849, 565, 246, 4096, 131072, 0, 0.152525, 0.026692, 69660, 18345, 0, 8, 216, 38, 64, 0.025608, 0.009861, 66576, 4955, 0, 0, 40, 89, 53
do_prepare_recipe_sysroot, 1880735, 0.37, 13, 6, 2, 0, 1745517, 1051341, 537, 302, 28672, 1097728, 0, 0.136283, 0.068141, 69564, 7018, 0, 56, 144, 11, 57, 0.020458, 0.0047209999999999995, 64264, 1218, 0, 0, 2000, 17, 34
do_recipe_qa, 65398, 0.05, 7, 0, 0, 0, 485567, 123124, 388, 205, 0, 102400, 0, 0.07774099999999999, 0.003887, 62492, 15872, 0, 0, 168, 24, 1, 0.008538, 0.00541, 59692, 3984, 0, 0, 32, 134, 10
do_create_runtime_spdx, 2736032, 0.98, 20, 2, 3, 0, 1128319, 411658, 646, 253, 8192, 167936, 0, 0.202732, 0.029564999999999998, 74448, 21421, 0, 16, 240, 43, 52, 0.030795999999999997, 0.008518999999999999, 70920, 5353, 0, 0, 88, 103, 76
do_install, 1985365, 2.56, 22, 4, 25, 6, 2647333, 660486, 4600, 914, 32768, 606208, 4096, 0.2288, 0.040857, 65092, 14403, 0, 40, 200, 283, 259, 0.25604099999999996, 0.069635, 62988, 52698, 8, 24, 984, 881, 1149
do_packagedata, 2290460, 0.33, 15, 3, 2, 2, 775262, 246694, 841, 313, 0, 212992, 0, 0.150673, 0.03172, 72708, 21017, 0, 0, 232, 42, 67, 0.027254999999999998, 0.029043, 69904, 6927, 0, 0, 184, 103, 69
do_compile, 1965254, 7.40, 12, 1, 258, 31, 29959685, 3247603, 12890, 2815, 315392, 1298432, 12288, 0.12071899999999999, 0.011682, 71184, 6318, 0, 0, 312, 92, 74, 2.5892749999999998, 0.310319, 68488, 186281, 3, 616, 2224, 2369, 1932
do_fetch, 65466, 1.86, 5, 1, 0, 0, 796745, 512758, 671, 750, 0, 516096, 0, 0.059170999999999994, 0.011833999999999999, 60716, 5717, 0, 0, 112, 67, 4, 0.001333, 0.0058189999999999995, 57324, 899, 0, 0, 896, 287, 1
do_unpack, 409599, 0.22, 8, 2, 4, 1, 4938927, 7627512, 1067, 1168, 0, 4567040, 0, 0.086854, 0.022855999999999998, 64176, 8606, 0, 0, 128, 8, 106, 0.042727, 0.010431, 60692, 2384, 0, 0, 8792, 457, 501
do_package_write_rpm, 2731457, 5.39, 19, 4, 322, 26, 5523772, 1087372, 3226, 677, 0, 720896, 0, 0.19479, 0.047615, 68048, 23802, 0, 0, 488, 761, 172, 3.228665, 0.26203299999999996, 424728, 123323, 0, 0, 920, 3665, 765
do_patch, 410096, 0.16, 7, 2, 0, 0, 498969, 118155, 185, 79, 0, 126976, 4096, 0.07793599999999999, 0.025977999999999998, 64188, 8681, 0, 0, 120, 6, 93, 0.00747, 0.003538, 58500, 932, 0, 0, 128, 12, 7
do_create_spdx, 2624290, 1.28, 21, 7, 6, 0, 1379541, 761203, 767, 596, 8192, 311296, 0, 0.210361, 0.07012, 74812, 26114, 0, 16, 496, 65, 118, 0.060996999999999996, 0.009907, 71260, 6846, 0, 0, 112, 327, 84
do_configure, 1881725, 30.15, 26, 4, 577, 86, 130852588, 18312147, 57837, 17985, 884736, 17162240, 10043392, 0.267758, 0.046751, 71612, 18414, 0, 392, 344, 273, 128, 5.770045, 0.860611, 68724, 598317, 25, 1336, 33176, 7893, 6687
do_populate_sysroot, 1990334, 1.06, 25, 4, 5, 3, 2382380, 1034675, 1446, 667, 0, 741376, 118784, 0.254158, 0.043011, 71376, 24830, 0, 0, 840, 146, 130, 0.057694999999999996, 0.033464, 69280, 10961, 0, 0, 608, 187, 201
do_package_qa, 2735264, 1.30, 27, 5, 7, 6, 1998475, 272705, 1662, 288, 16384, 159744, 0, 0.279422, 0.050803999999999995, 68012, 22800, 0, 32, 272, 241, 724, 0.07141499999999999, 0.067963, 65800, 26430, 0, 0, 40, 218, 201
do_deploy_source_date_epoch, 494687, 0.11, 12, 1, 1, 0, 551672, 159800, 476, 281, 0, 118784, 0, 0.126629, 0.014896999999999999, 66456, 18542, 0, 0, 192, 28, 9, 0.014036999999999999, 0.007091, 63656, 4654, 0, 0, 40, 139, 12
