Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 1527911, 16.33, 25, 4, 621, 113, 183388055, 26335789, 74993, 23234, 999424, 25038848, 15679488, 0.25266299999999997, 0.048902, 70620, 17309, 0, 368, 352, 290, 79, 6.216016, 1.1303969999999999, 67908, 735521, 19, 1584, 48552, 8471, 6433
do_collect_spdx_deps, 1452714, 0.24, 16, 0, 0, 0, 347226, 44098, 34, 46, 139264, 53248, 0, 0.16511399999999998, 0.004233, 69096, 7017, 0, 272, 104, 18, 29, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 3039168, 1.06, 20, 4, 2, 1, 1025989, 411989, 659, 255, 45056, 167936, 0, 0.20715899999999998, 0.040531, 62260, 20933, 0, 88, 240, 63, 122, 0.0289, 0.012131, 58700, 5374, 0, 0, 88, 139, 96
do_compile, 1584310, 2.69, 12, 1, 161, 23, 13587737, 2806596, 7120, 1623, 380928, 1581056, 512000, 0.123654, 0.010303999999999999, 70296, 6148, 0, 0, 248, 60, 149, 1.614246, 0.23693799999999998, 67604, 136639, 2, 744, 2840, 1738, 951
do_install, 1589569, 0.57, 18, 0, 14, 4, 3246929, 382257, 3515, 558, 57344, 380928, 4096, 0.18457199999999999, 0.007854, 63068, 13785, 0, 0, 208, 606, 10, 0.140196, 0.042543, 60992, 36042, 0, 112, 536, 1286, 45
do_packagedata, 1605628, 1.80, 18, 2, 2, 1, 785025, 268806, 839, 316, 0, 204800, 0, 0.188526, 0.027493, 71996, 23857, 0, 0, 224, 37, 17, 0.024926999999999998, 0.016491, 69196, 6917, 0, 0, 176, 196, 22
do_recipe_qa, 27549, 0.07, 8, 1, 1, 0, 463820, 124181, 397, 207, 0, 102400, 0, 0.085655, 0.019466999999999998, 61136, 15790, 0, 0, 168, 29, 16, 0.014199999999999999, 0.002095, 58316, 4015, 1, 0, 32, 144, 7
do_patch, 237514, 0.12, 11, 2, 6, 1, 1818529, 670611, 1448, 309, 0, 704512, 4096, 0.11366799999999999, 0.021859, 62720, 10392, 0, 0, 144, 17, 6, 0.06347599999999999, 0.019098, 56992, 19004, 0, 0, 1232, 296, 21
do_fetch, 27601, 0.01, 5, 0, 0, 0, 286194, 51217, 29, 63, 0, 53248, 0, 0.051794, 0.003984, 59264, 4481, 0, 0, 104, 0, 33, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 728850, 0.56, 17, 3, 3, 0, 624518, 169740, 573, 248, 8192, 131072, 0, 0.17540799999999998, 0.034318999999999995, 69500, 18404, 1, 16, 216, 50, 125, 0.036147, 0.005876999999999999, 66392, 4953, 1, 0, 40, 101, 66
do_package_write_rpm, 3037606, 3.88, 23, 4, 389, 17, 4268919, 996794, 2477, 674, 1142784, 667648, 0, 0.234569, 0.043004, 57192, 24240, 1, 848, 496, 408, 355, 3.895269, 0.17549499999999998, 433624, 123075, 0, 1384, 808, 1455, 1551
do_prepare_recipe_sysroot, 1527335, 0.24, 13, 6, 2, 0, 1750890, 1050076, 535, 301, 49152, 1085440, 0, 0.13128099999999998, 0.060014, 68244, 8622, 0, 96, 144, 20, 36, 0.021355, 0.0, 63188, 1209, 0, 0, 1976, 16, 8
do_create_spdx, 1666183, 1.61, 21, 3, 4, 1, 1305061, 625865, 805, 397, 16384, 282624, 0, 0.217488, 0.03838, 73536, 25922, 0, 32, 440, 81, 81, 0.049389999999999996, 0.019982, 69912, 6811, 0, 0, 112, 374, 182
do_populate_sysroot, 1590333, 3.56, 265, 23, 3, 2, 1638755, 635399, 1312, 636, 0, 487424, 45056, 2.654395, 0.235502, 70652, 24231, 0, 0, 688, 72, 34, 0.031231, 0.027839, 68780, 10911, 0, 0, 264, 255, 40
do_package, 1591338, 6.81, 101, 35, 152, 16, 8627844, 3614261, 6995, 1158, 4096, 2756608, 389120, 1.016144, 0.35095699999999996, 65320, 41388, 0, 0, 616, 3294, 290, 1.52562, 0.16916, 63124, 43478, 0, 8, 4768, 3826, 649
do_package_qa, 3038598, 1.49, 22, 4, 5, 2, 1512437, 230496, 1407, 266, 16384, 159744, 0, 0.220934, 0.045004999999999996, 56552, 21618, 0, 32, 272, 111, 797, 0.057324999999999994, 0.020605, 54256, 13010, 0, 0, 40, 148, 193
do_unpack, 28485, 0.04, 4, 0, 2, 1, 7467098, 11170585, 874, 1194, 0, 6443008, 0, 0.04998, 0.004164999999999999, 59432, 8521, 0, 0, 56, 10, 3, 0.024426, 0.010265999999999999, 55860, 1998, 0, 0, 12528, 184, 6
do_deploy_source_date_epoch, 241971, 0.17, 17, 3, 1, 0, 547814, 160701, 533, 286, 0, 114688, 0, 0.172084, 0.031287999999999996, 64240, 18507, 0, 0, 184, 60, 36, 0.016877, 0.008126, 61440, 4688, 0, 0, 40, 126, 73
