Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 634494, 0.07, 10, 1, 1, 0, 1267557, 497176, 652, 287, 0, 212992, 0, 0.103975, 0.018567, 70204, 20931, 0, 0, 312, 35, 3, 0.015791, 0.006814, 67304, 5206, 0, 0, 104, 149, 12
do_collect_spdx_deps, 634357, 0.01, 7, 0, 0, 0, 566856, 47825, 42, 54, 4096, 53248, 0, 0.07020799999999999, 0.008258999999999999, 67540, 6924, 0, 8, 104, 1, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 44715, 0.05, 8, 0, 0, 0, 703090, 129204, 398, 222, 0, 106496, 0, 0.089894, 0.00428, 62848, 16514, 0, 0, 176, 26, 3, 0.00737, 0.00692, 60048, 4006, 0, 0, 32, 126, 13
do_compile, 990317, 0.65, 13, 1, 48, 4, 3963528, 306727, 2054, 534, 77824, 180224, 8192, 0.13801, 0.015771999999999998, 71352, 8893, 0, 0, 136, 40, 72, 0.489512, 0.041992999999999996, 68640, 39168, 0, 152, 216, 409, 413
do_prepare_recipe_sysroot, 963612, 0.81, 21, 10, 2, 0, 2629209, 1754774, 652, 490, 28672, 1835008, 0, 0.21681499999999998, 0.10840699999999999, 69284, 8856, 0, 56, 152, 9, 73, 0.028071, 0.0, 64192, 634, 0, 0, 3432, 8, 14
do_populate_lic, 763946, 0.18, 16, 3, 2, 1, 824741, 174918, 578, 262, 4096, 131072, 0, 0.168009, 0.035164, 71036, 18560, 1, 8, 224, 43, 46, 0.025561999999999998, 0.012813, 67952, 4987, 0, 0, 32, 87, 111
do_install, 995692, 0.17, 18, 2, 6, 1, 1288109, 157850, 1116, 459, 0, 118784, 4096, 0.180644, 0.020527, 70852, 13801, 0, 0, 120, 70, 79, 0.06197, 0.014225, 68160, 12793, 2, 0, 112, 179, 111
do_fetch, 44764, 1.52, 6, 0, 0, 0, 835444, 333219, 489, 528, 0, 331776, 0, 0.06723, 0.007909, 61736, 8024, 0, 0, 112, 42, 0, 0.005797, 0.0, 58140, 897, 0, 0, 536, 174, 2
do_patch, 328331, 0.04, 9, 1, 0, 0, 646147, 122254, 184, 87, 0, 126976, 4096, 0.096205, 0.019240999999999998, 64912, 10214, 0, 0, 120, 7, 66, 0.0070929999999999995, 0.000594, 59060, 940, 0, 0, 128, 11, 3
do_deploy_source_date_epoch, 346310, 0.44, 18, 3, 1, 1, 758725, 163896, 523, 329, 0, 118784, 0, 0.18173499999999998, 0.035556, 66552, 19074, 0, 0, 192, 60, 123, 0.017988999999999998, 0.012551999999999999, 63704, 4682, 0, 0, 40, 109, 86
do_configure, 964905, 17.93, 30, 2, 488, 96, 90567275, 13588734, 50423, 15670, 159744, 13541376, 7151616, 0.30668599999999996, 0.025917, 70848, 16968, 0, 0, 320, 245, 330, 4.882059, 0.9642229999999999, 67944, 663582, 47, 312, 26128, 6146, 4591
do_populate_sysroot, 996570, 0.19, 21, 5, 4, 2, 1474459, 466373, 1494, 879, 4096, 311296, 0, 0.21620799999999998, 0.05205, 71452, 29031, 0, 8, 456, 91, 21, 0.047735, 0.021034, 69264, 12019, 0, 0, 152, 250, 31
do_create_runtime_spdx, 764114, 0.14, 21, 1, 2, 0, 994617, 356951, 444, 249, 0, 135168, 0, 0.21311, 0.019732, 70924, 18138, 0, 0, 184, 43, 158, 0.026591, 0.003908, 68124, 4249, 0, 0, 80, 90, 70
do_unpack, 325929, 0.38, 13, 1, 2, 1, 3167057, 4148405, 654, 643, 0, 2412544, 0, 0.130915, 0.019835, 64852, 10916, 0, 0, 128, 8, 14, 0.022494999999999998, 0.011054999999999999, 61212, 1953, 0, 0, 4584, 180, 10
