Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_deploy_source_date_epoch, 757992, 0.34, 15, 4, 1, 1, 635870, 171025, 584, 327, 0, 118784, 0, 0.154028, 0.046565999999999996, 69524, 18765, 0, 0, 184, 52, 262, 0.019715, 0.014797999999999999, 66712, 5132, 0, 0, 48, 106, 92
do_collect_spdx_deps, 1368482, 0.14, 9, 1, 0, 0, 377602, 47734, 49, 53, 4096, 53248, 0, 0.094095, 0.016364, 69260, 4941, 0, 8, 104, 1, 148, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 1132233, 10.39, 27, 6, 141, 50, 16661173, 7042032, 24486, 7204, 311296, 7688192, 1437696, 0.277576, 0.064056, 70464, 26833, 0, 512, 848, 224, 80, 1.414276, 0.505618, 67740, 289892, 3, 96, 14168, 3883, 2949
do_recipe_qa, 10655, 0.06, 8, 0, 1, 0, 491541, 128649, 401, 214, 0, 102400, 0, 0.08473599999999999, 0.004236, 59528, 15527, 0, 0, 168, 26, 5, 0.011743, 0.002902, 56728, 3999, 0, 0, 32, 128, 2
do_compile, 1142131, 3.46, 16, 2, 907, 143, 187490899, 21208008, 36030, 7393, 2068480, 14716928, 5730304, 0.168263, 0.025886, 70276, 6327, 0, 0, 2008, 269, 40, 9.072864, 1.430114, 75940, 681094, 51, 4040, 26736, 3727, 5252
do_install, 1144149, 0.58, 21, 2, 15, 7, 11618169, 4446454, 6158, 825, 0, 4423680, 2859008, 0.21420799999999998, 0.028291, 59688, 13393, 0, 0, 200, 201, 270, 0.154935, 0.074865, 57608, 19909, 2, 0, 8440, 510, 534
do_extra_symlinks, 1144586, 0.01, 9, 1, 0, 0, 336675, 14553, 281, 36, 0, 12288, 0, 0.09970799999999999, 0.013005, 58080, 3957, 0, 0, 24, 111, 224, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 1371182, 0.35, 13, 3, 1, 1, 827679, 363982, 412, 251, 0, 139264, 0, 0.13908299999999998, 0.034769999999999995, 71464, 18824, 0, 0, 184, 34, 63, 0.018349, 0.015467999999999999, 68664, 4560, 0, 0, 88, 119, 96
do_prepare_recipe_sysroot, 1131410, 0.19, 13, 4, 1, 0, 1977379, 1501533, 552, 408, 131072, 1544192, 0, 0.135879, 0.045293, 68648, 6144, 0, 256, 288, 6, 63, 0.017419, 0.007319999999999999, 63088, 639, 0, 0, 2728, 9, 10
do_create_spdx, 1369283, 0.73, 21, 3, 3, 1, 1075105, 498791, 639, 285, 0, 208896, 0, 0.219487, 0.031355, 72504, 21400, 0, 0, 304, 60, 131, 0.034075, 0.011307, 68904, 5525, 1, 0, 104, 123, 135
do_populate_sysroot, 1144685, 0.75, 21, 3, 8, 0, 5229656, 2180124, 1794, 770, 0, 626688, 0, 0.211132, 0.039098, 70516, 22677, 0, 0, 352, 123, 130, 0.08421999999999999, 0.009633, 67692, 9256, 2, 0, 872, 202, 171
do_populate_lic, 735875, 0.42, 14, 3, 3, 1, 1020990, 293379, 619, 273, 8192, 151552, 0, 0.148113, 0.034444999999999996, 69800, 18260, 0, 16, 216, 38, 277, 0.031987, 0.010933, 66716, 5063, 1, 0, 80, 92, 87
do_multilib_install, 1144508, 0.01, 9, 0, 0, 0, 336675, 17423, 281, 36, 0, 12288, 0, 0.09779, 0.00889, 58084, 3959, 0, 0, 24, 0, 299, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
