Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 749429, 0.21, 14, 6, 2, 2, 990139, 294200, 610, 266, 69632, 147456, 0, 0.148109, 0.063475, 69812, 18484, 3, 136, 216, 32, 178, 0.020309, 0.020492, 66728, 5009, 1, 0, 72, 127, 82
do_packagedata, 1903562, 0.68, 18, 2, 4, 1, 901412, 320872, 896, 328, 0, 253952, 0, 0.186249, 0.02963, 72756, 21436, 0, 0, 232, 53, 164, 0.045362, 0.016122, 69956, 6900, 3, 0, 264, 111, 100
do_collect_spdx_deps, 2041366, 0.09, 13, 1, 0, 0, 355596, 45836, 38, 48, 0, 53248, 0, 0.138019, 0.013800999999999999, 70824, 7254, 0, 0, 104, 0, 70, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile_ptest_base, 1875639, 0.12, 14, 2, 0, 0, 314466, 36527, 4418, 130, 0, 24576, 0, 0.148883, 0.029776, 71264, 8178, 0, 0, 48, 27, 61, 0.0, 0.002937, 68540, 364, 0, 0, 0, 1, 29
do_recipe_qa, 37847, 0.05, 5, 2, 0, 0, 484773, 126249, 404, 209, 0, 102400, 0, 0.059482, 0.027757999999999998, 62308, 16129, 0, 0, 168, 28, 3, 0.009823, 0.0038179999999999998, 59496, 3990, 0, 0, 32, 135, 5
do_install, 1877092, 2.60, 20, 2, 33, 11, 9515574, 5638127, 5103, 917, 360448, 5586944, 12288, 0.208923, 0.020482, 65076, 14710, 0, 0, 216, 333, 263, 0.331854, 0.110663, 62988, 60565, 1, 704, 10696, 849, 1172
do_compile, 1813225, 20.58, 25, 1, 4695, 464, 468640632, 193616267, 133820, 45506, 6815744, 136462336, 13987840, 0.25904499999999997, 0.016711999999999998, 71440, 8515, 0, 0, 2552, 449, 59, 46.955324, 4.647037, 242692, 2546575, 54, 13312, 263976, 35522, 36321
do_install_ptest_base, 1882756, 0.70, 14, 3, 17, 6, 49525728, 47572603, 1913, 773, 1363968, 47599616, 0, 0.14351999999999998, 0.031031, 65664, 8314, 0, 0, 64, 76, 305, 0.17888199999999999, 0.064539, 63580, 10436, 0, 2664, 92904, 126, 434
do_fetch, 37939, 0.01, 5, 0, 0, 0, 294567, 67137, 33, 81, 0, 61440, 0, 0.05173, 0.0, 60448, 4678, 0, 0, 120, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1627094, 4.58, 17, 3, 1, 1, 1766356, 1056288, 553, 308, 131072, 1110016, 0, 0.17396399999999998, 0.035583, 69228, 7243, 0, 248, 168, 35, 19, 0.011032, 0.010038, 63960, 1206, 0, 8, 2000, 43, 7
