Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 315072, 0.88, 34, 4, 10, 6, 4201964, 1455090, 2829, 1105, 122880, 917504, 8192, 0.34624699999999997, 0.041715999999999996, 66604, 39270, 0, 0, 968, 285, 282, 0.10045899999999999, 0.06586499999999999, 64412, 22825, 0, 240, 824, 280, 419
do_collect_spdx_deps, 581872, 0.01, 12, 1, 0, 0, 592723, 50325, 53, 59, 4096, 53248, 0, 0.12722, 0.015902, 67304, 7116, 0, 8, 104, 1, 83, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 24037, 0.04, 8, 1, 1, 0, 715333, 132720, 414, 227, 0, 110592, 0, 0.085445, 0.019419, 61408, 16136, 0, 0, 184, 27, 5, 0.010877, 0.002578, 58608, 4026, 0, 0, 32, 111, 6
do_install, 312477, 0.26, 18, 1, 21, 5, 5225178, 798809, 4325, 833, 4096, 749568, 45056, 0.188943, 0.01608, 65860, 14029, 0, 0, 168, 72, 15, 0.21592599999999998, 0.058060999999999995, 63168, 48030, 5, 8, 1296, 648, 136
do_prepare_recipe_sysroot, 205773, 0.09, 15, 1, 1, 0, 1856201, 1344815, 484, 383, 0, 1380352, 0, 0.157501, 0.019687, 64120, 8157, 0, 0, 144, 2, 37, 0.014714999999999999, 0.006366999999999999, 58084, 625, 0, 0, 2552, 7, 56
do_compile, 261560, 5.06, 19, 2, 799, 172, 60542963, 3545617, 119300, 29460, 0, 2072576, 102400, 0.192095, 0.026365999999999997, 64804, 8574, 0, 0, 384, 132, 15, 7.997809, 1.728977, 62112, 1680486, 50, 0, 3664, 78822, 7256
do_configure, 207759, 9.04, 26, 3, 587, 105, 126961509, 23019926, 66934, 19366, 0, 21651456, 11051008, 0.262042, 0.035199, 65368, 16731, 0, 0, 336, 275, 125, 5.87661, 1.059036, 62456, 915014, 35, 0, 41952, 8121, 3143
do_fetch, 24135, 14.06, 14, 1, 1, 1, 1636885, 1589547, 2203, 2972, 0, 1216512, 0, 0.14382899999999998, 0.013075, 60312, 9484, 0, 0, 376, 648, 8, 0.010124, 0.01354, 56848, 1676, 0, 0, 2000, 662, 6
do_create_spdx, 582199, 0.18, 21, 4, 2, 1, 1275484, 509758, 648, 308, 0, 217088, 0, 0.211316, 0.040637, 69480, 21474, 0, 0, 320, 31, 72, 0.020911, 0.016269, 66344, 5220, 1, 0, 104, 115, 37
do_deploy_source_date_epoch, 27396, 0.06, 10, 1, 1, 0, 771888, 162068, 500, 301, 0, 118784, 0, 0.103906, 0.011545, 62012, 18673, 0, 0, 192, 29, 6, 0.015292, 0.000663, 59180, 4697, 0, 0, 40, 125, 5
do_patch, 27253, 0.06, 8, 0, 4, 0, 1299537, 151393, 1299, 196, 0, 167936, 4096, 0.080277, 0.004458999999999999, 60852, 11854, 0, 0, 136, 17, 1, 0.043968, 0.008820999999999999, 55144, 18866, 0, 0, 192, 294, 12
do_populate_lic, 732432, 0.54, 18, 3, 3, 0, 1326314, 290066, 678, 286, 114688, 155648, 0, 0.18655, 0.033918, 71100, 18849, 2, 224, 240, 56, 142, 0.039282, 0.005723, 68000, 5069, 0, 0, 64, 119, 93
do_unpack, 27237, 0.11, 7, 0, 9, 0, 7450633, 11465453, 1938, 2315, 0, 6275072, 0, 0.073896, 0.004346, 60828, 11607, 0, 0, 64, 12, 5, 0.095173, 0.009914, 57112, 3289, 0, 0, 12192, 1122, 7
do_create_runtime_spdx, 783615, 0.48, 16, 2, 1, 1, 1020546, 360307, 463, 254, 0, 135168, 0, 0.160326, 0.025314, 71356, 16815, 0, 0, 184, 50, 78, 0.019672, 0.012166999999999999, 68556, 4243, 1, 0, 80, 76, 81
