Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1455025, 0.13, 13, 1, 0, 0, 372518, 47646, 45, 51, 69632, 53248, 0, 0.136633, 0.013222, 69612, 7156, 0, 136, 104, 17, 22, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package, 1714010, 12.70, 149, 78, 349, 73, 45456069, 15992508, 33490, 3668, 0, 10194944, 3346432, 1.494018, 0.7865329999999999, 67688, 86335, 0, 0, 1128, 2135, 6948, 3.493721, 0.739993, 65556, 220501, 28, 0, 18784, 6840, 5242
do_create_spdx, 2008395, 4.35, 34, 15, 11, 10, 2216746, 1503436, 1396, 1380, 24576, 606208, 0, 0.346599, 0.155969, 74964, 44279, 0, 48, 1048, 131, 275, 0.116077, 0.104006, 71348, 12692, 0, 0, 136, 1472, 401
do_configure_ptest_base, 1607332, 0.05, 8, 1, 0, 0, 331611, 27398, 60, 61, 0, 28672, 0, 0.080373, 0.016073999999999998, 70408, 8031, 0, 0, 56, 1, 2, 0.0, 0.00249, 67680, 366, 0, 0, 0, 1, 0
do_compile_ptest_base, 1619302, 0.05, 9, 0, 0, 0, 375180, 33343, 120, 139, 0, 24576, 0, 0.099212, 0.008267, 70840, 8238, 0, 0, 48, 4, 4, 0.001251, 0.0025269999999999997, 68108, 556, 0, 0, 0, 2, 2
do_compile, 1607428, 4.13, 10, 0, 734, 104, 76757309, 12828679, 56659, 14162, 1011712, 4526080, 102400, 0.10134399999999999, 0.008812, 70808, 8441, 0, 0, 728, 131, 5, 7.3467839999999995, 1.04708, 68108, 836217, 11, 1976, 8112, 26542, 2777
do_recipe_qa, 32072, 0.05, 8, 0, 1, 0, 494795, 128187, 412, 212, 0, 102400, 0, 0.08119699999999999, 0.007732999999999999, 62204, 16112, 0, 0, 168, 28, 29, 0.011517, 0.002499, 59396, 4005, 0, 0, 32, 145, 8
do_install, 1619557, 1.10, 19, 2, 42, 15, 7180090, 2010918, 8698, 1252, 729088, 1982464, 45056, 0.190834, 0.02904, 63724, 14263, 0, 0, 248, 553, 217, 0.427606, 0.150523, 61628, 97561, 4, 1424, 3624, 2792, 1177
do_packagedata, 1737746, 1.55, 17, 5, 5, 1, 1085044, 532324, 1180, 392, 4096, 430080, 0, 0.175821, 0.058607, 71412, 23536, 0, 0, 304, 53, 107, 0.054931999999999995, 0.013002, 68672, 7064, 0, 8, 536, 119, 89
do_install_ptest_base, 1621524, 0.12, 11, 2, 1, 0, 1138416, 695361, 704, 200, 4096, 704512, 36864, 0.116279, 0.025436, 63764, 10336, 0, 0, 64, 482, 40, 0.014145, 0.008503, 61680, 2697, 0, 8, 1312, 227, 36
do_fetch, 32121, 0.02, 5, 0, 0, 0, 311489, 58665, 40, 72, 0, 57344, 0, 0.052586999999999995, 0.00809, 60316, 6796, 0, 0, 112, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 262130, 0.17, 6, 4, 7, 1, 1609855, 666004, 1426, 317, 36864, 692224, 4096, 0.069178, 0.046118, 62948, 11706, 0, 0, 144, 17, 14, 0.07912899999999999, 0.014515, 57336, 18841, 2, 72, 1208, 295, 66
do_prepare_recipe_sysroot, 1527427, 0.24, 13, 6, 1, 1, 1874599, 1142624, 586, 331, 49152, 1191936, 0, 0.13094799999999998, 0.06745799999999999, 69148, 9037, 0, 96, 152, 18, 47, 0.010471, 0.010544999999999999, 63928, 1209, 0, 0, 2176, 17, 14
do_configure, 1528121, 27.87, 28, 2, 756, 157, 177977570, 26508848, 78852, 23152, 987136, 24596480, 13787136, 0.283143, 0.024269, 70952, 19714, 0, 600, 360, 373, 141, 7.568306, 1.576616, 68048, 907063, 36, 1328, 47680, 8973, 7792
do_package_qa, 3045912, 3.27, 37, 16, 15, 21, 6046325, 446882, 4231, 425, 2031616, 163840, 0, 0.372006, 0.16583399999999998, 58132, 32404, 50, 3888, 272, 151, 2365, 0.157556, 0.21870599999999998, 55760, 75908, 0, 80, 48, 369, 563
do_populate_sysroot, 1623061, 1.03, 39, 7, 5, 3, 3797292, 1745790, 1624, 734, 0, 1290240, 159744, 0.39200399999999996, 0.07056, 71624, 28518, 0, 0, 1648, 139, 342, 0.058528, 0.038027, 68996, 12017, 0, 0, 872, 204, 191
do_create_runtime_spdx, 3046042, 1.76, 29, 4, 3, 1, 1991772, 572578, 1243, 298, 258048, 286720, 0, 0.291716, 0.043956999999999996, 64072, 20003, 0, 504, 464, 92, 102, 0.034123, 0.012483, 60356, 5461, 0, 0, 96, 110, 81
do_populate_lic, 730507, 0.52, 17, 2, 3, 0, 1038233, 285286, 634, 272, 126976, 151552, 0, 0.178591, 0.022323, 69680, 18676, 2, 248, 232, 39, 184, 0.036536, 0.0075699999999999995, 66596, 5034, 1, 0, 64, 86, 53
do_package_write_rpm, 3045670, 11.17, 37, 6, 1702, 80, 21744403, 3587435, 9143, 1922, 2015232, 2228224, 0, 0.37277699999999997, 0.061488999999999995, 57980, 24421, 2, 936, 584, 1453, 774, 17.02458, 0.80331, 1564876, 591418, 0, 3000, 3768, 10315, 6859
do_deploy_source_date_epoch, 263699, 0.16, 17, 2, 1, 0, 574455, 165715, 477, 291, 0, 114688, 0, 0.175414, 0.025058999999999998, 64852, 18748, 0, 0, 184, 30, 214, 0.019712, 0.009370999999999999, 62052, 4671, 0, 0, 40, 87, 39
