Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2976051, 0.46, 21, 1, 0, 0, 354882, 49290, 43, 53, 0, 49152, 0, 0.210885, 0.018885, 61020, 5715, 0, 0, 96, 0, 200, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 3004044, 1.77, 19, 5, 4, 1, 1428060, 643992, 813, 411, 0, 274432, 0, 0.19611399999999998, 0.053113999999999995, 64932, 24111, 0, 0, 424, 71, 109, 0.049876, 0.013371, 61148, 6548, 0, 0, 112, 294, 89
do_recipe_qa, 495352, 0.08, 9, 2, 1, 0, 504666, 128180, 392, 214, 0, 106496, 0, 0.092275, 0.02197, 66492, 16334, 0, 0, 176, 24, 8, 0.010971, 0.006986, 63684, 3987, 0, 0, 32, 130, 15
do_populate_lic, 711431, 0.49, 15, 3, 3, 0, 808823, 234663, 602, 262, 28672, 139264, 0, 0.151649, 0.034662, 69656, 18664, 0, 56, 216, 48, 106, 0.034406, 0.007929, 66556, 4982, 0, 0, 56, 91, 53
do_install, 2989430, 2.74, 26, 2, 21, 4, 9303033, 399872, 1499, 257, 53248, 413696, 0, 0.262946, 0.021551999999999998, 56896, 15373, 5, 104, 160, 168, 277, 0.21101399999999998, 0.046952, 54812, 11851, 0, 0, 648, 31, 255
do_packagedata, 3001606, 1.40, 21, 2, 5, 0, 841630, 294271, 937, 325, 0, 204800, 0, 0.21872699999999998, 0.022243, 62420, 23618, 0, 0, 224, 84, 77, 0.052787, 0.009462, 59612, 6903, 2, 0, 176, 167, 90
do_compile, 2976650, 10.72, 10, 2, 253, 22, 58934003, 3718617, 7047, 1557, 245760, 2465792, 1855488, 0.100254, 0.021483, 61668, 6636, 0, 0, 120, 47, 75, 2.531142, 0.22846, 63736, 85402, 2, 480, 4696, 533, 950
do_package, 2995020, 6.28, 66, 34, 164, 14, 7438080, 2564643, 6742, 947, 4096, 1761280, 376832, 0.666841, 0.343285, 58100, 43214, 1, 8, 624, 319, 1932, 1.642882, 0.142074, 55836, 44225, 1, 0, 2816, 2097, 1337
do_package_qa, 3004827, 2.12, 35, 7, 4, 3, 1345688, 233859, 1471, 272, 12288, 155648, 0, 0.35216, 0.073008, 57892, 21570, 3, 24, 264, 130, 749, 0.046967999999999996, 0.033079, 55568, 13400, 0, 0, 40, 125, 217
do_fetch, 495687, 18.99, 5, 1, 0, 0, 389662, 95414, 233, 191, 0, 102400, 0, 0.051663999999999995, 0.012915999999999999, 64736, 5993, 0, 0, 128, 37, 4, 0.0, 0.006238, 61188, 931, 0, 0, 72, 37, 1
do_deploy_source_date_epoch, 562110, 0.17, 18, 2, 1, 1, 570484, 164902, 2520, 296, 0, 114688, 0, 0.184784, 0.020998, 67420, 19065, 0, 0, 184, 42, 306, 0.013021, 0.013306, 64620, 4646, 0, 0, 40, 143, 60
do_create_runtime_spdx, 3007142, 1.24, 13, 3, 4, 0, 1027065, 413606, 648, 259, 0, 159744, 0, 0.136344, 0.032081, 64308, 19375, 0, 0, 224, 53, 65, 0.040367, 0.0036639999999999997, 60756, 5371, 0, 0, 88, 140, 107
do_write_config, 562568, 0.08, 10, 2, 0, 0, 347501, 59605, 133, 109, 0, 49152, 0, 0.109133, 0.024250999999999998, 67016, 8185, 0, 0, 64, 12, 25, 0.0054199999999999995, 0.0, 64292, 792, 0, 0, 32, 10, 15
do_prepare_recipe_sysroot, 2967381, 2.63, 22, 19, 3, 0, 3232211, 1461303, 1011, 432, 417792, 1585152, 0, 0.22893899999999998, 0.195022, 62312, 11281, 0, 816, 152, 51, 76, 0.033346, 0.004508, 57424, 1893, 0, 0, 2944, 86, 58
do_patch, 552076, 0.04, 7, 1, 0, 0, 499940, 123476, 199, 88, 0, 126976, 4096, 0.07913099999999999, 0.011869, 65228, 10806, 0, 0, 120, 6, 5, 0.004267, 0.001367, 59284, 945, 0, 0, 128, 11, 1
do_configure, 2969855, 7.26, 18, 1, 178, 17, 26358345, 7234124, 5725, 1850, 258048, 7843840, 110592, 0.18689799999999998, 0.016989999999999998, 61700, 11570, 0, 24, 160, 33, 65, 1.780641, 0.17332899999999998, 58788, 67564, 0, 480, 15160, 876, 1060
do_unpack, 551530, 0.07, 12, 2, 1, 0, 1152649, 964153, 355, 295, 0, 843776, 0, 0.126784, 0.026893, 65212, 10701, 0, 0, 128, 8, 30, 0.014962999999999999, 0.002288, 61716, 1608, 0, 0, 1520, 21, 2
do_populate_sysroot, 2995426, 1.93, 23, 7, 7, 1, 2001895, 737299, 1414, 643, 0, 466944, 49152, 0.23057799999999998, 0.074254, 62272, 24895, 0, 0, 632, 123, 121, 0.07035, 0.015031, 59788, 10908, 0, 0, 280, 183, 139
do_package_write_rpm, 3004290, 4.97, 35, 3, 344, 18, 3739961, 699814, 2329, 648, 45056, 458752, 0, 0.35520199999999996, 0.033152, 57856, 24281, 2, 88, 472, 170, 517, 3.448853, 0.18773099999999998, 350284, 101005, 0, 0, 424, 1500, 1241
