Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 1593964, 44.74, 17, 4, 522, 120, 146691043, 18744598, 64388, 20457, 245760, 18489344, 10928128, 0.17623, 0.044057, 71800, 18275, 0, 368, 376, 250, 25, 5.224485, 1.20499, 69068, 706965, 21, 112, 35736, 6620, 3794
do_populate_sysroot, 1690483, 3.67, 266, 22, 6, 1, 2495761, 1104667, 1446, 659, 0, 876544, 106496, 2.662391, 0.225157, 71760, 24311, 0, 0, 1160, 147, 111, 0.061223, 0.019339, 69660, 11118, 1, 0, 552, 176, 183
do_collect_spdx_deps, 1834084, 0.15, 14, 0, 0, 0, 347124, 44691, 34, 46, 0, 53248, 0, 0.14115999999999998, 0.007842, 71088, 7146, 0, 0, 104, 0, 193, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 33213, 0.05, 6, 1, 1, 0, 470476, 123994, 390, 207, 0, 102400, 0, 0.06829199999999999, 0.012804, 61720, 15794, 0, 0, 168, 25, 0, 0.012102, 0.001723, 58912, 3991, 0, 0, 32, 138, 7
do_install, 1686640, 1.12, 21, 3, 14, 3, 2004396, 751922, 2795, 590, 151552, 720896, 4096, 0.21870599999999998, 0.033937, 64936, 13995, 0, 0, 192, 285, 275, 0.145645, 0.035793, 62852, 27386, 2, 296, 1216, 420, 705
do_packagedata, 1708084, 0.95, 17, 5, 5, 1, 783580, 267103, 902, 316, 4096, 204800, 0, 0.177222, 0.053578999999999995, 72000, 20920, 0, 0, 224, 73, 121, 0.056492999999999995, 0.014469999999999998, 69188, 6910, 0, 8, 176, 159, 110
do_compile, 1682070, 1.94, 12, 3, 368, 45, 29451225, 4351309, 11894, 2624, 282624, 1404928, 77824, 0.12335399999999999, 0.032894, 71548, 8389, 0, 0, 400, 97, 107, 3.6800829999999998, 0.45236, 68856, 226104, 2, 552, 2344, 3048, 3051
do_fetch, 33262, 1.38, 5, 0, 0, 0, 679043, 392622, 515, 596, 0, 397312, 0, 0.055063, 0.0, 59900, 5675, 0, 0, 112, 49, 13, 0.0038669999999999998, 0.002508, 56528, 900, 0, 0, 664, 206, 1
do_create_spdx, 1836194, 0.69, 23, 3, 4, 2, 1380039, 680234, 811, 462, 0, 290816, 0, 0.23498999999999998, 0.034110999999999995, 74264, 25435, 0, 0, 456, 72, 151, 0.041934, 0.027669, 71112, 6849, 1, 0, 112, 298, 174
do_prepare_recipe_sysroot, 1588858, 4.56, 10, 5, 1, 0, 1769078, 1053661, 549, 304, 131072, 1101824, 0, 0.102643, 0.051321, 69180, 7129, 0, 248, 160, 36, 12, 0.019511999999999998, 0.001138, 64100, 1195, 0, 8, 1992, 27, 5
do_patch, 266376, 0.04, 6, 2, 0, 0, 591614, 118674, 202, 79, 0, 126976, 4096, 0.070019, 0.029481999999999998, 63200, 8681, 0, 0, 120, 6, 12, 0.0066029999999999995, 0.0016769999999999999, 57500, 943, 0, 0, 128, 13, 2
do_deploy_source_date_epoch, 272168, 0.14, 16, 4, 1, 0, 547306, 160165, 475, 286, 0, 114688, 0, 0.16813799999999998, 0.041109, 65036, 18584, 0, 0, 184, 29, 18, 0.01654, 0.006836, 62224, 4664, 0, 0, 40, 91, 36
do_package_qa, 2909121, 1.61, 30, 4, 5, 1, 1833514, 229852, 1544, 266, 638976, 159744, 0, 0.307535, 0.04457, 67032, 19176, 10, 1152, 272, 102, 946, 0.056374999999999995, 0.017346999999999998, 64812, 13233, 0, 96, 40, 136, 162
do_create_runtime_spdx, 2909646, 0.97, 13, 2, 3, 0, 1048385, 411811, 625, 255, 53248, 167936, 0, 0.139909, 0.021859999999999997, 63360, 19063, 0, 104, 240, 42, 89, 0.035248999999999996, 0.0050219999999999996, 59752, 5381, 0, 0, 88, 113, 71
do_package_write_rpm, 2908695, 3.66, 24, 4, 448, 20, 6437408, 1160978, 2470, 689, 806912, 778240, 0, 0.244306, 0.046334, 67212, 21581, 0, 872, 496, 322, 350, 4.48276, 0.200235, 415904, 122279, 0, 704, 1024, 1507, 1809
do_package, 1690514, 6.92, 99, 45, 145, 17, 12346298, 5449790, 7722, 1357, 0, 3952640, 925696, 0.998389, 0.454476, 66600, 41643, 0, 0, 640, 480, 2016, 1.4501819999999999, 0.17113299999999998, 64468, 44321, 1, 0, 7080, 2137, 1034
do_populate_lic, 721774, 0.71, 17, 3, 2, 1, 623923, 169059, 557, 247, 8192, 126976, 0, 0.17096699999999998, 0.03838, 69464, 18336, 1, 16, 216, 41, 87, 0.025153, 0.014207, 66364, 4977, 0, 0, 32, 116, 77
do_unpack, 265559, 0.06, 5, 2, 3, 0, 3542997, 5187388, 790, 764, 0, 2994176, 0, 0.059358999999999995, 0.023743, 63180, 8600, 0, 0, 128, 8, 2, 0.031425999999999996, 0.004252, 59692, 2084, 1, 0, 5720, 276, 38
