Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 672523, 0.01, 7, 1, 0, 0, 574983, 50536, 52, 59, 12288, 53248, 0, 0.07821399999999999, 0.012348999999999999, 67720, 6935, 0, 24, 104, 4, 54, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 25413, 0.05, 8, 1, 0, 0, 699442, 132477, 399, 227, 0, 106496, 0, 0.083789, 0.016756999999999998, 61484, 16197, 0, 0, 176, 22, 30, 0.008177, 0.006111, 58684, 4038, 0, 0, 32, 139, 13
do_install, 1000032, 2.76, 18, 2, 40, 8, 7815857, 807387, 8139, 1149, 122880, 724992, 8192, 0.186862, 0.02725, 71160, 13899, 0, 0, 168, 155, 81, 0.40843199999999996, 0.087188, 68456, 51752, 2, 240, 1248, 794, 699
do_deploy_source_date_epoch, 30077, 0.07, 8, 2, 1, 0, 757022, 164222, 510, 304, 0, 118784, 0, 0.089992, 0.021426, 62332, 18728, 0, 0, 192, 33, 5, 0.012978, 0.002843, 59508, 4707, 0, 0, 40, 147, 13
do_compile, 986770, 2.12, 15, 1, 419, 80, 62012893, 4861393, 33676, 5518, 2043904, 3067904, 311296, 0.15040699999999999, 0.015425999999999999, 69912, 8485, 0, 8, 784, 181, 31, 4.194282, 0.809066, 67216, 654335, 34, 3984, 5208, 7374, 3146
do_create_runtime_spdx, 768736, 0.14, 18, 5, 2, 0, 1003363, 360451, 441, 254, 0, 139264, 0, 0.183477, 0.053514, 71184, 18408, 0, 0, 192, 35, 65, 0.022092999999999998, 0.007899999999999999, 68432, 4276, 0, 0, 80, 82, 38
do_fetch, 25605, 14.35, 9, 1, 1, 0, 2659643, 2154375, 2094, 3073, 0, 2146304, 0, 0.093647, 0.016562, 60324, 8381, 0, 0, 112, 134, 8, 0.018411, 0.005554, 56408, 906, 0, 0, 4080, 1350, 5
do_prepare_recipe_sysroot, 935271, 0.42, 19, 12, 3, 0, 3198158, 2307763, 828, 634, 16384, 2404352, 0, 0.19449999999999998, 0.12102199999999999, 69648, 7240, 0, 32, 152, 6, 37, 0.034711, 0.0038079999999999998, 64760, 647, 0, 0, 4544, 8, 16
do_patch, 30023, 0.03, 5, 2, 0, 0, 654063, 124571, 194, 92, 0, 126976, 4096, 0.058171999999999995, 0.020775, 61124, 10093, 0, 0, 120, 6, 5, 0.004458999999999999, 0.000954, 55264, 957, 0, 0, 128, 13, 0
do_unpack, 29948, 0.07, 6, 1, 4, 1, 15111731, 23490172, 1622, 3139, 0, 16609280, 0, 0.063458, 0.015864, 61108, 11271, 0, 0, 56, 6, 3, 0.048687, 0.018022, 57200, 1028, 0, 0, 32384, 420, 8
do_create_spdx, 672672, 0.08, 11, 2, 1, 0, 1298683, 500900, 658, 292, 0, 212992, 0, 0.117325, 0.027375, 70420, 20969, 0, 0, 312, 35, 15, 0.016347999999999998, 0.009918999999999999, 67520, 5257, 0, 0, 104, 148, 11
do_configure, 935559, 72.26, 35, 7, 1567, 247, 228326292, 48409047, 135918, 40711, 1658880, 45105152, 22515712, 0.360042, 0.075357, 71524, 18942, 0, 56, 432, 553, 103, 15.677426, 2.479705, 68832, 1702553, 74, 3184, 87664, 17415, 15071
do_populate_sysroot, 1002178, 1.60, 28, 8, 9, 4, 3004931, 1183084, 2056, 991, 0, 827392, 0, 0.290043, 0.08444299999999999, 71072, 31614, 0, 0, 872, 195, 123, 0.094715, 0.044310999999999996, 68880, 16258, 0, 0, 744, 230, 250
do_populate_lic, 709435, 0.54, 16, 3, 4, 0, 1295018, 311044, 665, 292, 118784, 163840, 0, 0.162904, 0.038786, 70908, 18721, 4, 136, 240, 33, 104, 0.040497, 0.005376, 67824, 5086, 0, 96, 80, 116, 42
