Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2241921, 0.04, 9, 1, 0, 0, 354778, 47782, 44, 51, 0, 49152, 0, 0.098719, 0.015795, 71228, 5127, 0, 0, 96, 0, 24, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 275277, 0.20, 17, 3, 2, 0, 559014, 167806, 451, 292, 0, 118784, 0, 0.179309, 0.039846, 65132, 18803, 0, 0, 192, 20, 22, 0.021089999999999998, 0.004833, 62332, 4672, 2, 0, 40, 84, 44
do_recipe_qa, 33816, 0.06, 6, 2, 1, 0, 479970, 128004, 404, 213, 0, 102400, 0, 0.065652, 0.023171, 62260, 16032, 0, 0, 168, 24, 29, 0.012947, 0.001442, 59460, 3998, 0, 0, 32, 142, 11
do_fetch, 33906, 0.01, 4, 0, 0, 0, 293749, 47578, 39, 60, 0, 53248, 0, 0.040615, 0.008123, 60088, 4531, 0, 0, 104, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 717034, 0.49, 16, 4, 3, 0, 996282, 306273, 638, 278, 73728, 159744, 0, 0.162936, 0.040734, 69564, 18417, 4, 144, 232, 41, 549, 0.038796, 0.00859, 66480, 5058, 0, 0, 80, 86, 59
do_install, 2485309, 7.44, 20, 4, 72, 23, 9062644, 1717754, 13216, 1240, 319488, 1740800, 8192, 0.203672, 0.042629, 66912, 14404, 0, 0, 248, 395, 285, 0.727127, 0.23083299999999998, 64824, 97960, 1, 624, 3152, 1746, 3106
do_packagedata, 2514952, 0.84, 20, 3, 4, 3, 1120102, 578060, 1264, 407, 0, 471040, 0, 0.206869, 0.038786999999999995, 73120, 23070, 0, 0, 320, 62, 122, 0.043551, 0.037218, 70368, 7073, 0, 0, 600, 145, 117
do_compile, 2440810, 21.59, 18, 1, 669, 93, 71484566, 10075138, 33406, 6683, 2084864, 6090752, 1703936, 0.18523499999999998, 0.018522999999999998, 71916, 8620, 0, 0, 1208, 215, 83, 6.696823, 0.938097, 91240, 611387, 19, 4072, 10688, 7546, 5781
do_unpack, 35310, 0.06, 4, 0, 4, 1, 14891521, 23486498, 1613, 3131, 0, 16609280, 0, 0.044036, 0.008806999999999999, 60460, 7490, 0, 0, 56, 6, 2, 0.048403999999999996, 0.015404999999999999, 56856, 1012, 0, 0, 32384, 425, 26
do_prepare_recipe_sysroot, 2224454, 0.33, 19, 14, 4, 0, 3208475, 2104872, 922, 581, 159744, 2211840, 0, 0.19577799999999998, 0.14096, 71336, 7685, 0, 304, 160, 37, 105, 0.040047, 0.008908, 66448, 1253, 0, 8, 4160, 20, 7
do_patch, 266941, 0.07, 13, 1, 1, 0, 1202041, 637544, 356, 213, 0, 651264, 4096, 0.13694499999999998, 0.012449, 63324, 11918, 0, 0, 128, 6, 9, 0.011611, 0.003243, 57244, 970, 0, 0, 1144, 13, 4
do_create_spdx, 2517941, 2.21, 31, 10, 12, 6, 2073205, 1114339, 1482, 699, 0, 495616, 0, 0.31787, 0.10284, 76064, 46094, 0, 0, 840, 123, 144, 0.12870099999999998, 0.06946999999999999, 72432, 13811, 0, 0, 128, 1276, 560
do_configure, 2226303, 69.39, 39, 6, 1582, 275, 284844407, 52257798, 151254, 45261, 1818624, 48099328, 25714688, 0.398205, 0.062874, 72128, 17736, 0, 200, 440, 564, 97, 15.822723, 2.757286, 69224, 1615869, 64, 3352, 93504, 21842, 18344
do_populate_sysroot, 2502323, 1.98, 34, 6, 6, 2, 2858932, 1420496, 1471, 681, 0, 1105920, 204800, 0.340176, 0.06655599999999999, 72544, 24177, 0, 0, 1104, 148, 305, 0.069549, 0.029439999999999997, 70512, 11152, 0, 0, 1056, 202, 168
do_create_runtime_spdx, 2850285, 3.73, 24, 4, 3, 0, 1492113, 598125, 1084, 305, 0, 307200, 0, 0.24942599999999998, 0.046993, 75656, 19384, 0, 0, 504, 84, 123, 0.032652, 0.008346, 72204, 5449, 0, 0, 96, 114, 140
do_package, 2502475, 6.79, 168, 42, 279, 27, 19361834, 7276304, 18975, 1942, 0, 4157440, 1228800, 1.6877170000000001, 0.420927, 68844, 64512, 0, 0, 1064, 1061, 6934, 2.79076, 0.27941699999999997, 66724, 75116, 1, 0, 7056, 4608, 4363
do_package_write_rpm, 2848393, 16.02, 26, 6, 1816, 96, 11442538, 2550871, 5923, 2062, 4096, 1519616, 0, 0.262015, 0.062383999999999995, 69152, 24492, 0, 8, 608, 1034, 749, 18.164105, 0.967981, 1400448, 675358, 1, 0, 2360, 13249, 5693
do_package_qa, 2849983, 4.25, 27, 6, 5, 4, 3545767, 262185, 3293, 329, 0, 159744, 0, 0.27621, 0.06595999999999999, 69352, 23552, 0, 0, 272, 98, 2213, 0.051397, 0.040232, 67148, 17722, 0, 0, 40, 129, 200
