Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2686324, 0.27, 13, 0, 0, 0, 355535, 48201, 41, 52, 0, 49152, 0, 0.139786, 0.007764999999999999, 72904, 5646, 0, 0, 96, 0, 96, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile_ptest_base, 2692929, 0.19, 13, 1, 0, 0, 313541, 26653, 56, 62, 0, 20480, 0, 0.131095, 0.012686, 73072, 8496, 0, 0, 40, 1, 79, 0.0, 0.003163, 70352, 368, 0, 0, 0, 1, 3
do_recipe_qa, 69491, 0.06, 7, 1, 1, 0, 497455, 127172, 407, 213, 0, 102400, 0, 0.078799, 0.015759, 63080, 16546, 0, 0, 168, 28, 5, 0.012175, 0.001723, 60276, 3997, 0, 0, 32, 141, 6
do_package_qa, 2739867, 2.51, 53, 20, 16, 21, 16268671, 458892, 6915, 399, 4096, 159744, 0, 0.531666, 0.203872, 70916, 33808, 0, 0, 264, 768, 3947, 0.163898, 0.219943, 68712, 77091, 2, 8, 48, 430, 538
do_install, 2694015, 1.15, 25, 2, 32, 9, 18267618, 9086976, 2245, 498, 200704, 9285632, 0, 0.25572, 0.029344, 67688, 14240, 0, 0, 224, 162, 250, 0.329231, 0.09017, 65612, 11258, 2, 392, 17912, 346, 806
do_deploy_source_date_epoch, 496584, 0.14, 11, 2, 1, 0, 562451, 162750, 487, 289, 0, 118784, 0, 0.111117, 0.021367999999999998, 66988, 18943, 0, 0, 192, 29, 10, 0.014176999999999999, 0.0035009999999999998, 64188, 4700, 0, 0, 40, 161, 5
do_install_ptest_base, 2697118, 0.08, 16, 2, 0, 0, 391060, 42865, 496, 159, 4096, 32768, 0, 0.16799999999999998, 0.027999999999999997, 67704, 10486, 0, 0, 56, 66, 273, 0.005706, 0.008302, 65628, 1687, 0, 8, 8, 35, 39
do_packagedata, 2718939, 0.82, 16, 4, 3, 2, 998297, 378255, 932, 339, 0, 258048, 0, 0.165343, 0.040326999999999995, 74528, 21708, 0, 0, 216, 61, 94, 0.033625999999999996, 0.028055, 71728, 6990, 0, 0, 288, 165, 115
do_compile, 2673279, 13.60, 18, 2, 3813, 461, 508201437, 72484660, 103905, 24899, 4825088, 26071040, 4001792, 0.18007499999999999, 0.020938, 73176, 6880, 0, 0, 1816, 240, 64, 38.131843, 4.6107949999999995, 98364, 1353553, 37, 9424, 49104, 12657, 21526
do_fetch, 69655, 5.41, 8, 0, 109, 7, 25896040, 25632687, 33021, 7633, 0, 9199616, 12288, 0.087916, 0.008373, 61436, 10000, 0, 0, 160, 214, 6, 1.093312, 0.074851, 57984, 15093, 0, 0, 17808, 12171, 114
