Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 574409, 0.01, 12, 0, 0, 0, 554229, 43263, 33, 48, 0, 53248, 0, 0.12753899999999999, 0.009108999999999999, 66728, 6998, 0, 0, 104, 0, 75, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 51498, 0.04, 9, 0, 0, 0, 690110, 124547, 396, 216, 0, 106496, 0, 0.094632, 0.007885999999999999, 63128, 16256, 0, 0, 176, 29, 2, 0.009197, 0.004339, 60324, 4016, 0, 0, 32, 125, 6
do_install, 841623, 0.30, 20, 2, 1, 2, 5825232, 2400954, 4390, 640, 376832, 2424832, 0, 0.206478, 0.020647, 70964, 12189, 0, 0, 112, 49, 43, 0.012362999999999999, 0.024103, 68264, 3012, 0, 736, 4624, 32, 44
do_generate_toolchain_file, 372108, 0.04, 14, 1, 0, 0, 526704, 41215, 73, 82, 0, 40960, 0, 0.147642, 0.014060999999999999, 65804, 8332, 0, 0, 64, 5, 239, 0.000547, 0.002923, 63104, 504, 0, 0, 16, 5, 31
do_populate_sysroot, 841870, 1.48, 35, 10, 18, 10, 13270546, 5690411, 4314, 1304, 0, 3858432, 0, 0.35960899999999996, 0.103336, 71164, 42150, 0, 0, 3680, 279, 109, 0.18967099999999998, 0.10393999999999999, 69248, 34805, 3, 0, 3856, 353, 374
do_compile, 836158, 4.42, 14, 0, 2695, 216, 148682438, 12031491, 46074, 7881, 2625536, 6537216, 1650688, 0.14305299999999999, 0.009531, 70952, 7083, 0, 0, 744, 220, 8, 26.958726, 2.167233, 131308, 1043026, 59, 5128, 12024, 4282, 12940
do_prepare_recipe_sysroot, 832654, 0.08, 8, 4, 1, 0, 1941193, 1358473, 458, 366, 8192, 1404928, 0, 0.080686, 0.044377, 69364, 7216, 0, 16, 344, 6, 7, 0.016963, 0.0014969999999999998, 64432, 624, 0, 0, 2400, 8, 5
do_unpack, 54772, 0.05, 7, 1, 4, 1, 13816886, 20547336, 1389, 1889, 0, 11304960, 0, 0.073195, 0.019261, 62432, 10044, 0, 0, 56, 6, 4, 0.040815, 0.010272, 58716, 1022, 0, 0, 22024, 314, 8
do_fetch, 51631, 0.01, 6, 0, 0, 0, 493203, 44816, 28, 57, 0, 53248, 0, 0.06835, 0.008041, 62384, 7016, 0, 0, 104, 0, 83, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 782205, 0.44, 15, 2, 1, 1, 980803, 352353, 413, 243, 0, 135168, 0, 0.152004, 0.027281999999999997, 71420, 16502, 0, 0, 184, 36, 72, 0.018859, 0.012601999999999999, 68604, 4287, 0, 0, 80, 121, 62
do_patch, 55865, 0.02, 7, 0, 0, 0, 633376, 118279, 175, 81, 0, 126976, 4096, 0.071388, 0.008398, 62428, 10319, 0, 0, 120, 6, 2, 0.004739, 0.000503, 56384, 948, 0, 0, 128, 13, 1
do_configure, 833490, 0.53, 12, 2, 36, 14, 13429347, 2326281, 11143, 8992, 233472, 2633728, 1376256, 0.12870499999999999, 0.024131999999999997, 71236, 9649, 0, 0, 152, 36, 10, 0.365323, 0.142569, 68344, 84569, 0, 456, 4992, 637, 91
do_populate_lic, 727513, 1.02, 16, 4, 2, 1, 854233, 184681, 555, 258, 12288, 135168, 0, 0.16772299999999998, 0.041929999999999995, 70912, 18802, 1, 24, 224, 33, 116, 0.027873, 0.017034999999999998, 67828, 4983, 0, 0, 40, 143, 45
do_create_spdx, 574730, 0.25, 19, 3, 2, 1, 1209425, 489786, 607, 280, 0, 208896, 0, 0.191298, 0.034433, 69060, 20990, 0, 0, 304, 46, 130, 0.022993, 0.016048, 66160, 5224, 0, 0, 104, 123, 51
do_deploy_source_date_epoch, 374571, 0.17, 16, 3, 1, 1, 743353, 157875, 464, 323, 0, 114688, 0, 0.16944599999999999, 0.030413, 66056, 18853, 0, 0, 184, 31, 134, 0.014659, 0.012896999999999999, 63336, 4681, 1, 0, 40, 82, 56
