Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 674388, 0.01, 7, 1, 0, 0, 565183, 47567, 42, 54, 12288, 53248, 0, 0.077086, 0.016228, 67944, 6917, 0, 24, 104, 3, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 733692, 0.49, 17, 3, 3, 0, 1043433, 237381, 583, 269, 28672, 139264, 0, 0.178727, 0.032494999999999996, 70984, 18575, 1, 56, 224, 40, 106, 0.033236, 0.008747999999999999, 67900, 5024, 0, 0, 48, 133, 61
do_fetch, 25905, 1.60, 9, 0, 0, 1, 2462217, 1964090, 2111, 2843, 0, 1961984, 0, 0.094014, 0.008546, 60292, 8316, 0, 0, 112, 127, 7, 0.00138, 0.019996, 56492, 898, 0, 0, 3720, 1096, 5
do_recipe_qa, 25832, 0.05, 7, 1, 1, 0, 690580, 129836, 399, 222, 0, 106496, 0, 0.077664, 0.01635, 61432, 16414, 0, 0, 176, 29, 8, 0.012008999999999999, 0.002252, 58632, 4028, 0, 0, 32, 147, 2
do_create_spdx, 676006, 0.10, 10, 4, 1, 0, 1284033, 497622, 648, 287, 0, 212992, 0, 0.10930799999999999, 0.048581, 70832, 20934, 0, 0, 312, 36, 9, 0.017299, 0.008152999999999999, 67676, 5222, 0, 0, 104, 158, 10
do_install, 1272160, 2.24, 20, 4, 28, 6, 6528373, 1071608, 3710, 816, 516096, 983040, 4096, 0.202117, 0.040423, 70904, 13745, 0, 0, 168, 131, 52, 0.281695, 0.061822999999999996, 68212, 37706, 4, 1008, 1752, 531, 664
do_compile, 1255333, 8.84, 22, 0, 1104, 153, 132524858, 3562094, 77957, 9121, 1671168, 2314240, 90112, 0.22885, 0.005448, 70892, 8611, 0, 0, 640, 210, 56, 11.041704, 1.5313379999999999, 68184, 1353253, 63, 3264, 3880, 17162, 12224
do_configure, 1214665, 63.45, 34, 6, 1326, 213, 191784835, 36561257, 99036, 26661, 1900544, 34066432, 17735680, 0.347385, 0.060212999999999996, 70644, 16907, 0, 272, 384, 519, 137, 13.2655, 2.13367, 67736, 1472836, 38, 3440, 66152, 12348, 14470
do_prepare_recipe_sysroot, 1213763, 0.61, 18, 9, 3, 0, 3269041, 2396117, 850, 652, 53248, 2498560, 0, 0.183909, 0.093911, 69484, 9068, 0, 80, 160, 12, 383, 0.032149, 0.002263, 63980, 624, 0, 24, 4720, 12, 96
do_populate_sysroot, 1274056, 0.85, 32, 9, 7, 3, 3147911, 1189823, 1753, 947, 0, 712704, 0, 0.32892499999999997, 0.098677, 71344, 29181, 0, 0, 760, 187, 1195, 0.07479899999999999, 0.038222, 69112, 12858, 0, 0, 632, 240, 444
do_patch, 26530, 0.03, 7, 0, 0, 0, 644340, 121950, 184, 87, 0, 126976, 4096, 0.071959, 0.007995, 60496, 9999, 0, 0, 120, 6, 2, 0.004345, 0.00046499999999999997, 54724, 945, 0, 0, 128, 12, 1
do_create_runtime_spdx, 784394, 0.36, 18, 2, 2, 0, 993360, 357692, 469, 249, 0, 135168, 0, 0.186769, 0.023842, 71192, 16043, 0, 0, 184, 59, 58, 0.025043, 0.006444, 68388, 4244, 0, 0, 80, 72, 84
do_unpack, 26377, 0.05, 5, 1, 3, 1, 13030625, 20854395, 1409, 1834, 0, 11243520, 0, 0.053377999999999995, 0.012317999999999999, 60480, 7656, 0, 0, 56, 6, 4, 0.0383, 0.013158, 56556, 1012, 0, 0, 21904, 325, 12
do_deploy_source_date_epoch, 28353, 0.07, 10, 1, 1, 0, 745090, 160142, 489, 299, 0, 118784, 0, 0.101293, 0.011687, 62084, 18542, 0, 0, 192, 32, 2, 0.016076, 0.002562, 59188, 4718, 0, 0, 40, 167, 12
