Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1475008, 0.22, 13, 1, 0, 0, 343506, 42870, 30, 44, 450560, 53248, 0, 0.136653, 0.010787999999999999, 69348, 6985, 0, 880, 104, 26, 88, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 538778, 0.06, 6, 2, 1, 0, 498835, 122790, 379, 205, 0, 106496, 0, 0.067225, 0.025209, 66844, 16229, 0, 0, 176, 23, 8, 0.012164, 0.001794, 64032, 4002, 0, 0, 32, 143, 2
do_install, 2270735, 1.21, 20, 3, 16, 5, 2049498, 268991, 3139, 715, 0, 196608, 4096, 0.20640899999999998, 0.031755, 65920, 14678, 0, 0, 208, 322, 234, 0.16691899999999998, 0.05132, 63828, 34063, 0, 0, 176, 500, 725
do_deploy_source_date_epoch, 609721, 0.18, 13, 3, 1, 1, 563693, 159467, 493, 284, 0, 118784, 0, 0.139425, 0.035851999999999995, 67740, 18795, 0, 0, 192, 43, 69, 0.016921, 0.010946, 64932, 4666, 0, 0, 40, 108, 89
do_packagedata, 2305803, 0.89, 21, 5, 4, 1, 787671, 261994, 896, 314, 0, 204800, 0, 0.21455, 0.051491999999999996, 72284, 23770, 0, 0, 224, 71, 60, 0.049439, 0.012976, 69484, 6898, 0, 0, 176, 101, 89
do_compile, 2256136, 0.75, 14, 0, 61, 8, 6922753, 661361, 3651, 823, 98304, 274432, 16384, 0.14673999999999998, 0.007930999999999999, 71380, 7965, 0, 0, 160, 53, 15, 0.6137659999999999, 0.086641, 68688, 62601, 1, 192, 376, 724, 341
do_create_spdx, 2628399, 1.19, 23, 6, 4, 1, 1242483, 568076, 739, 350, 4096, 253952, 0, 0.23664, 0.060162, 74820, 24939, 0, 8, 392, 61, 69, 0.048709999999999996, 0.018401999999999998, 71204, 6558, 0, 0, 104, 244, 97
do_fetch, 539800, 8.98, 4, 0, 0, 0, 655673, 370522, 425, 585, 0, 376832, 0, 0.049324, 0.007587999999999999, 65056, 5969, 0, 0, 120, 36, 29, 0.006539, 0.0, 61660, 914, 0, 0, 616, 182, 0
do_configure, 2064931, 31.02, 25, 4, 500, 73, 107317645, 16705564, 49077, 15545, 1187840, 15454208, 8912896, 0.256219, 0.045444, 71580, 18236, 0, 1152, 312, 264, 83, 5.007083, 0.7328749999999999, 68692, 473226, 9, 1168, 29872, 8290, 7083
do_package_qa, 2900411, 1.45, 21, 4, 5, 1, 1034650, 228929, 1168, 264, 0, 159744, 0, 0.216283, 0.048969, 66820, 20989, 0, 0, 272, 115, 511, 0.059903, 0.015267, 64596, 13098, 0, 0, 40, 159, 150
do_prepare_recipe_sysroot, 2063605, 0.25, 14, 6, 1, 0, 1749808, 1051021, 539, 301, 61440, 1093632, 0, 0.14416199999999998, 0.064072, 69508, 6962, 0, 120, 144, 19, 145, 0.015073, 0.008487999999999999, 64244, 1219, 0, 0, 1992, 18, 10
do_patch, 567880, 0.07, 10, 2, 0, 0, 1254969, 632598, 365, 204, 0, 647168, 4096, 0.10711699999999999, 0.023802999999999998, 65372, 11609, 0, 0, 120, 6, 25, 0.009325, 0.0050609999999999995, 59580, 958, 0, 0, 1144, 12, 11
do_package_write_rpm, 2900173, 3.00, 20, 4, 259, 17, 2226282, 585755, 2246, 609, 274432, 409600, 0, 0.201446, 0.041110999999999995, 66992, 23549, 0, 448, 488, 349, 356, 2.599489, 0.175998, 314344, 100209, 2, 88, 312, 1527, 993
do_package, 2297746, 2.79, 81, 39, 143, 15, 5801321, 2403421, 5949, 1014, 131072, 2134016, 172032, 0.810879, 0.391729, 67596, 42516, 0, 248, 608, 374, 1818, 1.430734, 0.156915, 65456, 43050, 1, 8, 3560, 1783, 1233
do_populate_sysroot, 2316528, 1.39, 27, 1, 4, 2, 1264572, 451162, 1168, 600, 0, 335872, 28672, 0.279839, 0.019988, 71924, 23835, 0, 0, 488, 70, 73, 0.043821, 0.02839, 69820, 10243, 2, 0, 168, 152, 73
do_create_runtime_spdx, 2900663, 0.92, 17, 3, 3, 0, 987980, 408372, 612, 251, 4096, 159744, 0, 0.174, 0.038666, 62460, 18774, 0, 8, 224, 41, 101, 0.03077, 0.009819999999999999, 58944, 5399, 0, 0, 88, 115, 61
do_populate_lic, 780173, 0.45, 11, 4, 3, 1, 797636, 230032, 574, 253, 0, 139264, 0, 0.11246199999999999, 0.040165, 69644, 16200, 0, 0, 216, 38, 38, 0.031035999999999998, 0.010329, 66556, 5001, 1, 0, 56, 106, 60
do_unpack, 565514, 0.09, 9, 1, 6, 1, 2517101, 3623119, 679, 757, 4096, 1933312, 0, 0.094758, 0.011843999999999999, 65080, 7411, 0, 0, 64, 7, 25, 0.06641799999999999, 0.010473999999999999, 61432, 1778, 1, 8, 3712, 397, 173
