Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 697362, 0.03, 14, 2, 0, 0, 661824, 114849, 144, 80, 0, 114688, 0, 0.142256, 0.027660999999999998, 68432, 8647, 0, 0, 96, 2, 7, 0.0049559999999999995, 0.0, 62500, 596, 0, 0, 128, 7, 3
do_configure, 1045042, 6.25, 22, 2, 164, 19, 19062261, 5490415, 5780, 2122, 45056, 5902336, 237568, 0.225733, 0.025485999999999998, 71896, 11603, 0, 0, 168, 91, 149, 1.647664, 0.19885799999999998, 68968, 90995, 2, 88, 11360, 821, 1065
do_recipe_qa, 685012, 0.08, 14, 1, 1, 0, 717727, 133029, 408, 229, 0, 106496, 0, 0.148565, 0.011727999999999999, 69688, 16285, 0, 0, 176, 24, 11, 0.012735, 0.009722, 66876, 4052, 0, 0, 32, 139, 6
do_install, 1060888, 1.02, 20, 1, 30, 2, 10046083, 972796, 1008, 289, 0, 995328, 0, 0.209862, 0.012343999999999999, 71392, 14045, 0, 0, 104, 26, 352, 0.30196999999999996, 0.027615999999999998, 68696, 7557, 0, 0, 1840, 8, 64
do_compile, 1055466, 5.91, 18, 1, 1469, 126, 196795130, 10463127, 37980, 5098, 2043904, 6328320, 1454080, 0.187611, 0.012506999999999999, 71408, 9016, 0, 0, 528, 92, 81, 14.695553, 1.268849, 68704, 590214, 10, 3992, 11832, 2164, 7691
do_fetch, 685483, 0.09, 13, 0, 2, 0, 1045236, 55944, 232, 74, 0, 53248, 0, 0.134573, 0.003958, 67844, 8011, 0, 0, 104, 3, 89, 0.024888999999999998, 0.0, 64920, 1932, 0, 0, 0, 7, 8
do_patch, 701341, 0.02, 15, 1, 0, 0, 555783, 62742, 92, 75, 0, 61440, 4096, 0.15582, 0.011986, 68528, 9237, 0, 0, 120, 4, 6, 0.002712, 0.0018269999999999998, 62760, 347, 0, 0, 0, 4, 0
do_unpack, 686000, 0.47, 13, 3, 16, 6, 4883131, 3906021, 2846, 1351, 0, 5226496, 12288, 0.13952399999999998, 0.035877, 67760, 15019, 0, 0, 72, 33, 116, 0.165493, 0.065496, 64912, 16451, 0, 0, 10136, 643, 795
do_populate_sysroot, 1061595, 1.73, 30, 8, 10, 4, 6070918, 2457600, 2298, 1020, 0, 1544192, 0, 0.302883, 0.085953, 71620, 32211, 0, 0, 1552, 182, 140, 0.103461, 0.049936999999999995, 69708, 16346, 1, 0, 1464, 262, 320
do_prepare_recipe_sysroot, 1044717, 0.44, 19, 11, 2, 0, 2768838, 1662735, 742, 476, 12288, 1753088, 0, 0.197815, 0.117074, 70596, 9980, 0, 24, 184, 36, 152, 0.02675, 0.007214, 65708, 939, 0, 0, 3240, 25, 43
do_write_config, 706551, 0.11, 18, 1, 0, 0, 546470, 48675, 98, 85, 0, 36864, 0, 0.18117, 0.015753, 70356, 8852, 0, 0, 56, 4, 106, 0.004861, 0.0, 67636, 577, 0, 0, 16, 5, 2
do_create_runtime_spdx, 783084, 0.39, 17, 2, 2, 1, 997160, 360921, 449, 256, 0, 135168, 0, 0.171548, 0.024506, 71344, 16593, 0, 0, 184, 49, 192, 0.021622, 0.010055, 68532, 4273, 1, 0, 80, 83, 59
do_populate_lic, 731833, 0.49, 21, 3, 2, 1, 826592, 177860, 558, 269, 0, 131072, 0, 0.216281, 0.03191, 71000, 18588, 0, 0, 224, 33, 83, 0.026171, 0.015016999999999999, 67916, 4979, 0, 0, 32, 85, 45
do_deploy_source_date_epoch, 706608, 0.48, 23, 3, 2, 0, 775363, 163346, 521, 306, 0, 118784, 0, 0.23427199999999998, 0.030723999999999998, 70724, 19059, 0, 0, 192, 51, 148, 0.028985, 0.006202, 67924, 4716, 0, 0, 40, 92, 86
do_create_spdx, 697568, 0.13, 15, 3, 3, 0, 1296072, 499552, 643, 294, 0, 212992, 0, 0.156154, 0.035134, 72308, 21256, 0, 0, 312, 33, 6, 0.033194999999999995, 0.0058969999999999995, 68708, 5263, 0, 0, 104, 151, 12
