Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_compile, 2313526, 3.00, 13, 3, 732, 147, 83286301, 7062883, 38740, 7599, 606208, 2920448, 352256, 0.136512, 0.030824999999999998, 71384, 8002, 0, 0, 976, 185, 20, 7.323694, 1.476689, 68696, 840892, 43, 1184, 4728, 10139, 6822
do_populate_lic, 780677, 0.45, 12, 2, 2, 1, 663545, 180587, 597, 247, 0, 126976, 0, 0.12700799999999998, 0.028679, 69676, 16321, 0, 0, 216, 61, 58, 0.024520999999999998, 0.015971, 66576, 4956, 1, 0, 32, 95, 85
do_collect_spdx_deps, 2628309, 0.14, 12, 1, 0, 0, 344471, 43623, 32, 45, 0, 53248, 0, 0.12398999999999999, 0.011623999999999999, 71304, 7058, 0, 0, 104, 0, 45, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 541386, 0.01, 3, 0, 0, 0, 283442, 43972, 27, 54, 4096, 53248, 0, 0.039661999999999996, 0.007932, 65000, 4734, 1, 8, 104, 1, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 539273, 0.06, 7, 0, 1, 0, 499976, 123326, 397, 206, 0, 102400, 0, 0.079549, 0.008373, 66860, 16195, 0, 0, 168, 26, 3, 0.012376, 0.002168, 64048, 4005, 0, 0, 32, 148, 7
do_install, 2325320, 1.74, 17, 3, 19, 5, 3679072, 839931, 2798, 567, 114688, 798720, 4096, 0.177177, 0.034571, 65696, 14602, 0, 0, 200, 258, 270, 0.19000399999999998, 0.059725999999999994, 63612, 31800, 0, 224, 1360, 483, 620
do_package, 2331762, 2.68, 81, 43, 154, 20, 14858722, 6547015, 9477, 1692, 0, 4591616, 1245184, 0.816449, 0.43596799999999997, 67740, 41565, 0, 0, 672, 549, 2906, 1.5417109999999998, 0.202348, 65620, 44570, 1, 0, 8296, 2134, 1417
do_prepare_recipe_sysroot, 2195147, 0.54, 13, 6, 2, 0, 1750675, 1050198, 537, 301, 139264, 1089536, 0, 0.136702, 0.064553, 69480, 8771, 0, 264, 152, 36, 105, 0.022914999999999998, 0.0, 64308, 1205, 0, 8, 1976, 17, 26
do_packagedata, 2346370, 0.51, 16, 2, 3, 2, 804586, 269063, 853, 316, 0, 212992, 0, 0.160763, 0.02617, 72396, 20997, 0, 0, 232, 50, 126, 0.038696999999999995, 0.021282, 69588, 6919, 0, 0, 184, 102, 100
do_unpack, 565697, 0.07, 8, 1, 2, 1, 4846484, 7254121, 548, 844, 0, 4395008, 0, 0.088756, 0.015434999999999999, 65012, 7416, 0, 0, 64, 6, 31, 0.021325, 0.013552, 61440, 997, 0, 0, 8520, 121, 96
do_package_qa, 2902191, 1.76, 29, 8, 4, 3, 2202646, 228995, 2396, 265, 0, 159744, 0, 0.292491, 0.08695699999999999, 67000, 21034, 0, 0, 272, 117, 1527, 0.041921, 0.035434, 64772, 13056, 0, 0, 40, 165, 144
do_create_spdx, 2629111, 1.73, 24, 4, 4, 2, 1492278, 798414, 792, 538, 131072, 344064, 0, 0.242445, 0.042533999999999995, 75236, 26052, 0, 256, 552, 60, 165, 0.043075999999999996, 0.027208999999999997, 71616, 6878, 0, 0, 120, 248, 131
do_patch, 568007, 0.07, 12, 2, 1, 0, 1177701, 633768, 344, 207, 0, 647168, 4096, 0.122345, 0.028547, 65484, 11734, 0, 0, 120, 7, 84, 0.016364, 0.0, 59584, 954, 0, 0, 1144, 13, 4
do_configure, 2254651, 22.73, 22, 5, 530, 90, 130752800, 18315741, 55563, 16914, 667648, 17186816, 9822208, 0.22893999999999998, 0.056296, 71960, 16927, 0, 160, 320, 233, 18, 5.308586, 0.909129, 69076, 567084, 25, 1144, 33248, 7109, 5602
do_populate_sysroot, 2332023, 0.74, 19, 6, 5, 3, 2851854, 1308542, 1345, 659, 0, 1093632, 139264, 0.19758099999999998, 0.062567, 72072, 21988, 0, 0, 1432, 113, 233, 0.050851, 0.035168, 69992, 11202, 0, 0, 704, 175, 155
do_create_runtime_spdx, 2902978, 0.94, 17, 2, 3, 0, 1133354, 411345, 667, 254, 65536, 167936, 0, 0.176708, 0.023878999999999997, 62608, 19148, 0, 128, 240, 61, 68, 0.033998, 0.008149, 59012, 5349, 0, 0, 88, 110, 128
do_deploy_source_date_epoch, 610955, 0.25, 15, 2, 1, 1, 564091, 158824, 523, 282, 0, 118784, 0, 0.153744, 0.024931, 67752, 18656, 0, 0, 192, 60, 215, 0.01847, 0.011359, 64944, 4652, 0, 0, 40, 86, 82
do_package_write_rpm, 2902082, 5.21, 29, 3, 360, 18, 7769062, 1434316, 2680, 720, 311296, 937984, 0, 0.291078, 0.034755, 66904, 23771, 0, 520, 496, 260, 343, 3.606026, 0.183381, 433132, 122602, 1, 88, 1336, 2091, 1275
