Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 48665, 0.02, 5, 1, 0, 0, 564782, 46337, 40, 53, 0, 53248, 0, 0.059885999999999995, 0.011977, 61952, 6943, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 18377, 0.05, 7, 2, 1, 0, 683975, 127758, 385, 221, 0, 106496, 0, 0.070217, 0.027306, 60456, 16117, 0, 0, 176, 24, 4, 0.012778999999999999, 0.0012749999999999999, 57656, 4025, 0, 0, 32, 122, 9
do_install, 258304, 0.14, 15, 1, 5, 1, 1357938, 174751, 1256, 351, 0, 163840, 4096, 0.15073799999999998, 0.016295999999999998, 64820, 14350, 0, 0, 128, 28, 17, 0.050217, 0.017695, 62128, 13238, 0, 0, 192, 182, 42
do_compile, 255416, 0.35, 11, 1, 105, 24, 18510054, 394438, 8529, 1204, 0, 352256, 61440, 0.112465, 0.016661, 65108, 8506, 0, 0, 184, 44, 2, 1.058668, 0.24556, 62416, 165408, 5, 0, 504, 1679, 1268
do_fetch, 18445, 0.89, 7, 1, 7, 2, 4415523, 1428550, 3075, 1051, 0, 622592, 12288, 0.07124899999999999, 0.014249, 59360, 9810, 0, 0, 144, 100, 5, 0.077526, 0.028690999999999998, 55508, 11771, 0, 0, 1072, 767, 17
do_configure, 217070, 6.39, 25, 6, 352, 58, 81942009, 16633695, 41673, 14521, 0, 15024128, 7024640, 0.25793699999999997, 0.067288, 65144, 16324, 0, 0, 312, 239, 247, 3.521519, 0.5876319999999999, 62328, 514811, 23, 0, 29032, 5238, 1639
do_prepare_recipe_sysroot, 215913, 0.11, 11, 2, 1, 0, 1833114, 1343191, 473, 378, 0, 1384448, 0, 0.113623, 0.026735, 63924, 8160, 0, 0, 152, 2, 130, 0.016156, 0.004295, 57832, 618, 0, 0, 2552, 8, 35
do_patch, 19584, 0.03, 7, 0, 0, 0, 643865, 120895, 182, 86, 0, 126976, 4096, 0.070141, 0.007793, 59548, 10007, 0, 0, 120, 6, 1, 0.0037809999999999996, 0.001248, 53496, 943, 0, 0, 128, 14, 2
do_populate_sysroot, 259878, 0.22, 17, 6, 3, 2, 1605184, 504203, 1569, 879, 0, 311296, 0, 0.17059, 0.067442, 64996, 29545, 0, 0, 448, 84, 19, 0.038969, 0.029935, 62784, 11891, 0, 0, 160, 206, 38
do_create_runtime_spdx, 784159, 0.48, 18, 1, 3, 0, 992229, 355768, 449, 248, 0, 135168, 0, 0.18173799999999998, 0.018931, 71144, 16042, 0, 0, 184, 51, 48, 0.032485, 0.001197, 68336, 4248, 1, 0, 80, 74, 102
do_unpack, 19436, 0.13, 8, 0, 8, 1, 4801434, 247321, 1672, 216, 0, 487424, 8192, 0.080117, 0.00445, 59508, 16338, 0, 0, 64, 32, 24, 0.08090499999999999, 0.017870999999999998, 55556, 14817, 0, 0, 888, 39, 12
do_deploy_source_date_epoch, 19717, 0.08, 11, 0, 0, 0, 736540, 157620, 490, 298, 4096, 118784, 0, 0.11615099999999999, 0.004148, 60728, 18242, 0, 8, 192, 34, 6, 0.009113999999999999, 0.006673, 57860, 4692, 1, 0, 40, 148, 11
do_populate_lic, 733053, 0.39, 17, 3, 3, 0, 1049057, 233817, 572, 268, 32768, 139264, 0, 0.178153, 0.030983, 70968, 18287, 1, 64, 224, 37, 73, 0.036383, 0.0058649999999999996, 67884, 5046, 1, 0, 48, 81, 45
do_create_spdx, 48805, 0.08, 10, 0, 1, 0, 1236348, 493894, 625, 286, 0, 212992, 0, 0.106427, 0.007883, 64196, 20615, 0, 0, 312, 32, 7, 0.016449, 0.004482, 61292, 5240, 0, 0, 104, 146, 7
