Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1707014, 0.18, 14, 1, 0, 0, 344583, 43708, 32, 45, 0, 53248, 0, 0.140364, 0.016041, 70324, 5149, 0, 0, 104, 0, 45, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 27914, 0.05, 7, 0, 1, 0, 461546, 123171, 399, 206, 0, 106496, 0, 0.077439, 0.003871, 61144, 15764, 0, 0, 176, 28, 3, 0.012194, 0.0014169999999999999, 58340, 3997, 0, 0, 32, 130, 10
do_install, 1643509, 0.13, 10, 2, 6, 1, 1309827, 293564, 1939, 360, 28672, 290816, 4096, 0.10595199999999999, 0.028525, 63020, 13873, 0, 0, 192, 536, 17, 0.06569, 0.013959, 60944, 20986, 0, 56, 376, 808, 14
do_packagedata, 1661060, 1.19, 17, 5, 4, 1, 796427, 288962, 908, 317, 0, 204800, 0, 0.179528, 0.056102, 71852, 23260, 0, 0, 224, 76, 61, 0.041103999999999995, 0.019292, 69052, 6920, 1, 0, 176, 110, 123
do_compile, 1639882, 3.26, 14, 1, 158, 34, 22949734, 1548502, 9561, 1723, 114688, 651264, 61440, 0.144598, 0.01954, 70384, 8088, 0, 0, 280, 91, 76, 1.583386, 0.347082, 67688, 169498, 1, 224, 992, 1949, 1190
do_create_runtime_spdx, 3041116, 0.76, 15, 4, 3, 0, 1024523, 409950, 663, 252, 118784, 163840, 0, 0.154029, 0.045792, 62480, 20982, 0, 104, 232, 71, 89, 0.034200999999999995, 0.009229, 58876, 5368, 0, 128, 88, 106, 96
do_fetch, 27973, 0.02, 4, 0, 0, 0, 822820, 46825, 219, 58, 0, 53248, 0, 0.042413, 0.004241, 59308, 5444, 0, 0, 104, 3, 3, 0.008477, 0.003392, 55960, 1933, 0, 0, 0, 7, 1
do_populate_sysroot, 1644019, 5.01, 82, 7, 3, 2, 1523952, 575580, 1148, 604, 0, 417792, 32768, 0.8287859999999999, 0.07818699999999999, 70780, 24110, 0, 0, 608, 54, 129, 0.039133, 0.02852, 68740, 10249, 0, 0, 208, 147, 58
do_prepare_recipe_sysroot, 1582355, 0.23, 12, 4, 2, 0, 1850638, 1140204, 573, 325, 262144, 1191936, 0, 0.12065899999999999, 0.043092, 68548, 6836, 0, 504, 160, 37, 60, 0.022636999999999997, 0.006091, 63288, 1198, 0, 8, 2168, 19, 13
do_package_write_rpm, 3040883, 3.64, 30, 4, 302, 19, 2848713, 692258, 2286, 627, 520192, 466944, 0, 0.305351, 0.046010999999999996, 56832, 24300, 0, 848, 480, 338, 328, 3.02306, 0.19039899999999998, 328520, 102773, 1, 168, 432, 1724, 1062
do_patch, 239190, 0.04, 7, 0, 0, 0, 1010862, 633242, 319, 205, 0, 651264, 4096, 0.071379, 0.003756, 62460, 8545, 0, 0, 128, 6, 3, 0.009054, 0.003561, 56652, 961, 0, 0, 1144, 12, 6
do_configure, 1583681, 24.60, 25, 5, 398, 71, 115788003, 19821458, 51175, 17374, 323584, 17928192, 9551872, 0.25708, 0.056235999999999994, 70788, 17544, 0, 384, 328, 263, 52, 3.9885669999999998, 0.719606, 67904, 501526, 13, 248, 34688, 8065, 6372
do_unpack, 28615, 0.12, 3, 2, 7, 2, 4581226, 243251, 1664, 208, 4096, 487424, 8192, 0.033908, 0.025431, 59456, 12078, 0, 0, 64, 32, 9, 0.07534099999999999, 0.024766, 55868, 14775, 0, 8, 888, 39, 26
do_populate_lic, 729454, 0.52, 15, 2, 2, 1, 798107, 229084, 596, 253, 32768, 135168, 0, 0.157552, 0.026258, 69452, 18288, 1, 64, 216, 55, 62, 0.028798999999999998, 0.015743, 66356, 5002, 0, 0, 48, 90, 86
do_create_spdx, 1707898, 1.27, 25, 2, 5, 2, 1324533, 639155, 746, 421, 94208, 278528, 0, 0.25193299999999996, 0.027483, 73980, 23175, 0, 176, 432, 48, 104, 0.053155, 0.025606, 70356, 6567, 0, 8, 112, 357, 101
do_package, 1647872, 8.94, 112, 48, 151, 19, 6896015, 2965836, 6758, 1135, 0, 2457600, 294912, 1.121465, 0.48062699999999997, 65072, 41621, 0, 0, 632, 1584, 1266, 1.514428, 0.191583, 62880, 45265, 4, 0, 4168, 3087, 848
do_package_qa, 3041023, 1.77, 26, 5, 5, 2, 1180556, 231207, 1387, 265, 311296, 159744, 0, 0.262606, 0.053341, 56496, 21234, 29, 608, 272, 115, 775, 0.053578, 0.022369, 54232, 13120, 1, 0, 40, 117, 115
do_deploy_source_date_epoch, 245241, 0.14, 17, 2, 2, 0, 545078, 161325, 483, 294, 0, 114688, 0, 0.171562, 0.026106999999999998, 64284, 18412, 0, 0, 184, 35, 29, 0.020901, 0.004006, 61472, 4673, 0, 0, 40, 110, 43
