Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_fetch, 598724, 0.82, 6, 1, 6, 2, 3958317, 981223, 3498, 845, 0, 479232, 12288, 0.061271, 0.015316999999999999, 65636, 9647, 0, 0, 136, 77, 42, 0.066957, 0.024037, 62124, 11711, 0, 0, 800, 485, 20
do_collect_spdx_deps, 3170981, 0.65, 14, 0, 0, 0, 344094, 43113, 30, 44, 16384, 53248, 0, 0.146175, 0.00406, 57768, 5518, 4, 32, 104, 4, 43, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 596563, 0.07, 8, 0, 1, 0, 506563, 123453, 393, 205, 0, 102400, 0, 0.085909, 0.008180999999999999, 67644, 16308, 0, 0, 168, 25, 9, 0.011366999999999999, 0.004245, 64844, 4010, 1, 0, 32, 131, 12
do_install, 3263256, 2.55, 26, 3, 13, 4, 1827218, 511395, 2285, 475, 0, 499712, 24576, 0.268877, 0.031632, 55092, 14294, 0, 0, 200, 184, 301, 0.13069799999999998, 0.047548, 53000, 26881, 1, 0, 776, 291, 687
do_create_runtime_spdx, 3300722, 0.97, 19, 4, 2, 1, 1258867, 410412, 814, 251, 114688, 159744, 0, 0.197712, 0.048329, 61680, 21578, 1, 224, 224, 65, 128, 0.029869999999999997, 0.012976, 58040, 5354, 0, 0, 88, 118, 128
do_packagedata, 3289148, 0.97, 22, 3, 4, 1, 802709, 246681, 862, 312, 159744, 212992, 0, 0.22172599999999998, 0.033468, 59588, 23355, 1, 8, 240, 61, 102, 0.042032, 0.018411, 56696, 6911, 12, 304, 176, 142, 112
do_compile, 3249569, 4.60, 11, 0, 305, 54, 35779809, 3327964, 15304, 2735, 53248, 1241088, 73728, 0.113454, 0.009453999999999999, 58596, 6597, 0, 0, 408, 59, 65, 3.056845, 0.5406099999999999, 55884, 272342, 5, 104, 2016, 3785, 3200
do_deploy_source_date_epoch, 685792, 0.34, 16, 2, 2, 1, 577295, 164957, 488, 314, 0, 114688, 0, 0.161721, 0.026952999999999998, 69028, 18740, 0, 0, 184, 46, 80, 0.02163, 0.012799, 66208, 4672, 0, 0, 40, 89, 116
do_prepare_recipe_sysroot, 3154527, 4.79, 22, 10, 8, 2, 3031821, 1334821, 1840, 446, 1974272, 1482752, 40960, 0.229741, 0.105681, 57456, 11167, 2, 1560, 168, 103, 95, 0.083644, 0.02165, 52568, 9571, 7, 2296, 2728, 265, 127
do_create_spdx, 3293758, 2.27, 32, 3, 4, 2, 1413631, 848051, 764, 758, 45056, 344064, 0, 0.320546, 0.037466, 62060, 25658, 4, 88, 560, 71, 361, 0.043974, 0.020915, 58280, 6584, 1, 0, 112, 257, 148
do_patch, 672482, 0.05, 7, 0, 0, 0, 1010442, 633572, 317, 206, 0, 647168, 4096, 0.073466, 0.007732999999999999, 66508, 10681, 0, 0, 120, 6, 6, 0.008055999999999999, 0.002826, 60480, 959, 0, 0, 1144, 12, 5
do_configure, 3156815, 70.95, 40, 1, 517, 76, 123387394, 17118417, 55405, 17316, 1445888, 16113664, 8990720, 0.40347, 0.016988, 58656, 20845, 6, 1376, 344, 300, 137, 5.176865, 0.7662289999999999, 55772, 528948, 13, 1448, 31128, 8245, 7526
do_unpack, 668841, 0.12, 4, 1, 9, 1, 4595933, 204805, 1776, 238, 0, 385024, 12288, 0.048262, 0.013162, 66736, 12685, 0, 0, 72, 31, 24, 0.09078499999999999, 0.016682, 63112, 14858, 0, 0, 680, 41, 12
do_package_write_rpm, 3294246, 3.89, 31, 3, 250, 13, 4038069, 600358, 3360, 595, 385024, 401408, 0, 0.313477, 0.03483, 56832, 23982, 2, 64, 480, 341, 594, 2.506792, 0.138863, 349212, 101125, 17, 688, 304, 965, 1376
do_populate_lic, 743836, 0.51, 16, 2, 3, 1, 798027, 230070, 588, 252, 0, 135168, 0, 0.165581, 0.027596, 69672, 18332, 0, 0, 216, 48, 79, 0.030171999999999997, 0.014228999999999999, 66580, 4979, 4, 0, 48, 111, 83
do_package, 3269172, 11.53, 132, 65, 108, 26, 13422626, 4273595, 9512, 1508, 0, 3465216, 860160, 1.3236219999999999, 0.6523829999999999, 57032, 47812, 0, 0, 624, 551, 1435, 1.080979, 0.265181, 54724, 85896, 3, 0, 6144, 1460, 2113
do_package_qa, 3296968, 1.89, 34, 6, 6, 12, 1752791, 287495, 1518, 300, 16384, 159744, 0, 0.34993199999999997, 0.061034, 56428, 21974, 1, 32, 272, 53, 989, 0.06454399999999999, 0.12057899999999999, 54040, 33112, 0, 0, 40, 179, 311
