Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1871714, 0.09, 14, 3, 0, 0, 346739, 44519, 34, 46, 0, 53248, 0, 0.148922, 0.030548, 70572, 7036, 0, 0, 104, 0, 74, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 36522, 0.10, 13, 2, 0, 1, 473908, 124827, 392, 207, 0, 102400, 0, 0.139347, 0.028689, 62144, 15925, 0, 0, 168, 25, 1, 0.009818, 0.013028, 59340, 3985, 0, 0, 32, 91, 13
do_populate_lic, 710836, 0.47, 15, 3, 3, 1, 645856, 181406, 562, 249, 12288, 131072, 0, 0.152393, 0.036093, 69468, 18400, 1, 24, 216, 37, 47, 0.031557999999999996, 0.01068, 66372, 4996, 0, 0, 40, 83, 60
do_install, 1680817, 0.50, 15, 4, 10, 3, 1509610, 314586, 2012, 427, 0, 290816, 4096, 0.15506499999999998, 0.045384, 64584, 13893, 0, 0, 192, 381, 105, 0.10908699999999999, 0.033051, 62496, 23016, 1, 0, 376, 432, 369
do_packagedata, 1698203, 0.36, 18, 4, 3, 1, 776916, 265824, 828, 316, 0, 204800, 0, 0.18625, 0.040489, 71876, 23204, 0, 0, 224, 33, 85, 0.036913, 0.016198999999999998, 69076, 6893, 0, 0, 176, 133, 73
do_compile, 1677574, 1.44, 13, 0, 170, 24, 16209365, 1998297, 7993, 1735, 167936, 753664, 45056, 0.132344, 0.006965, 70520, 8079, 0, 0, 328, 76, 55, 1.707691, 0.241978, 67828, 146785, 4, 328, 1144, 1843, 1244
do_create_runtime_spdx, 2781142, 0.95, 17, 3, 3, 0, 1007584, 410784, 614, 254, 16384, 163840, 0, 0.17174599999999998, 0.038165, 74584, 18682, 0, 32, 232, 44, 85, 0.034265, 0.00812, 71064, 5369, 0, 0, 88, 91, 79
do_fetch, 36620, 1.41, 5, 0, 0, 0, 674498, 392436, 534, 598, 0, 393216, 0, 0.052523999999999994, 0.009549, 60336, 5970, 0, 0, 120, 49, 59, 0.0, 0.006147, 56940, 891, 0, 0, 648, 223, 1
do_package_write_rpm, 2780670, 2.35, 23, 4, 329, 17, 3120577, 726573, 2271, 618, 245760, 495616, 0, 0.232344, 0.044065, 68544, 23652, 0, 400, 488, 301, 374, 3.298432, 0.173029, 348340, 100587, 0, 80, 480, 1905, 1373
do_package_qa, 2780890, 1.18, 24, 6, 3, 3, 1214985, 230799, 1274, 266, 0, 159744, 0, 0.248548, 0.06602, 68304, 21016, 0, 0, 272, 254, 616, 0.039573, 0.036718, 66100, 13108, 0, 0, 40, 145, 179
do_package, 1682653, 5.82, 80, 43, 159, 18, 7308425, 3122777, 6146, 1108, 0, 2596864, 372736, 0.8008949999999999, 0.433019, 66380, 41098, 0, 0, 608, 971, 1326, 1.59679, 0.188214, 64184, 43871, 5, 0, 4464, 2035, 1082
do_create_spdx, 1872617, 0.75, 21, 8, 3, 3, 1297324, 620333, 738, 393, 4096, 266240, 0, 0.214885, 0.081089, 74164, 24874, 0, 8, 408, 57, 130, 0.034838, 0.034746, 70544, 6570, 1, 0, 112, 270, 135
do_prepare_recipe_sysroot, 1585423, 3.42, 14, 3, 1, 0, 1749708, 1053014, 543, 304, 552960, 1097728, 0, 0.143061, 0.033882999999999996, 68680, 6725, 0, 1072, 144, 40, 56, 0.017417, 0.005365, 63376, 1209, 0, 8, 2000, 25, 14
do_patch, 282198, 0.07, 8, 1, 3, 0, 913248, 151299, 748, 138, 0, 176128, 4096, 0.083373, 0.011368999999999999, 63256, 9819, 0, 0, 128, 13, 54, 0.033283, 0.009205, 57544, 9398, 1, 0, 216, 142, 18
do_configure, 1600588, 40.97, 26, 5, 529, 100, 141459440, 19652169, 63617, 19417, 712704, 19238912, 11870208, 0.261858, 0.052371, 71024, 17171, 0, 400, 376, 292, 67, 5.291381, 1.003822, 68104, 650862, 15, 992, 37200, 8562, 6434
do_populate_sysroot, 1682573, 1.44, 33, 5, 3, 4, 1546697, 599265, 1260, 607, 0, 475136, 45056, 0.33675299999999997, 0.053387, 70852, 24028, 0, 0, 672, 125, 163, 0.039977, 0.041139999999999996, 68736, 10304, 0, 0, 256, 204, 205
do_unpack, 280407, 0.12, 8, 1, 3, 1, 3420864, 4917442, 812, 751, 4096, 2867200, 0, 0.08977099999999999, 0.017953999999999998, 63184, 9450, 0, 0, 128, 9, 135, 0.032015999999999996, 0.014573, 59736, 2547, 0, 8, 5472, 279, 203
do_deploy_source_date_epoch, 293438, 0.11, 10, 3, 1, 1, 548308, 162067, 481, 286, 0, 114688, 0, 0.10739599999999999, 0.034519999999999995, 64780, 18428, 0, 0, 184, 31, 12, 0.013120999999999999, 0.01002, 61980, 4653, 0, 0, 40, 98, 18
