Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 49448, 0.08, 9, 2, 1, 0, 1218742, 494286, 636, 286, 0, 212992, 0, 0.09232499999999999, 0.025179, 64260, 20813, 0, 0, 312, 39, 3, 0.015728, 0.005483, 61360, 5197, 1, 0, 104, 154, 11
do_prepare_recipe_sysroot, 92577, 0.06, 13, 1, 1, 0, 1828047, 1338800, 465, 376, 0, 1372160, 0, 0.13408599999999998, 0.015323999999999999, 62952, 8088, 0, 0, 144, 2, 186, 0.01119, 0.004203, 57300, 626, 0, 0, 2536, 8, 10
do_collect_spdx_deps, 49268, 0.02, 6, 1, 0, 0, 566057, 46109, 40, 53, 0, 53248, 0, 0.065647, 0.011583999999999999, 62036, 6859, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 93628, 6.18, 21, 4, 374, 67, 94086647, 17023346, 47815, 14856, 0, 15765504, 8044544, 0.21051699999999998, 0.043691999999999995, 63440, 16482, 0, 0, 328, 180, 16, 3.749789, 0.67419, 60628, 609856, 15, 0, 30464, 6756, 3589
do_recipe_qa, 25089, 0.05, 8, 0, 1, 0, 689013, 128330, 395, 221, 0, 106496, 0, 0.088764, 0.008069, 61316, 16066, 0, 0, 176, 25, 3, 0.011788999999999999, 0.001521, 58516, 4031, 0, 0, 32, 148, 3
do_install, 233014, 0.28, 14, 1, 25, 4, 8267061, 4446188, 25047, 1652, 0, 4816896, 20480, 0.146636, 0.016758, 64548, 14368, 0, 0, 216, 57, 10, 0.25188099999999997, 0.042191, 61844, 62632, 2, 0, 9192, 845, 113
do_compile, 159190, 8.68, 13, 0, 3202, 173, 108946065, 9897702, 46206, 8185, 4096, 4472832, 335872, 0.135495, 0.009033, 64020, 8373, 0, 0, 504, 199, 10, 32.021955, 1.73301, 404064, 1324664, 28, 8, 8232, 12078, 16554
do_unpack, 26183, 0.20, 5, 1, 17, 2, 13710713, 22437197, 3439, 4325, 0, 12079104, 0, 0.059851999999999995, 0.01596, 60444, 11213, 0, 0, 56, 6, 4, 0.17002899999999999, 0.020531, 56536, 1770, 0, 0, 23536, 2222, 8
do_fetch, 25190, 1.72, 8, 1, 1, 0, 2378037, 1872944, 1954, 2722, 0, 1867776, 0, 0.087409, 0.011401, 60188, 8341, 0, 0, 120, 125, 11, 0.017856, 0.003323, 56340, 916, 0, 0, 3528, 1049, 3
do_patch, 26206, 0.03, 8, 0, 0, 0, 645152, 120986, 182, 86, 0, 126976, 4096, 0.083455, 0.007948, 60476, 10086, 0, 0, 120, 6, 6, 0.005327999999999999, 0.001878, 54408, 946, 0, 0, 128, 11, 1
do_create_runtime_spdx, 784455, 0.51, 18, 2, 2, 0, 993684, 356074, 427, 248, 0, 135168, 0, 0.184834, 0.028114999999999998, 71176, 16297, 0, 0, 184, 38, 98, 0.029348, 0.0038929999999999998, 68368, 4241, 0, 0, 80, 77, 58
do_populate_sysroot, 235815, 0.32, 22, 6, 14, 5, 10931993, 4911785, 3771, 1301, 0, 3469312, 8192, 0.220986, 0.063746, 65380, 42629, 0, 0, 3208, 156, 25, 0.140895, 0.059246, 63136, 31187, 0, 0, 3568, 358, 57
do_populate_lic, 733858, 0.48, 17, 5, 3, 0, 834090, 174427, 587, 261, 8192, 131072, 0, 0.178942, 0.053300999999999994, 71132, 18607, 1, 16, 224, 53, 75, 0.031619999999999995, 0.007861, 68028, 4972, 0, 0, 32, 87, 121
do_deploy_source_date_epoch, 27606, 0.07, 10, 1, 1, 0, 744863, 157820, 480, 298, 0, 118784, 0, 0.105637, 0.016250999999999998, 61872, 18619, 0, 0, 192, 28, 7, 0.011726, 0.004501, 59072, 4691, 0, 0, 40, 160, 5
