Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_patch, 251064, 0.12, 13, 1, 1, 0, 1305539, 633942, 358, 207, 0, 651264, 4096, 0.13176, 0.018822, 62548, 11798, 0, 0, 128, 6, 104, 0.017626, 0.0, 56860, 969, 0, 0, 1144, 14, 16
do_collect_spdx_deps, 1710409, 0.16, 14, 0, 0, 0, 345857, 43589, 32, 45, 0, 49152, 0, 0.14174, 0.004295, 70152, 5104, 0, 0, 96, 0, 46, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 30210, 0.05, 6, 1, 1, 0, 465107, 123685, 391, 206, 0, 102400, 0, 0.067811, 0.015068999999999999, 61524, 15831, 0, 0, 168, 26, 7, 0.010782, 0.003031, 58716, 3989, 0, 0, 32, 143, 7
do_install, 1661991, 2.58, 18, 3, 34, 15, 9183635, 6496749, 26874, 1627, 3170304, 6885376, 20480, 0.18326599999999998, 0.036653, 64848, 13917, 0, 0, 248, 280, 238, 0.345028, 0.15709599999999999, 62772, 70084, 1, 6192, 13200, 2734, 1481
do_packagedata, 1694567, 1.87, 11, 3, 2, 2, 899345, 348775, 1013, 339, 0, 286720, 0, 0.115061, 0.035708, 71952, 23210, 0, 0, 240, 69, 45, 0.027649999999999997, 0.024340999999999998, 69152, 6964, 0, 0, 320, 156, 100
do_compile, 1651527, 7.26, 18, 3, 3666, 224, 144437324, 35035742, 49710, 14450, 2613248, 9154560, 335872, 0.18565399999999999, 0.033005, 70500, 8314, 0, 0, 1176, 236, 57, 36.664712, 2.248914, 236512, 1296942, 28, 5104, 16704, 14129, 14911
do_fetch, 30259, 0.01, 4, 0, 0, 0, 284827, 43963, 27, 54, 0, 53248, 0, 0.046501999999999995, 0.004227, 59676, 4506, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1579869, 0.21, 11, 4, 1, 1, 1752003, 1050199, 539, 302, 126976, 1093632, 0, 0.111617, 0.049607, 68792, 6869, 0, 240, 152, 34, 52, 0.012570999999999999, 0.012565999999999999, 63528, 1207, 0, 8, 1984, 18, 66
do_unpack, 30392, 0.18, 5, 0, 17, 1, 13490504, 22433517, 3438, 4317, 0, 12079104, 0, 0.05096, 0.0, 59708, 7222, 0, 0, 56, 6, 7, 0.173671, 0.012905999999999999, 56120, 1756, 0, 0, 23536, 2235, 8
do_create_runtime_spdx, 2848257, 2.61, 15, 4, 3, 0, 1530247, 456875, 815, 264, 204800, 200704, 0, 0.154229, 0.046268, 74760, 19419, 0, 400, 304, 76, 111, 0.031967999999999996, 0.006258, 71308, 5387, 0, 0, 88, 112, 109
do_package_qa, 2847111, 5.55, 32, 9, 10, 8, 11355227, 321573, 5675, 329, 0, 163840, 0, 0.32121299999999997, 0.09913999999999999, 68864, 31378, 0, 0, 280, 136, 3750, 0.10026099999999999, 0.084856, 66652, 42445, 0, 0, 40, 229, 373
do_configure, 1581324, 34.11, 25, 5, 509, 86, 129196629, 19975837, 59701, 18016, 1011712, 18325504, 10543104, 0.254261, 0.058355, 70940, 18151, 0, 160, 336, 291, 338, 5.098911, 0.8638699999999999, 68044, 572112, 10, 1816, 35456, 6679, 3982
do_populate_sysroot, 1666474, 3.85, 50, 9, 11, 5, 12692032, 6726433, 2488, 1001, 0, 5529600, 1097728, 0.50256, 0.092072, 70972, 30892, 0, 0, 5840, 107, 186, 0.1141, 0.05303, 68964, 20846, 1, 0, 4960, 241, 228
do_deploy_source_date_epoch, 257422, 0.15, 18, 1, 2, 0, 546302, 159480, 456, 282, 0, 114688, 0, 0.181537, 0.019732, 64384, 18461, 0, 0, 184, 29, 10, 0.021772, 0.005886, 61568, 4685, 0, 0, 40, 130, 24
do_create_spdx, 1711033, 1.94, 31, 7, 8, 3, 2025408, 1256379, 1037, 839, 0, 548864, 0, 0.315415, 0.07693, 73832, 30525, 0, 0, 920, 100, 152, 0.083703, 0.039721, 70280, 8536, 0, 0, 152, 642, 202
do_package_write_rpm, 2845215, 12.00, 27, 5, 943, 37, 54272398, 6804512, 8225, 1282, 327680, 4423680, 0, 0.275014, 0.054168999999999995, 69060, 24053, 0, 552, 544, 907, 408, 9.438525, 0.370566, 958588, 268847, 2, 88, 8096, 2489, 4413
do_populate_lic, 717009, 0.37, 17, 4, 2, 1, 630541, 169594, 573, 246, 8192, 126976, 0, 0.170158, 0.043528, 69428, 18343, 1, 16, 216, 51, 117, 0.023698999999999998, 0.019422, 66400, 4950, 0, 0, 32, 97, 86
do_package, 1669467, 12.09, 155, 71, 477, 52, 87487731, 37832845, 30461, 4843, 0, 22687744, 8286208, 1.552119, 0.716657, 66952, 63193, 0, 0, 936, 1198, 6724, 4.776577, 0.523161, 64768, 145202, 2, 0, 43376, 6910, 4335
