Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2586987, 0.19, 10, 2, 0, 0, 355049, 48224, 46, 52, 0, 53248, 0, 0.105821, 0.022046, 71940, 5214, 0, 0, 104, 0, 65, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 478113, 4.23, 20, 0, 2, 3, 7998092, 7705338, 6453, 10897, 0, 7684096, 0, 0.20851, 0.007722, 68672, 9083, 0, 0, 120, 475, 199, 0.025903, 0.032723999999999996, 60884, 921, 0, 0, 14888, 4100, 42
do_populate_sysroot, 2134025, 1.17, 27, 3, 6, 2, 1695128, 730903, 1423, 649, 0, 557056, 81920, 0.277201, 0.034117, 72128, 25071, 0, 0, 608, 149, 154, 0.064785, 0.022432, 70084, 10847, 1, 0, 480, 169, 175
do_recipe_qa, 474804, 0.17, 15, 3, 1, 0, 503582, 129056, 395, 214, 0, 106496, 0, 0.157735, 0.032264, 66228, 16251, 0, 0, 176, 22, 401, 0.015674, 0.00652, 63428, 3977, 0, 0, 32, 75, 16
do_create_runtime_spdx, 2789835, 1.10, 17, 2, 3, 1, 1038929, 430308, 674, 264, 0, 172032, 0, 0.170807, 0.026278, 75056, 21575, 0, 0, 248, 52, 64, 0.030529999999999998, 0.013815, 71536, 5380, 0, 0, 88, 86, 58
do_install, 2092344, 1.66, 25, 3, 27, 9, 4595467, 390578, 4878, 743, 8192, 327680, 4096, 0.254832, 0.039205, 66756, 14237, 0, 0, 224, 288, 284, 0.275012, 0.09907099999999999, 64680, 54398, 1, 16, 416, 1036, 1117
do_packagedata, 2139209, 0.93, 21, 2, 4, 1, 802082, 275721, 891, 325, 0, 217088, 0, 0.214525, 0.022345999999999998, 72468, 23968, 0, 0, 232, 51, 200, 0.045639, 0.016973, 69660, 6898, 2, 0, 192, 148, 93
do_compile, 2071364, 10.88, 12, 2, 677, 31, 14579463, 2145570, 4984, 999, 1531904, 1421312, 8192, 0.120415, 0.020069, 71560, 6263, 0, 0, 176, 58, 70, 6.771344, 0.31248, 82420, 143911, 12, 2992, 2600, 968, 2504
do_package, 2102969, 3.47, 66, 18, 260, 16, 8474432, 2779909, 7286, 979, 0, 1896448, 475136, 0.666944, 0.186585, 68084, 44209, 0, 0, 632, 435, 1496, 2.607972, 0.16933099999999998, 65900, 59368, 0, 0, 3072, 2430, 1649
do_prepare_recipe_sysroot, 1986067, 0.54, 14, 14, 3, 0, 3227936, 2114669, 926, 583, 1032192, 2220032, 0, 0.14585099999999998, 0.14585099999999998, 71192, 7849, 0, 1832, 176, 43, 297, 0.036812, 0.004246, 66304, 1248, 0, 184, 4160, 23, 45
do_patch, 497647, 0.04, 6, 1, 0, 0, 1037451, 638135, 343, 214, 0, 647168, 4096, 0.061731999999999995, 0.019291, 64812, 11844, 0, 0, 120, 8, 5, 0.003052, 0.006867, 58800, 971, 0, 0, 1144, 13, 2
do_configure, 1990299, 38.20, 25, 5, 659, 99, 137325713, 24661937, 60009, 20351, 3108864, 22392832, 12480512, 0.256799, 0.057066, 71888, 17086, 0, 400, 368, 305, 97, 6.5996559999999995, 0.997995, 69064, 634240, 50, 5672, 43368, 7929, 6338
do_package_write_rpm, 2788830, 4.73, 27, 4, 490, 20, 4434945, 1072435, 3001, 748, 106496, 712704, 0, 0.277264, 0.048929, 68844, 21894, 0, 128, 496, 418, 479, 4.902137, 0.20294399999999999, 388212, 143637, 0, 80, 896, 2562, 1816
do_unpack, 496307, 0.17, 5, 1, 13, 5, 51575076, 85080998, 5350, 7767, 0, 50380800, 0, 0.051011999999999995, 0.011772, 65052, 7603, 0, 0, 64, 6, 4, 0.13122999999999999, 0.059761999999999996, 61428, 1002, 0, 0, 98336, 1346, 17
do_populate_lic, 711710, 0.50, 14, 3, 2, 1, 636409, 175313, 615, 257, 0, 131072, 0, 0.14934, 0.038401, 69560, 18419, 0, 0, 216, 61, 50, 0.02811, 0.014598, 66476, 4988, 3, 0, 40, 88, 70
do_create_spdx, 2589126, 1.26, 22, 4, 5, 2, 1385347, 649518, 860, 436, 114688, 270336, 0, 0.220599, 0.041622, 75772, 25213, 0, 224, 416, 87, 229, 0.052704999999999995, 0.021112, 72148, 7170, 1, 0, 112, 279, 208
do_package_qa, 2789268, 1.66, 24, 4, 5, 4, 1620465, 248769, 1327, 282, 0, 159744, 0, 0.242313, 0.048462, 68744, 21259, 0, 0, 272, 80, 674, 0.052182, 0.044711, 66540, 17895, 1, 0, 40, 145, 171
do_deploy_source_date_epoch, 543573, 0.08, 8, 2, 1, 0, 572309, 168405, 501, 293, 0, 122880, 0, 0.083549, 0.026583, 66756, 18829, 0, 0, 200, 31, 5, 0.01547, 0.002454, 63912, 4676, 0, 0, 40, 140, 4
