Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_prepare_recipe_sysroot, 334662, 0.09, 15, 1, 1, 0, 1298898, 821829, 322, 246, 0, 851968, 0, 0.158655, 0.014757999999999999, 65008, 7968, 0, 0, 144, 2, 1689, 0.011302, 0.003921, 59184, 597, 0, 0, 1520, 10, 5
do_create_runtime_spdx, 774107, 0.17, 14, 3, 2, 0, 991711, 355623, 401, 246, 0, 139264, 0, 0.146508, 0.034699, 71060, 16317, 0, 0, 192, 22, 59, 0.022057, 0.006333, 68252, 4227, 0, 0, 80, 81, 47
do_collect_spdx_deps, 431578, 0.03, 11, 1, 0, 0, 563627, 45415, 36, 51, 0, 53248, 0, 0.115687, 0.011967, 65576, 7118, 0, 0, 104, 0, 326, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 43848, 0.05, 9, 1, 1, 0, 698401, 127870, 401, 219, 0, 106496, 0, 0.095927, 0.015347999999999999, 63044, 16663, 0, 0, 176, 28, 3, 0.01062, 0.00326, 60244, 4037, 0, 0, 32, 153, 6
do_install, 354573, 0.33, 20, 2, 1, 0, 675033, 78025, 390, 289, 0, 61440, 0, 0.20505199999999998, 0.020505, 65948, 14324, 0, 0, 112, 41, 194, 0.016675, 0.0016699999999999998, 63256, 2530, 0, 0, 8, 25, 46
do_create_spdx, 432996, 0.24, 17, 4, 2, 0, 1214801, 493331, 570, 283, 0, 208896, 0, 0.172528, 0.045007, 67408, 20904, 0, 0, 304, 31, 119, 0.028506, 0.004582, 64568, 5197, 0, 0, 104, 86, 72
do_compile, 354123, 0.07, 14, 0, 0, 0, 555883, 57730, 179, 240, 0, 36864, 0, 0.144587, 0.008032, 65924, 8366, 0, 0, 72, 42, 43, 0.0010559999999999999, 0.0028799999999999997, 63220, 554, 0, 0, 0, 3, 40
do_populate_sysroot, 358445, 0.23, 20, 4, 3, 2, 1009928, 320882, 1125, 813, 0, 212992, 0, 0.20662699999999998, 0.040514999999999995, 66620, 26556, 0, 0, 368, 85, 33, 0.030601, 0.022945, 63772, 8366, 0, 0, 48, 155, 77
do_fetch, 43897, 0.02, 5, 1, 0, 0, 502601, 46536, 31, 60, 0, 53248, 0, 0.056097999999999995, 0.012020999999999999, 61888, 6918, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_unpack, 318347, 0.07, 11, 1, 1, 0, 1422304, 1107595, 365, 278, 0, 868352, 0, 0.116271, 0.019378, 65148, 11005, 0, 0, 128, 7, 5, 0.016338, 0.0059299999999999995, 61500, 1592, 0, 0, 1568, 41, 7
do_populate_lic, 717253, 0.42, 18, 2, 2, 2, 822460, 173737, 561, 259, 8192, 131072, 0, 0.187196, 0.022921999999999998, 70808, 18504, 1, 16, 224, 44, 126, 0.022015999999999997, 0.020353, 67716, 4957, 0, 0, 32, 127, 70
do_patch, 321124, 0.05, 13, 2, 0, 0, 642964, 120575, 178, 84, 0, 126976, 4096, 0.137179, 0.024208, 64856, 10209, 0, 0, 120, 6, 2, 0.0064659999999999995, 0.002365, 58760, 944, 0, 0, 128, 13, 2
do_configure, 335026, 8.31, 27, 1, 159, 34, 29881722, 2498767, 22952, 7504, 0, 2588672, 1101824, 0.272578, 0.016774, 66188, 16972, 0, 0, 296, 207, 109, 1.599374, 0.344038, 63380, 251129, 7, 0, 4760, 4104, 4343
do_deploy_source_date_epoch, 334181, 0.39, 19, 2, 2, 0, 756187, 157872, 490, 293, 0, 118784, 0, 0.19517099999999998, 0.024395999999999998, 66168, 18805, 0, 0, 192, 45, 136, 0.024967999999999997, 0.005357, 63344, 4661, 0, 0, 40, 63, 87
