Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1452585, 0.08, 9, 1, 0, 0, 343423, 42450, 28, 43, 335872, 53248, 0, 0.09972199999999999, 0.015955, 69120, 5129, 0, 656, 104, 27, 40, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1527405, 0.27, 12, 5, 1, 0, 1742865, 1048761, 527, 299, 36864, 1089536, 0, 0.122707, 0.057262999999999994, 68268, 8602, 0, 72, 144, 18, 44, 0.017085, 0.0036639999999999997, 63096, 1210, 0, 0, 1984, 16, 18
do_package_write_rpm, 2794611, 3.15, 20, 6, 147, 9, 1289664, 386902, 1855, 446, 319488, 290816, 0, 0.208344, 0.062896, 68240, 24330, 0, 456, 472, 332, 433, 1.4767329999999999, 0.097259, 127048, 56576, 1, 168, 96, 1702, 759
do_recipe_qa, 30907, 0.06, 7, 0, 0, 0, 463821, 123231, 383, 204, 0, 102400, 0, 0.079192, 0.004399, 61516, 15735, 0, 0, 168, 27, 6, 0.009857, 0.004324, 58716, 4011, 0, 0, 32, 152, 3
do_install, 1545243, 0.17, 14, 2, 1, 1, 499823, 107287, 712, 269, 0, 102400, 0, 0.147792, 0.02796, 62612, 13973, 0, 0, 184, 431, 75, 0.011557, 0.017714, 60528, 4178, 0, 0, 16, 139, 43
do_packagedata, 1574010, 0.52, 17, 4, 4, 1, 732470, 228163, 864, 308, 0, 204800, 0, 0.170682, 0.04267, 71528, 21002, 0, 0, 232, 55, 105, 0.043584, 0.014424, 68720, 6897, 0, 0, 168, 140, 85
do_compile, 1544167, 0.04, 12, 1, 0, 0, 336101, 36769, 93, 118, 0, 36864, 0, 0.12902, 0.016127, 70088, 8299, 0, 0, 72, 2, 43, 0.000962, 0.003065, 67396, 549, 0, 0, 0, 3, 7
do_populate_lic, 712533, 0.40, 15, 3, 2, 0, 621597, 168934, 601, 245, 8192, 131072, 0, 0.158027, 0.032415, 69448, 18311, 1, 16, 216, 64, 169, 0.029335999999999997, 0.009365, 66352, 4975, 0, 0, 40, 81, 113
do_fetch, 30956, 7.99, 5, 0, 1, 0, 396118, 112422, 219, 230, 0, 114688, 0, 0.052495, 0.0, 59672, 5578, 0, 0, 112, 22, 2, 0.010031, 0.001351, 56340, 900, 0, 0, 112, 46, 2
do_package, 1563089, 2.17, 52, 28, 70, 5, 2897075, 1786898, 2797, 827, 4096, 1769472, 0, 0.520871, 0.28752099999999997, 64816, 32216, 0, 0, 560, 549, 719, 0.704834, 0.057135, 62688, 18213, 0, 8, 2896, 1060, 786
do_create_spdx, 1624815, 0.51, 18, 3, 2, 2, 1177049, 511553, 656, 281, 4096, 221184, 0, 0.18758999999999998, 0.032624, 73324, 24176, 0, 8, 328, 43, 125, 0.023056999999999998, 0.029417, 69700, 6034, 0, 0, 104, 190, 124
do_configure, 1528103, 7.40, 24, 3, 185, 29, 35548203, 2849616, 18906, 7802, 327680, 2813952, 1159168, 0.249048, 0.033206, 70712, 16730, 0, 600, 288, 186, 95, 1.859592, 0.29058999999999996, 67996, 235614, 3, 40, 5208, 2693, 2255
do_patch, 253481, 0.04, 10, 1, 0, 0, 504234, 117115, 182, 76, 0, 126976, 4096, 0.100226, 0.019274, 62896, 8626, 0, 0, 120, 6, 44, 0.006137, 0.001088, 57200, 949, 0, 0, 128, 13, 2
do_package_qa, 2794935, 1.46, 21, 1, 2, 1, 627095, 209103, 829, 251, 0, 159744, 0, 0.216712, 0.016996999999999998, 68416, 14766, 0, 0, 272, 116, 315, 0.026903, 0.01942, 66204, 6431, 0, 0, 40, 105, 93
do_populate_sysroot, 1546405, 0.22, 19, 3, 3, 0, 740918, 272052, 858, 539, 4096, 200704, 0, 0.19486299999999998, 0.039768, 70436, 22581, 0, 8, 352, 54, 67, 0.038709, 0.008374, 67632, 7313, 0, 0, 40, 149, 50
do_create_runtime_spdx, 2795170, 1.36, 16, 2, 3, 1, 943787, 394838, 594, 247, 0, 151552, 0, 0.16486599999999998, 0.024125999999999998, 74380, 21507, 0, 0, 208, 43, 132, 0.030466999999999998, 0.010870999999999999, 70864, 5357, 0, 0, 88, 98, 104
do_deploy_source_date_epoch, 260002, 0.14, 19, 2, 1, 0, 545542, 160989, 469, 283, 0, 114688, 0, 0.191068, 0.020326, 64476, 18437, 0, 0, 184, 29, 50, 0.014547, 0.008889, 61676, 4684, 0, 0, 40, 119, 25
do_unpack, 252594, 0.06, 8, 1, 1, 0, 1202094, 1103843, 364, 269, 0, 868352, 0, 0.08369, 0.011954999999999999, 62884, 8529, 0, 0, 128, 8, 17, 0.014920999999999999, 0.0062829999999999995, 59392, 1568, 0, 0, 1568, 49, 19
