Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_compile, 1085416, 2.37, 15, 0, 635, 77, 149885802, 3864077, 22894, 2523, 1273856, 3088384, 1941504, 0.153858, 0.009049999999999999, 71708, 6776, 0, 0, 256, 40, 45, 6.353788, 0.7730159999999999, 79904, 366024, 7, 2488, 5776, 721, 1981
do_collect_spdx_deps, 696805, 0.02, 15, 1, 0, 0, 555216, 46520, 41, 52, 0, 49152, 0, 0.15484599999999998, 0.012223999999999999, 68332, 7327, 0, 0, 96, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_generate_toolchain_file, 703233, 0.02, 11, 0, 0, 0, 528040, 42925, 83, 80, 0, 36864, 0, 0.11580199999999999, 0.0, 69416, 8553, 0, 0, 56, 4, 4, 0.000303, 0.002539, 66716, 509, 0, 0, 16, 3, 2
do_fetch, 678240, 0.03, 9, 1, 0, 0, 1070536, 56907, 228, 73, 0, 57344, 0, 0.09128599999999999, 0.011906, 67328, 8097, 0, 0, 112, 3, 4, 0.007091, 0.008558, 63944, 1946, 0, 0, 0, 7, 2
do_install, 1086709, 0.38, 17, 1, 1, 1, 2076887, 590335, 594, 429, 0, 598016, 0, 0.17427399999999998, 0.013405, 71708, 12083, 0, 0, 104, 60, 34, 0.019984, 0.013245, 69004, 2900, 0, 0, 1064, 15, 59
do_recipe_qa, 677593, 0.06, 12, 1, 1, 0, 702047, 127623, 397, 220, 0, 106496, 0, 0.121153, 0.012114999999999999, 69208, 16428, 0, 0, 176, 25, 14, 0.012199999999999999, 0.007218, 66408, 4037, 1, 0, 32, 105, 7
do_populate_sysroot, 1087212, 1.83, 34, 8, 8, 5, 3996407, 1486644, 2156, 958, 0, 913408, 0, 0.34124899999999997, 0.08143399999999999, 72040, 32242, 0, 0, 936, 176, 236, 0.083174, 0.058205, 70084, 15272, 0, 0, 848, 238, 232
do_prepare_recipe_sysroot, 1082340, 1.00, 27, 15, 1, 0, 2663524, 1646880, 688, 466, 294912, 1748992, 0, 0.27802, 0.152339, 70724, 7572, 0, 200, 168, 9, 1099, 0.019072, 0.006604, 65836, 638, 0, 376, 3248, 18, 61
do_configure, 1082996, 3.10, 20, 1, 27, 8, 6557485, 819706, 4904, 7840, 258048, 778240, 184320, 0.205709, 0.016791999999999998, 72344, 9541, 0, 0, 144, 22, 75, 0.27608, 0.084632, 69424, 39033, 4, 504, 1376, 985, 886
do_populate_lic, 752724, 0.17, 18, 5, 2, 1, 1039266, 233389, 588, 267, 0, 139264, 0, 0.182895, 0.055663, 71164, 18897, 0, 0, 224, 37, 80, 0.022563, 0.017268, 68136, 5053, 0, 0, 48, 100, 57
do_patch, 696866, 0.11, 9, 1, 8, 1, 1227855, 137088, 1340, 183, 0, 159744, 4096, 0.09967, 0.015947, 68584, 12379, 0, 0, 136, 17, 2, 0.08201499999999999, 0.015215999999999999, 62504, 18662, 0, 0, 176, 294, 17
do_create_spdx, 697003, 0.12, 15, 4, 1, 1, 1317846, 503489, 661, 297, 0, 212992, 0, 0.15197, 0.041073, 71692, 21429, 0, 0, 312, 35, 12, 0.018328, 0.010598, 68552, 5264, 0, 0, 104, 144, 9
do_deploy_source_date_epoch, 703262, 0.09, 14, 2, 1, 1, 761443, 159338, 476, 298, 0, 118784, 0, 0.143792, 0.02465, 69740, 19015, 0, 0, 192, 29, 5, 0.010635, 0.015945, 66932, 4709, 0, 0, 40, 146, 25
do_create_runtime_spdx, 789076, 0.45, 17, 1, 1, 1, 982289, 355095, 444, 247, 0, 135168, 0, 0.17024699999999998, 0.017024, 71920, 16637, 0, 0, 184, 46, 65, 0.019311, 0.015316, 69164, 4279, 0, 0, 80, 68, 81
do_unpack, 681698, 0.49, 13, 5, 11, 4, 4935200, 3010312, 2379, 923, 0, 3923968, 12288, 0.135747, 0.05279, 67440, 16109, 0, 0, 72, 36, 13, 0.118957, 0.048373, 63980, 16655, 0, 0, 7592, 65, 40
