Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3182912, 0.33, 16, 0, 0, 0, 335012, 44243, 33, 45, 0, 49152, 0, 0.160624, 0.007647999999999999, 57476, 5517, 0, 0, 96, 2, 84, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 3146726, 2.02, 24, 4, 2, 3, 2757475, 1367571, 1347, 483, 65536, 1392640, 0, 0.24548699999999998, 0.046758999999999995, 56452, 15307, 1, 16, 168, 115, 269, 0.026278, 0.039938999999999995, 54368, 3963, 0, 112, 2552, 27, 465
do_fetch, 440220, 11.28, 12, 1, 36, 9, 14444420, 12907663, 14056, 5250, 0, 4571136, 8192, 0.12526299999999999, 0.016162, 64140, 11461, 0, 0, 168, 231, 116, 0.364575, 0.09539399999999999, 60812, 12839, 0, 0, 8760, 5956, 149
do_create_runtime_spdx, 3288190, 1.09, 18, 4, 3, 0, 2584316, 409392, 949, 251, 4096, 155648, 0, 0.187075, 0.045627999999999995, 61656, 22611, 0, 8, 224, 39, 94, 0.038894, 0.007639999999999999, 58600, 5399, 0, 0, 80, 104, 92
do_recipe_qa, 439179, 0.25, 13, 2, 1, 1, 482010, 123852, 420, 206, 0, 102400, 0, 0.131386, 0.021897, 66044, 16353, 0, 0, 168, 45, 96, 0.014126, 0.010052, 63224, 4009, 0, 0, 32, 102, 64
do_populate_sysroot, 3147999, 8.97, 28, 4, 9, 2, 5183661, 2421862, 1719, 695, 4096, 1892352, 258048, 0.281202, 0.046867, 60672, 25123, 0, 8, 2392, 134, 219, 0.091348, 0.021169999999999998, 58384, 13451, 2, 0, 1304, 268, 193
do_package, 3172093, 9.29, 103, 40, 166, 15, 22409493, 9708499, 11622, 1868, 1003520, 6193152, 2387968, 1.030229, 0.40656499999999995, 56420, 43880, 8, 1952, 736, 465, 3350, 1.6655440000000001, 0.15958999999999998, 54096, 55988, 2, 8, 11360, 14376, 2150
do_deploy_source_date_epoch, 560108, 0.09, 10, 1, 1, 0, 551549, 160751, 479, 285, 0, 118784, 0, 0.10139899999999999, 0.015599, 67304, 18794, 0, 0, 192, 31, 5, 0.014509, 0.003888, 64504, 4706, 0, 0, 40, 144, 5
do_packagedata, 3183202, 1.29, 18, 3, 5, 0, 825738, 276009, 925, 317, 8192, 212992, 0, 0.189883, 0.033023, 59140, 24132, 1, 16, 224, 84, 111, 0.051197, 0.007451999999999999, 56268, 6932, 0, 0, 192, 128, 139
do_compile, 3139771, 8.94, 14, 1, 886, 120, 168259605, 12409887, 25801, 4712, 1449984, 5206016, 2007040, 0.143822, 0.015139, 60500, 6596, 0, 0, 416, 42, 63, 8.866719, 1.204889, 97484, 419640, 4, 2832, 9752, 2223, 5438
do_configure, 3136539, 4.96, 15, 0, 32, 6, 7150109, 953682, 5102, 1342, 815104, 847872, 200704, 0.15695299999999998, 0.008719, 60972, 9699, 0, 24, 152, 31, 54, 0.328659, 0.060703, 58136, 37807, 2, 1568, 1504, 1176, 1012
do_prepare_recipe_sysroot, 3134465, 2.44, 27, 20, 2, 0, 2769688, 1330749, 762, 374, 2134016, 1396736, 0, 0.272588, 0.20732, 60896, 8625, 2, 3880, 184, 87, 160, 0.028235, 0.001103, 56008, 1287, 0, 288, 2544, 22, 25
do_generate_toolchain_file, 561418, 0.06, 13, 1, 0, 0, 316695, 52299, 67, 71, 0, 45056, 0, 0.131155, 0.019872, 67004, 8150, 0, 0, 64, 2, 27, 0.003351, 0.0, 64308, 513, 0, 0, 24, 5, 41
do_patch, 495436, 0.12, 8, 2, 6, 1, 1854887, 651401, 1574, 305, 0, 679936, 4096, 0.084466, 0.02011, 65184, 13413, 0, 0, 136, 17, 7, 0.06472, 0.012209999999999999, 58988, 18739, 0, 0, 1192, 293, 26
do_populate_lic, 748101, 0.26, 16, 2, 2, 1, 788638, 229459, 566, 253, 0, 135168, 0, 0.169905, 0.028317, 69740, 18403, 0, 0, 216, 34, 475, 0.024128999999999998, 0.019247, 66656, 5022, 0, 0, 48, 78, 94
do_create_spdx, 3187731, 2.13, 30, 5, 5, 1, 1704957, 1034329, 843, 854, 200704, 421888, 0, 0.30331199999999997, 0.057382999999999997, 61628, 26159, 3, 392, 704, 84, 347, 0.051933, 0.011625, 57864, 6659, 0, 0, 120, 270, 149
