Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 3470129, 5.55, 35, 3, 57, 16, 22490454, 14603215, 8884, 5047, 3264512, 14065664, 32768, 0.350217, 0.031031, 61728, 18998, 0, 40, 240, 243, 844, 0.570618, 0.168732, 59012, 70821, 46, 6336, 27232, 910, 693
do_collect_spdx_deps, 765291, 0.03, 29, 2, 0, 0, 656770, 397803, 74, 667, 0, 49152, 0, 0.295159, 0.022999, 72516, 8429, 0, 0, 96, 1, 283, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 565807, 0.23, 25, 2, 2, 0, 889242, 586380, 476, 855, 28672, 131072, 0, 0.255112, 0.025092999999999997, 71180, 18003, 0, 56, 184, 59, 685, 0.024014999999999998, 0.0017029999999999999, 68368, 4092, 0, 0, 72, 80, 72
do_compile, 3346308, 215.44, 43, 5, 42529, 1469, 4580862835, 1158766806, 1031155, 737743, 84656128, 1158275072, 381476864, 0.431842, 0.055885, 60936, 9820, 20, 640, 1712, 963, 611, 425.295984, 14.691048, 1031384, 5177873, 563, 164704, 2260544, 44064, 98157
do_rust_create_wrappers, 3213124, 0.67, 25, 1, 0, 0, 712425, 439587, 392, 1069, 0, 73728, 0, 0.252483, 0.012837999999999999, 61924, 7875, 0, 0, 80, 38, 631, 0.00887, 0.005822, 59208, 2041, 0, 0, 64, 35, 35
do_fetch, 566718, 93.48, 126, 39, 81, 54, 42699348, 35771542, 55339, 62406, 200704, 34803712, 0, 1.267618, 0.39713299999999996, 80712, 179192, 0, 0, 2192, 5856, 1737, 0.814109, 0.5493049999999999, 66188, 124772, 9, 392, 65784, 18413, 1254
do_create_runtime_spdx, 772180, 0.11, 25, 4, 2, 0, 1086445, 707916, 480, 863, 0, 139264, 0, 0.255941, 0.041402, 75016, 20561, 0, 0, 192, 42, 333, 0.021079999999999998, 0.007646999999999999, 71604, 4281, 0, 0, 80, 76, 63
do_deploy_source_date_epoch, 767093, 0.21, 33, 4, 1, 1, 868619, 519807, 2064, 947, 0, 122880, 0, 0.338767, 0.04384, 72984, 24042, 0, 0, 200, 62, 532, 0.014039, 0.017698, 70244, 4722, 0, 0, 40, 81, 91
do_prepare_recipe_sysroot, 3193242, 2.73, 36, 21, 4, 0, 3993278, 2436876, 1221, 1203, 13332480, 2252800, 0, 0.362049, 0.21722899999999998, 62452, 12060, 13, 22936, 232, 434, 794, 0.045981999999999995, 0.008052, 57564, 2129, 31, 3104, 4168, 116, 52
do_populate_lic, 771875, 0.16, 27, 2, 1, 2, 1229313, 694118, 609, 903, 0, 163840, 0, 0.273483, 0.02413, 73592, 20615, 0, 0, 224, 32, 135, 0.015695999999999998, 0.02413, 70488, 5106, 0, 0, 96, 90, 62
do_patch, 765144, 0.17, 24, 4, 4, 1, 1067367, 700554, 753, 1366, 0, 208896, 4096, 0.240804, 0.042723, 71768, 13674, 0, 0, 192, 14, 256, 0.042817, 0.013368999999999999, 66596, 9384, 1, 0, 216, 144, 44
do_unpack, 732563, 12.26, 54, 51, 254, 150, 599406989, 959039897, 76459, 82390, 184320, 518832128, 0, 0.5456329999999999, 0.510049, 88640, 184612, 0, 264, 2680, 614, 991, 2.543624, 1.50302, 74508, 214214, 16, 96, 1010664, 18525, 16359
do_configure, 3218444, 77.16, 71, 12, 536, 66, 82195961, 17765690, 45198, 15972, 26050560, 15970304, 7168000, 0.710244, 0.12483, 61304, 22516, 1, 30536, 424, 3117, 801, 5.365199, 0.661477, 58580, 517091, 69, 20344, 30768, 7921, 7314
do_create_spdx, 767142, 0.32, 37, 6, 3, 1, 2481063, 1825469, 828, 2205, 0, 536576, 0, 0.37085999999999997, 0.063125, 74944, 27597, 0, 0, 872, 32, 334, 0.032713, 0.012496, 71772, 5598, 1, 0, 176, 167, 50
do_populate_sysroot, 3474208, 6.72, 71, 11, 37, 11, 69280765, 39565428, 6352, 2906, 409600, 28405760, 8192, 0.7152229999999999, 0.115093, 61872, 43755, 0, 304, 27288, 285, 801, 0.37836899999999996, 0.11169899999999999, 59996, 32502, 5, 496, 28192, 483, 553
do_rust_gen_targets, 767106, 0.01, 20, 2, 0, 0, 597903, 373375, 70, 654, 0, 32768, 4096, 0.200337, 0.020867999999999998, 71320, 8178, 0, 0, 64, 0, 108, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
