Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 2390763, 1.02, 26, 7, 6, 2, 11145401, 7746499, 2033, 973, 0, 6160384, 1503232, 0.266462, 0.070316, 71852, 24148, 0, 0, 3448, 129, 128, 0.067097, 0.026004, 69904, 12715, 0, 0, 8584, 230, 212
do_collect_spdx_deps, 2607001, 0.16, 10, 1, 0, 0, 344093, 44026, 32, 45, 0, 53248, 0, 0.10170399999999999, 0.017686999999999998, 71920, 5213, 0, 0, 104, 0, 74, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 726991, 0.44, 16, 1, 3, 0, 640238, 171254, 555, 249, 0, 135168, 0, 0.169736, 0.013762, 69452, 18226, 0, 0, 224, 35, 95, 0.035938, 0.006175, 66360, 4986, 0, 0, 40, 107, 47
do_recipe_qa, 504073, 0.16, 12, 2, 1, 0, 497278, 124835, 388, 206, 0, 102400, 0, 0.128466, 0.022022, 66796, 16267, 0, 0, 168, 27, 50, 0.013474, 0.009781, 63992, 3999, 0, 0, 32, 84, 65
do_fetch, 505877, 2.98, 11, 1, 1, 1, 3676653, 3393781, 3067, 4819, 0, 3387392, 0, 0.113935, 0.018376, 67780, 6419, 0, 0, 120, 208, 54, 0.019936, 0.01755, 61604, 919, 0, 0, 6496, 2028, 19
do_install, 2367670, 0.58, 15, 2, 9, 2, 2793968, 1789157, 2372, 406, 110592, 1814528, 4096, 0.156073, 0.027312, 66252, 14591, 0, 0, 192, 117, 280, 0.091406, 0.026952, 64168, 18837, 0, 216, 3352, 405, 435
do_create_runtime_spdx, 3012069, 3.49, 15, 6, 2, 1, 1033799, 413623, 663, 254, 16384, 167936, 0, 0.151649, 0.064992, 62960, 18929, 0, 32, 240, 63, 83, 0.024263999999999997, 0.017877, 59372, 5391, 0, 0, 88, 109, 101
do_packagedata, 2397531, 1.05, 17, 6, 5, 0, 795911, 270899, 854, 315, 0, 204800, 0, 0.171323, 0.061967999999999995, 72292, 23493, 0, 0, 224, 50, 79, 0.054876999999999995, 0.007169, 69556, 6936, 0, 0, 176, 119, 80
do_compile, 2345682, 3.19, 9, 1, 273, 21, 34006801, 11224007, 7965, 3234, 10018816, 3510272, 16384, 0.09888899999999999, 0.019017, 71696, 6231, 0, 0, 208, 25, 73, 2.738894, 0.215057, 164536, 140605, 2, 19568, 6648, 2675, 2609
do_package_qa, 3010290, 0.93, 21, 5, 5, 2, 12550437, 232002, 1444, 265, 4096, 159744, 0, 0.219526, 0.056914, 63148, 23966, 1, 8, 272, 116, 785, 0.053234, 0.025233, 55388, 13119, 0, 0, 40, 135, 149
do_deploy_source_date_epoch, 573116, 0.16, 18, 1, 1, 1, 562175, 161606, 479, 285, 0, 118784, 0, 0.185912, 0.017294, 67188, 18546, 0, 0, 192, 32, 68, 0.016103, 0.011358, 64380, 4687, 0, 0, 40, 92, 64
do_package, 2370671, 9.22, 107, 46, 243, 13, 69763090, 28432209, 14529, 3038, 0, 15101952, 4673536, 1.077172, 0.463342, 67936, 41710, 0, 0, 632, 476, 1845, 2.4320779999999997, 0.13439399999999999, 65808, 53241, 0, 0, 28864, 2056, 1947
do_prepare_recipe_sysroot, 2249471, 0.23, 12, 7, 1, 0, 1769283, 1052920, 550, 303, 135168, 1097728, 0, 0.129073, 0.07592499999999999, 69904, 6610, 0, 256, 144, 36, 33, 0.016961, 0.008001, 64820, 1210, 0, 8, 2000, 20, 19
do_configure, 2251877, 30.92, 24, 4, 642, 112, 140109462, 19754344, 63585, 18840, 802816, 18915328, 11214848, 0.24220899999999998, 0.045156999999999996, 71916, 16925, 0, 352, 344, 238, 95, 6.420241, 1.128107, 69200, 732774, 34, 1216, 36600, 8388, 6888
do_patch, 535089, 0.03, 4, 1, 0, 0, 498800, 119054, 188, 80, 0, 126976, 4096, 0.046335999999999995, 0.017821, 65144, 8780, 0, 0, 120, 6, 1, 0.006291, 0.0, 59468, 939, 0, 0, 128, 14, 1
do_unpack, 533767, 0.21, 5, 0, 17, 2, 16138852, 24377268, 3033, 2918, 0, 12685312, 0, 0.052891999999999995, 0.008137, 65148, 8642, 0, 0, 120, 8, 33, 0.175951, 0.023104, 61660, 3553, 0, 0, 24656, 1456, 112
do_package_write_rpm, 3009004, 45.31, 23, 4, 1319, 24, 52622499, 13316840, 4497, 1201, 352256, 8892416, 0, 0.237004, 0.048905, 56776, 23941, 5, 640, 496, 416, 440, 13.196984, 0.240758, 431164, 149704, 0, 48, 16872, 1960, 3946
do_create_spdx, 2607989, 1.40, 24, 5, 6, 1, 1325897, 608045, 781, 337, 0, 262144, 0, 0.24428899999999998, 0.059101999999999995, 79736, 27035, 0, 0, 400, 69, 184, 0.063402, 0.014513999999999999, 71744, 6840, 0, 0, 112, 272, 122
