Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_patch, 794902, 0.10, 14, 2, 0, 0, 635961, 120105, 181, 84, 0, 126976, 4096, 0.142374, 0.020937, 68636, 8462, 0, 0, 120, 6, 57, 0.006692999999999999, 0.00509, 62576, 937, 0, 0, 128, 12, 16
do_recipe_qa, 705449, 0.28, 18, 1, 1, 1, 708691, 125742, 393, 219, 0, 106496, 0, 0.186061, 0.012404, 70640, 16613, 0, 0, 176, 34, 59, 0.015302, 0.012473999999999999, 67700, 3994, 2, 0, 32, 97, 61
do_install, 3960106, 0.09, 12, 3, 2, 1, 9634528, 7666695, 1680, 1571, 12288, 7778304, 4096, 0.125924, 0.032496, 61584, 12158, 0, 0, 160, 50, 13, 0.020936, 0.014105, 58888, 4410, 0, 24, 15032, 22, 29
do_compile, 3955028, 6.34, 25, 4, 7803, 779, 899722902, 38901398, 140728, 16821, 10776576, 23605248, 4435968, 0.257883, 0.044323, 60092, 9215, 0, 0, 2408, 420, 46, 78.038591, 7.796787, 191392, 3915268, 104, 21048, 43696, 8966, 20679
do_populate_lic, 795969, 0.23, 19, 3, 1, 2, 841355, 185718, 585, 266, 0, 131072, 0, 0.194021, 0.033024, 70788, 16557, 0, 0, 216, 35, 196, 0.019015, 0.020378999999999998, 67704, 4926, 1, 0, 40, 89, 74
do_fetch, 705840, 3.56, 32, 3, 0, 5, 7889290, 7422688, 6967, 11675, 0, 7405568, 0, 0.326329, 0.035816, 74084, 9653, 0, 0, 112, 2153, 445, 0.007405999999999999, 0.059605, 65212, 809, 0, 0, 14352, 2162, 66
do_prepare_recipe_sysroot, 3936758, 0.25, 15, 14, 2, 0, 3170788, 1729795, 826, 481, 823296, 1814528, 0, 0.150166, 0.14204899999999998, 60984, 8292, 3, 584, 160, 48, 36, 0.020249, 0.0015949999999999998, 56088, 632, 0, 1024, 3384, 11, 2
do_configure, 3936783, 15.07, 18, 2, 551, 212, 227862914, 21215603, 137106, 38163, 1495040, 25157632, 21159936, 0.18254499999999999, 0.026713999999999998, 61204, 9970, 0, 8, 216, 300, 52, 5.519069, 2.122637, 73028, 1414735, 2, 2912, 48920, 10043, 2148
do_populate_sysroot, 3960125, 0.38, 23, 6, 14, 2, 30921524, 12673918, 5733, 1823, 139264, 5255168, 8192, 0.23932399999999998, 0.063819, 61916, 34474, 0, 272, 4000, 135, 31, 0.14624499999999999, 0.029414, 60072, 19546, 0, 0, 6264, 342, 51
do_generate_toolchain_file, 795927, 0.06, 16, 1, 0, 0, 528723, 54138, 1143, 160, 0, 32768, 0, 0.169679, 0.011311, 70204, 6842, 0, 0, 48, 33, 72, 0.004128, 0.0, 67496, 502, 0, 0, 16, 5, 41
do_deploy_source_date_epoch, 795953, 0.28, 20, 2, 2, 1, 760257, 157899, 486, 326, 0, 114688, 0, 0.20532, 0.020531999999999998, 70500, 16963, 0, 0, 184, 43, 150, 0.02191, 0.011571999999999999, 67700, 4624, 0, 0, 40, 81, 79
do_unpack, 793113, 0.69, 13, 2, 27, 15, 86510905, 155884554, 9745, 11546, 0, 80891904, 0, 0.134232, 0.027635999999999997, 68616, 8070, 0, 0, 64, 6, 46, 0.278511, 0.157936, 64668, 1013, 0, 0, 157928, 2408, 2451
