Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1455519, 0.14, 16, 0, 0, 0, 355939, 45601, 38, 48, 114688, 53248, 0, 0.164301, 0.009127, 68972, 6944, 0, 224, 104, 27, 44, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1527428, 0.21, 11, 5, 1, 0, 1762830, 1054253, 549, 306, 28672, 1097728, 0, 0.115674, 0.059830999999999995, 68272, 8617, 0, 56, 144, 18, 38, 0.017532, 0.0037419999999999997, 63204, 1208, 0, 0, 2000, 16, 11
do_compile_ptest_base, 1592370, 2.32, 12, 1, 811, 164, 341343797, 31197645, 117802, 27631, 286720, 28041216, 49152, 0.12328, 0.017004, 70504, 6309, 0, 0, 1448, 169, 44, 8.115672, 1.64334, 67812, 1204852, 56, 560, 53320, 13236, 8355
do_recipe_qa, 32200, 0.06, 8, 0, 1, 0, 478026, 125463, 398, 209, 0, 102400, 0, 0.081577, 0.004293, 61756, 15893, 0, 0, 168, 26, 12, 0.012329, 0.0015999999999999999, 58936, 3992, 0, 0, 32, 142, 9
do_install, 1600889, 1.36, 18, 1, 18, 7, 5735825, 2748369, 8869, 798, 180224, 2826240, 1331200, 0.18545699999999998, 0.015783, 62848, 13999, 0, 0, 192, 228, 201, 0.180842, 0.070826, 60768, 47544, 3, 352, 5328, 1860, 170
do_create_runtime_spdx, 2827833, 3.58, 26, 4, 3, 0, 10000172, 432087, 1979, 260, 1474560, 180224, 0, 0.261215, 0.043535, 94684, 28863, 0, 2880, 264, 70, 77, 0.034204, 0.008010999999999999, 77920, 5389, 0, 0, 88, 86, 60
do_packagedata, 1851609, 0.72, 20, 4, 5, 1, 1032014, 389277, 939, 339, 0, 286720, 0, 0.200155, 0.044479, 72192, 23056, 0, 0, 232, 62, 222, 0.052001, 0.010291999999999999, 69392, 6974, 0, 0, 328, 162, 96
do_compile, 1573022, 8.17, 11, 0, 819, 105, 76612076, 12604603, 28923, 5688, 589824, 5701632, 1458176, 0.11942799999999999, 0.004265, 70088, 6245, 0, 0, 592, 80, 63, 8.19684, 1.059517, 67396, 511199, 18, 1152, 10544, 6046, 5590
do_install_ptest_base, 1603965, 0.82, 16, 1, 22, 10, 29686487, 27193593, 8690, 2896, 577536, 27451392, 24576, 0.16699699999999998, 0.015534, 63032, 10301, 0, 0, 280, 1021, 39, 0.223158, 0.106073, 60916, 51411, 0, 1128, 53336, 5046, 120
do_package, 1813677, 12.00, 254, 146, 825, 497, 431020573, 180938385, 129924, 21395, 0, 123129856, 62332928, 2.5468669999999998, 1.469927, 68280, 210628, 0, 0, 1136, 775, 9468, 8.253946, 4.9731819999999995, 446412, 1282276, 61, 0, 239352, 20338, 17597
do_package_write_rpm, 2827580, 32.32, 27, 6, 993, 40, 181934187, 5847338, 22317, 1050, 155648, 3731456, 0, 0.275574, 0.069812, 69400, 23973, 0, 296, 536, 338, 475, 9.933492, 0.403733, 683292, 219648, 0, 8, 6752, 10607, 3202
do_fetch, 32576, 5.32, 7, 1, 34, 7, 10561707, 8295967, 13876, 3525, 0, 3055616, 12288, 0.070161, 0.016191, 59920, 7843, 0, 0, 160, 191, 3, 0.34091299999999997, 0.070531, 56428, 12819, 0, 0, 5808, 3724, 179
do_configure_ptest_base, 1570792, 0.11, 8, 2, 0, 0, 314725, 25164, 53, 58, 0, 28672, 0, 0.080424, 0.027972999999999998, 70012, 5956, 0, 0, 56, 1, 64, 0.002525, 0.0, 67288, 361, 0, 0, 0, 1, 2
do_populate_lic, 715898, 0.44, 17, 3, 3, 1, 803344, 231227, 617, 256, 28672, 135168, 0, 0.17485099999999998, 0.032642, 69556, 18367, 1, 56, 216, 63, 64, 0.030161999999999998, 0.01324, 66472, 4993, 0, 0, 48, 126, 81
do_create_spdx, 2061326, 2.80, 85, 18, 5, 4, 6014120, 9264485, 1397, 12753, 126976, 3100672, 0, 0.859742, 0.189763, 74340, 37270, 0, 248, 5856, 86, 7501, 0.050665999999999996, 0.040156, 70996, 8233, 0, 0, 200, 469, 227
do_package_qa, 2827730, 5.65, 58, 33, 57, 86, 37895464, 1168948, 12854, 798, 163840, 184320, 0, 0.585626, 0.335709, 69520, 60784, 0, 320, 272, 2696, 5106, 0.5791919999999999, 0.866566, 67304, 304745, 30, 0, 88, 1746, 1796
do_patch, 262221, 0.05, 10, 1, 0, 0, 964636, 639418, 321, 214, 0, 651264, 4096, 0.108272, 0.019334, 62852, 8100, 0, 0, 128, 6, 36, 0.008586, 0.005931, 56836, 966, 0, 0, 1144, 12, 5
do_configure, 1528128, 11.82, 28, 1, 559, 76, 126509552, 18069132, 51508, 16087, 557056, 16527360, 8765440, 0.28665399999999996, 0.01911, 70644, 19832, 0, 384, 328, 239, 118, 5.593314, 0.7604369999999999, 67840, 537368, 20, 704, 31952, 5802, 4845
do_populate_sysroot, 1607331, 2.90, 153, 23, 5, 2, 4776222, 2097199, 1649, 742, 0, 1138688, 131072, 1.536656, 0.230896, 71264, 25099, 0, 0, 1200, 72, 21, 0.052729, 0.027230999999999998, 68944, 11513, 0, 0, 1024, 222, 20
do_unpack, 34926, 0.20, 8, 3, 12, 4, 4690284, 1143749, 2272, 795, 4096, 2105344, 8192, 0.08693, 0.035561999999999996, 60460, 13025, 0, 0, 72, 32, 42, 0.12764, 0.0477, 56832, 16067, 0, 8, 4040, 351, 353
do_deploy_source_date_epoch, 265408, 0.13, 16, 2, 1, 0, 556561, 162201, 483, 288, 0, 114688, 0, 0.167478, 0.020423999999999998, 65096, 18760, 0, 0, 184, 27, 19, 0.017286, 0.009306, 62296, 4684, 1, 0, 40, 96, 21
