Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1842520, 0.20, 14, 0, 0, 0, 347247, 44786, 34, 46, 0, 49152, 0, 0.14987, 0.007685, 70724, 6918, 0, 0, 96, 0, 78, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_qa, 2914861, 1.78, 30, 3, 4, 2, 1395238, 228931, 1273, 266, 520192, 159744, 0, 0.301724, 0.033524, 66996, 18837, 17, 1016, 272, 119, 668, 0.049111999999999996, 0.028725999999999998, 64768, 13019, 0, 0, 40, 140, 141
do_unpack, 265622, 0.07, 9, 0, 3, 0, 3278581, 4732436, 743, 700, 0, 2719744, 0, 0.090628, 0.00862, 62848, 8532, 0, 0, 128, 8, 9, 0.033024, 0.008489, 59356, 2007, 0, 0, 5184, 253, 50
do_populate_lic, 722154, 0.51, 17, 2, 3, 1, 627232, 168979, 571, 247, 8192, 126976, 0, 0.172372, 0.028728, 69400, 18238, 1, 16, 216, 45, 41, 0.030562, 0.011512, 66360, 4973, 1, 0, 32, 113, 58
do_recipe_qa, 33269, 0.05, 6, 1, 0, 0, 470705, 123840, 384, 207, 0, 102400, 0, 0.068706, 0.012882, 61732, 15823, 0, 0, 168, 23, 38, 0.008169, 0.0057799999999999995, 58920, 3994, 0, 0, 32, 113, 5
do_install, 1830682, 1.81, 20, 3, 10, 4, 1650824, 531120, 2351, 504, 212992, 503808, 4096, 0.206954, 0.038803, 65568, 12069, 0, 0, 192, 127, 383, 0.10828099999999999, 0.045498, 63492, 24246, 0, 416, 792, 297, 639
do_packagedata, 1848308, 0.73, 17, 4, 2, 2, 779638, 264271, 884, 316, 0, 204800, 0, 0.178439, 0.048326999999999995, 72760, 22978, 0, 0, 224, 56, 254, 0.029231, 0.026993, 69960, 6907, 1, 0, 176, 137, 113
do_compile, 1821758, 2.40, 15, 1, 132, 16, 10435179, 1623827, 4593, 1048, 106496, 540672, 24576, 0.158328, 0.011874, 71972, 8247, 0, 0, 192, 29, 53, 1.323301, 0.161751, 69280, 84528, 4, 208, 864, 1168, 1105
do_fetch, 33318, 1.36, 4, 1, 0, 0, 649982, 363377, 478, 528, 0, 364544, 0, 0.041893, 0.013963999999999999, 59860, 5705, 0, 0, 112, 45, 5, 0.006829999999999999, 0.0, 56532, 897, 0, 0, 600, 195, 3
do_prepare_recipe_sysroot, 1698980, 0.82, 14, 3, 0, 1, 1770924, 1053765, 551, 304, 131072, 1101824, 0, 0.145278, 0.033206, 70116, 7268, 0, 248, 160, 35, 99, 0.009602, 0.012180999999999999, 65032, 1208, 0, 8, 1992, 22, 13
do_package, 1838250, 2.75, 66, 38, 143, 15, 8416194, 3695756, 6712, 1146, 0, 2772992, 352256, 0.6641969999999999, 0.388706, 67032, 40051, 0, 0, 616, 397, 1847, 1.432596, 0.150172, 64912, 43338, 1, 0, 4800, 1555, 1529
do_patch, 266582, 0.03, 6, 1, 0, 0, 565099, 118638, 197, 79, 0, 126976, 4096, 0.06823499999999999, 0.018954, 63200, 8656, 0, 0, 120, 6, 6, 0.009075999999999999, 0.0, 57500, 933, 0, 0, 128, 12, 3
do_create_runtime_spdx, 2915413, 0.99, 19, 4, 2, 1, 1007915, 411578, 656, 255, 12288, 167936, 0, 0.195515, 0.040732, 63124, 21473, 0, 24, 240, 58, 128, 0.025143, 0.019049999999999997, 59552, 5371, 0, 0, 88, 119, 62
do_configure, 1704055, 45.27, 26, 3, 587, 101, 140368864, 18166287, 62994, 19878, 253952, 17940480, 10633216, 0.26643, 0.038675, 71588, 18446, 0, 392, 368, 283, 63, 5.873663, 1.019987, 68852, 667610, 26, 104, 34672, 7850, 6904
do_create_spdx, 1851961, 0.82, 23, 4, 3, 4, 1332458, 597971, 763, 373, 0, 262144, 0, 0.23569299999999999, 0.042852999999999995, 74928, 25693, 0, 0, 400, 45, 77, 0.031516999999999996, 0.041805999999999996, 71312, 6818, 1, 0, 112, 278, 119
do_populate_sysroot, 1837243, 0.61, 27, 5, 4, 3, 1575964, 596137, 1333, 634, 0, 454656, 40960, 0.273526, 0.055444, 72636, 23980, 0, 0, 656, 122, 375, 0.041926, 0.03591, 70540, 10863, 0, 0, 232, 170, 176
do_package_write_rpm, 2914550, 3.71, 29, 5, 400, 19, 4412354, 805315, 2310, 670, 536576, 540672, 0, 0.299519, 0.054841, 66980, 24241, 0, 880, 488, 332, 366, 4.001011, 0.19333799999999998, 432876, 122134, 2, 168, 568, 1855, 1297
do_deploy_source_date_epoch, 272843, 0.13, 17, 1, 2, 0, 547237, 159897, 467, 286, 0, 114688, 0, 0.179032, 0.019892, 65036, 18715, 0, 0, 184, 27, 6, 0.021054999999999997, 0.003833, 62224, 4661, 0, 0, 40, 92, 25
